810389425,column,column,column,column,1770125,________________frosch,frosch,____frosch___5_,column,414,1,httpscomfyuachistjascheesredstvouniversalnoefroschnejtralnyj5lhtml,column,05112025_1941,column,__42,Фастів,0
810389425,,,,,1770125,Бытовая химия >> Все для уборки >> Универсальные средства для уборки >> Универсальные средства для уборки Frosch,frosch,Засіб для чищення універсальний Frosch Нейтра ний 5 л,,414,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-frosch-nejtra-l-nyj-5-l.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
810389906,,,,,1683228,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели AFRICA,africa,Конвектор AFRICA А510 чорний,,4949,1,https://comfy.ua/konvektor-africa-a510-chernyj.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
810389999,,,,,1683236,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели AFRICA,africa,"Конвектор AFRICA Т510 чорний, з терморегулятором",,6249,1,https://comfy.ua/konvektor-africa-t510-chernyj-s-termoreguljatorom.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
810390055,7088131,PEUGEOT,Мельница для соли PEUGEOT Bistro 10 см Beige (800-1),1765,1779366,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Peugeot,peugeot,Млинок для спецій Peugeot для перцю 10 см 800-1,,1765,1,https://comfy.ua/mel-nica-dlja-specij-peugeot-dlja-perca-10-cm-800-1.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
810390912,,,,,1683245,Техника для дома >> Климатическая техника,africa,"Конвектор AFRICA Х760 чорний, з термотаймером",,6749,1,https://comfy.ua/konvektor-africa-h760-chernyj-s-termotajmerom.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
810392117,7088068,PEUGEOT,Мельница для перца PEUGEOT Paris U-Select 18 см (39400),2505,1691029,Посуда >> Кухонные аксессуары,peugeot,Млинок для спецій Peugeot 18 см 39400,,2505,1,https://comfy.ua/mel-nica-dlja-specij-peugeot-18-sm-39400.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
810414707,,,,,.1778197,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover Exclusive for Samsung Galaxy A72 SM-A725 Black (705744),,299,1,https://comfy.ua/chehol-dlja-smartfona-becover-exclusive-for-samsung-galaxy-a72-sm-a725-black-705744.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
810414799,,,,,1582936,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",vention,Перехідник аудіо Vention USB 3.1 Type-C / USB 3.0 OTG AF / microUSB BM (CDIB0),,179,1,https://comfy.ua/catalog/product/view/id/2126863,,05.11.2025 22:02,,"вул. Соборна, 42",Фастів,0
810414945,,,,,1780269,Детские товары >> Кормление,nip,"Пляшка для годування NIP PP Диваки, 150 мл. (35056)",,319,1,https://comfy.ua/catalog/product/view/id/2165003,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
810433866,,,,,1780281,Детские товары >> Кормление,nip,"Пляшка для годування NIP PP Диваки, 150 мл. (35055)",,319,1,https://comfy.ua/catalog/product/view/id/2166103,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
810433867,,,,,1780354,Детские товары >> Кормление,nip,"Поїльник-непроливайка дитячий NIP PP, 150 мл. (35057)",,375,1,https://comfy.ua/catalog/product/view/id/2166073,,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
810433869,,,,,1780355,Детские товары >> Кормление,nip,"Поїльник-непроливайка дитячий NIP PP, 150 мл. (35058)",,355,1,https://comfy.ua/catalog/product/view/id/2166013,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
810433881,,,,,1780299,Детские товары >> Кормление,nip,"Пляшка для годування NIP Олені, 240 мл. (35063)",,499,1,https://comfy.ua/catalog/product/view/id/2165753,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
810433897,,,,,1780360,Детские товары >> Кормление,nip,"Поїльник-непроливайка дитячий NIP РР з трубочкою Straw Cup Жирафи, 330 мл. (35068)",,335,1,https://comfy.ua/catalog/product/view/id/2165523,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
810433898,,,,,1780275,Детские товары >> Кормление,nip,"Пляшка для годування NIP PP, 250 мл. (35006)",,255,1,https://comfy.ua/catalog/product/view/id/2165513,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
810433901,,,,,1780361,Детские товары >> Кормление,nip,"Поїльник-непроливайка дитячий NIP РР з трубочкою Straw Cup Пингвинчики, 330 мл. (35067)",,335,1,https://comfy.ua/catalog/product/view/id/2165473,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
810441353,,,,,1780357,Детские товары >> Кормление,nip,"Поїльник-непроливайка дитячий NIP PP First cup, 330 мл. (35049)",,379,1,https://comfy.ua/catalog/product/view/id/2166343,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
810441356,,,,,1780356,Детские товары >> Кормление,nip,"Поїльник-непроливайка дитячий NIP PP First cup, 330 мл. (35050)",,379,1,https://comfy.ua/catalog/product/view/id/2166263,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
810441357,,,,,1780359,Детские товары >> Кормление,nip,"Поїльник-непроливайка дитячий NIP PP Kids Cup Дракончик, 330 мл. (35051)",,335,1,https://comfy.ua/catalog/product/view/id/2166203,,05.11.2025 21:26,,"вул. Соборна, 42",Фастів,0
810441361,,,,,1780358,Детские товары >> Кормление,nip,"Поїльник-непроливайка дитячий NIP PP Kids Cup Єдиноріг, 330 мл. (35052)",,335,1,https://comfy.ua/catalog/product/view/id/2166123,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
810620969,,,,,1780357,Детские товары >> Кормление >> Поильники >> Поильники Nip,nip,"Поїльник-непроливайка дитячий NIP PP First cup, 330 мл. (35049)",,379,1,https://comfy.ua/poil-nik-neprolivajka-detskij-nip-pp-first-cup-330-ml-35049.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
810620972,,,,,1780356,Детские товары >> Кормление >> Поильники >> Поильники Nip,nip,"Поїльник-непроливайка дитячий NIP PP First cup, 330 мл. (35050)",,379,1,https://comfy.ua/poil-nik-neprolivajka-detskij-nip-pp-first-cup-330-ml-35050.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
810620973,,,,,1780359,Детские товары >> Кормление >> Поильники >> Поильники Nip,nip,"Поїльник-непроливайка дитячий NIP PP Kids Cup Дракончик, 330 мл. (35051)",,335,1,https://comfy.ua/poil-nik-neprolivajka-detskij-nip-pp-kids-cup-drakonchik-330-ml-35051.html,,05.11.2025 21:26,,"вул. Соборна, 42",Фастів,0
810620974,,,,,.1780284,Детские товары >> Кормление,nip,"Пляшка для годування NIP PP, 250 мл. (35036)",,259,1,https://comfy.ua/butylochka-dlja-kormlenija-nip-pp-250-ml-35036.html,,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
810620977,,,,,1780358,Детские товары >> Кормление >> Поильники >> Поильники Nip,nip,"Поїльник-непроливайка дитячий NIP PP Kids Cup Єдиноріг, 330 мл. (35052)",,335,1,https://comfy.ua/poil-nik-neprolivajka-detskij-nip-pp-kids-cup-edinorogi-330-ml-35052.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
810620978,,,,,1780281,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Nip",nip,"Пляшка для годування NIP PP Диваки, 150 мл. (35055)",,319,1,https://comfy.ua/butylochka-dlja-kormlenija-nip-pp-chudiki-150-ml-35055.html,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
810620979,,,,,1780354,Comfy KIDS >> Кормление >> Поильники >> Поильники Nip,nip,"Поїльник-непроливайка дитячий NIP PP, 150 мл. (35057)",,375,1,https://comfy.ua/poil-nik-neprolivajka-detskij-nip-pp-150-ml-35057.html,,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
810620981,,,,,1780355,Comfy KIDS >> Кормление >> Поильники >> Поильники Nip,nip,"Поїльник-непроливайка дитячий NIP PP, 150 мл. (35058)",,355,1,https://comfy.ua/poil-nik-neprolivajka-detskij-nip-pp-150-ml-35058.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
810620983,,,,,.1780278,Детские товары >> Кормление,nip,"Пляшка для годування NIP PP, 250 мл. (35035)",,259,1,https://comfy.ua/butylochka-dlja-kormlenija-nip-pp-250-ml-35035.html,,05.11.2025 21:23,,"вул. Соборна, 42",Фастів,0
810620985,,,,,1779728,Детские товары >> Игрушки,disney,Відро для гри в пісочниці Disney Тачки з термонаклейка Disney (77817),,39,1,https://comfy.ua/vedro-dlja-igry-v-pesochnice-disney-tachki-s-termonaklejkoj-disney-77817.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
810620986,,,,,1780277,Детские товары >> Кормление,nip,"Пляшка для годування NIP PP, 250 мл. (35007)",,255,1,https://comfy.ua/butylochka-dlja-kormlenija-nip-pp-250-ml-35007.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
810620992,,,,,1780299,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Nip",nip,"Пляшка для годування NIP Олені, 240 мл. (35063)",,499,1,https://comfy.ua/butylochka-dlja-kormlenija-nip-oleni-240-ml-35063.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
810621006,,,,,1780360,Детские товары >> Кормление >> Поильники >> Поильники Nip,nip,"Поїльник-непроливайка дитячий NIP РР з трубочкою Straw Cup Жирафи, 330 мл. (35068)",,335,1,https://comfy.ua/poil-nik-neprolivajka-detskij-nip-rr-s-trubochkoj-straw-cup-zhirafy-330-ml-35068.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
810621007,,,,,1780275,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Nip",nip,"Пляшка для годування NIP PP, 250 мл. (35006)",,255,1,https://comfy.ua/butylochka-dlja-kormlenija-nip-pp-250-ml-35006.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
810621010,,,,,1780361,Детские товары >> Кормление >> Поильники >> Поильники Nip,nip,"Поїльник-непроливайка дитячий NIP РР з трубочкою Straw Cup Пингвинчики, 330 мл. (35067)",,335,1,https://comfy.ua/poil-nik-neprolivajka-detskij-nip-rr-s-trubochkoj-straw-cup-pingvinchiki-330-ml-35067.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
810621018,,,,,1780327,Детские товары >> Кормление,nip,"Малий потік соска дитяча латексна NIP Вишенька, повільний потік, 0 +, 2 шт. (93000)",,145,1,https://comfy.ua/malyj-potok-soska-detskaja-lateksnaja-nip-vishenka-medlennyj-potok-0-2-sht-93000.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
810621031,,,,,1780269,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Nip",nip,"Пляшка для годування NIP PP Диваки, 150 мл. (35056)",,319,1,https://comfy.ua/butylochka-dlja-kormlenija-nip-pp-chudiki-150-ml-35056.html,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
810621041,,,,,1779777,Детские товары >> Игрушки,tigres,Набір для гри в пісочниці Tigres Лопатка та граблі маленькі (39646),,29,1,https://comfy.ua/nabor-dlja-igry-v-pesochnice-tigres-lopatka-i-grabli-malen-kie-39646.html,,06.11.2025 0:36,,"вул. Соборна, 42",Фастів,0
810621042,,,,,1779775,Детские товары >> Игрушки,tigres,Набір для гри в пісочниці Tigres лопатка і граблі (39632),,34,1,https://comfy.ua/nabor-dlja-igry-v-pesochnice-tigres-loptka-i-grabli-39632.html,,05.11.2025 23:54,,"вул. Соборна, 42",Фастів,0
810621043,,,,,1779717,Детские товары >> Игрушки,wader,Набір для гри в пісочниці Wader лопатка + 3 формочки Disney (77820),,119,1,https://comfy.ua/nabor-dlja-igry-v-pesochnice-wader-lopatka-3-formochki-disney-77820.html,,06.11.2025 0:37,,"вул. Соборна, 42",Фастів,0
810621047,,,,,1779729,Детские товары >> Игрушки,wader,Відро для гри в пісочниці Wader квадратне жовте (71714),,109,1,https://comfy.ua/nabor-dlja-igry-v-pesochnice-wader-kvadratnoe-zheltoe-71714.html,,06.11.2025 1:12,,"вул. Соборна, 42",Фастів,0
810621048,,,,,1779707,Детские товары >> Игрушки,wader,Відро для гри в пісочниці Wader квадратне Мінні Disney (77816),,129,1,https://comfy.ua/vedro-dlja-igry-v-pesochnice-wader-kvadratnoe-minni-disney-77816.html,,05.11.2025 23:43,,"вул. Соборна, 42",Фастів,0
810621050,,,,,1779738,Детские товары >> Игрушки,tigres,Відро для гри в пісочниці Tigres з термонаклейка рожеве (39627),,34,1,https://comfy.ua/vedro-dlja-igry-v-pesochnice-tigres-s-termonaklejkoj-rozovoe-39627.html,,06.11.2025 0:36,,"вул. Соборна, 42",Фастів,0
810621051,,,,,1779776,Детские товары >> Игрушки,tigres,Набір для гри в пісочниці Tigres Вежа жовта з лійкою 6 ел. (39640),,94,1,https://comfy.ua/nabor-dlja-igry-v-pesochnice-tigres-bashnja-zheltaja-s-lejkoj-6-jel-39640.html,,06.11.2025 1:10,,"вул. Соборна, 42",Фастів,0
810621053,,,,,1779731,Детские товары >> Игрушки,wader,Лопатка для гри в пісочниці Wader коротка зелена (72350),,149,1,https://comfy.ua/lopatka-dlja-igry-v-pesochnice-wader-korotkaja-zelenaja-72350.html,,06.11.2025 0:37,,"вул. Соборна, 42",Фастів,0
810621057,,,,,1779772,Детские товары >> Игрушки,tigres,Набір для гри в пісочниці Tigres Кораблик жовтий 7 ел. (39648),,209,1,https://comfy.ua/nabor-dlja-igry-v-pesochnice-tigres-korablik-zheltyj-7-jel-39648.html,,06.11.2025 1:10,,"вул. Соборна, 42",Фастів,0
810621062,,,,,1779771,Детские товары >> Игрушки,tigres,Набір для гри в пісочниці Tigres Вежа синя 3 ел. (39639),,49,1,https://comfy.ua/nabor-dlja-igry-v-pesochnice-tigres-bashnja-sinjaja-3-jel-39639.html,,06.11.2025 1:10,,"вул. Соборна, 42",Фастів,0
810621065,,,,,1779770,Детские товары >> Игрушки,tigres,Відро для гри в пісочниці Tigres Вежа жовте (39629),,29,1,https://comfy.ua/vedro-dlja-igry-v-pesochnice-tigres-bashnja-zheltoe-39629.html,,05.11.2025 23:53,,"вул. Соборна, 42",Фастів,0
810621067,,,,,1779722,Детские товары >> Игрушки,disney,Набір для гри в пісочниці Disney Принцеси з термонаклейка і млином Disney 6 ел. (77553),,119,1,https://comfy.ua/nabor-dlja-igry-v-pesochnice-disney-princessy-s-termonaklejka-i-mel-nicej-disney-6-jel-77553.html,,06.11.2025 0:37,,"вул. Соборна, 42",Фастів,0
810621069,,,,,1779769,Детские товары >> Игрушки >> Активные игры >> Летние игры >> Летние игры Tigres,tigres,Набір для гри в пісочниці Tigres Морська прогулянка з термонаклейка 5 ел. (39503),,69,1,https://comfy.ua/nabor-dlja-igry-v-pesochnice-tigres-morskaja-progulka-s-termonaklejkoj-5-jel-39503.html,,06.11.2025 0:36,,"вул. Соборна, 42",Фастів,0
810621070,,,,,1779737,Детские товары >> Игрушки,tigres,Набір для гри в пісочниці Tigres Вежа еластична зелена 5ел. (39509),,89,1,https://comfy.ua/nabor-dlja-igry-v-pesochnice-tigres-bashnja-jelastichnaja-zelenaja-5jel-39509.html,,05.11.2025 23:41,,"вул. Соборна, 42",Фастів,0
810621078,,,,,1779735,Comfy KIDS >> Игрушки >> Активные игры >> Летние игры >> Летние игры Tigres,tigres,Набір для гри в пісочниці Tigres Mini truck вантажівка 5 ел. (39157),,125,1,https://comfy.ua/nabor-dlja-igry-v-pesochnice-tigres-mini-truck-gruzovik-5-jel-39157.html,,06.11.2025 0:12,,"вул. Соборна, 42",Фастів,0
810621079,,,,,1779736,Детские товары >> Игрушки,tigres,Набір для гри в пісочниці Tigres Прованс з термонаклейка 6 ел. (39505),,79,1,https://comfy.ua/nabor-dlja-igry-v-pesochnice-tigres-provans-s-termonaklejkoj-6-jel-39505.html,,06.11.2025 1:12,,"вул. Соборна, 42",Фастів,0
810621082,,,,,1779711,Детские товары >> Игрушки,wader,Набір для гри в пісочниці Wader Вінні Пух Disney 6 ел. (77137),,345,1,https://comfy.ua/nabor-dlja-igry-v-pesochnice-wader-vinni-puh-disney-6-jel-77137.html,,06.11.2025 0:38,,"вул. Соборна, 42",Фастів,0
810621083,,,,,1779704,Comfy KIDS >> Игрушки >> Активные игры >> Летние игры >> Летние игры Wader,wader,Набір для гри в пісочниці Wader Тачки Disney 6 ел. (77637),,345,1,https://comfy.ua/nabor-dlja-igry-v-pesochnice-wader-tachki-disney-6-jel-77637.html,,06.11.2025 0:38,,"вул. Соборна, 42",Фастів,0
810621084,,,,,1779767,Детские товары >> Игрушки,wader,Набір для гри в пісочниці Wader річний 7 ел. (71230),,175,1,https://comfy.ua/nabor-dlja-igry-v-pesochnice-wader-letnij-7-jel-71230.html,,06.11.2025 1:10,,"вул. Соборна, 42",Фастів,0
