810962007,column,column,column,column,1777562,Инструменты и автотовары >> Ручные инструменты,stal,___18___23101,column,22,1,httpscomfyuanozhstroitelnyjstal18mm23101html,column,05112025_2149,column,__42,Фастів,0
810962007,,,,,.1777562,Инструменты и автотовары >> Ручные инструменты,stal,Ніж будівельний Сталь 18  мм (23101),,22,1,https://comfy.ua/nozh-stroitel-nyj-stal-18-mm-23101.html,,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
810962008,,,,,.1777563,Инструменты и автотовары >> Ручные инструменты,stal,Ніж будівельний Сталь 18  мм (23102),,37,1,https://comfy.ua/nozh-stroitel-nyj-stal-18-mm-23102.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
810962009,,,,,1777569,Инструменты и автотовары >> Ручные инструменты,stal,Ніж будівельний Сталь 18  мм (23109),,40,1,https://comfy.ua/nozh-stroitel-nyj-stal-18-mm-23109.html,,05.11.2025 22:22,,"вул. Соборна, 42",Фастів,0
810962010,,,,,.1777564,Инструменты и автотовары >> Ручные инструменты,stal,Ніж будівельний Сталь 18  мм (23103),,52,1,https://comfy.ua/nozh-stroitel-nyj-stal-18-mm-23103.html,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
810962011,,,,,.1777565,Инструменты и автотовары >> Ручные инструменты,stal,Ніж будівельний Сталь 18  мм (23104),,57,1,https://comfy.ua/nozh-stroitel-nyj-stal-18-mm-23104.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
810962012,,,,,.1777566,Инструменты и автотовары >> Ручные инструменты,stal,Ніж будівельний Сталь 18  мм (23105),,72,1,https://comfy.ua/nozh-stroitel-nyj-stal-18-mm-23105.html,,05.11.2025 22:23,,"вул. Соборна, 42",Фастів,0
810962013,6184858,СТАЛЬ,Нож универсальный СТАЛЬ 23201 (38384),82,1777567,Инструменты и автотовары >> Ручные инструменты >> Ножи строительные >> Ножи строительные Сталь,stal,Ніж будівельний Сталь 18  мм (23201),,109,1,https://comfy.ua/nozh-stroitel-nyj-stal-18-mm-23201.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
810963599,,,,,.1777257,Инструменты и автотовары >> Расходные материалы,haisser,Біта для викрутки Haisser PH2х25 мм (125P2A/2711815),,9,1,https://comfy.ua/bita-dlja-otvertki-haisser-ph2h25-mm-125p2a-2711815.html,,05.11.2025 22:19,,"вул. Соборна, 42",Фастів,0
810963600,,,,,.1777258,Инструменты и автотовары >> Расходные материалы,haisser,Біта для викрутки Haisser PZ2х25 мм (125Z2A/2711803),,9,1,https://comfy.ua/bita-dlja-otvertki-haisser-pz2h25-mm-125z2a-2711803.html,,05.11.2025 22:11,,"вул. Соборна, 42",Фастів,0
810963603,,,,,.1777263,Инструменты и автотовары >> Расходные материалы,haisser,Біта для викрутки Haisser PH1x50 мм (150P1B),,16,1,https://comfy.ua/bita-dlja-otvertki-haisser-ph1x50-mm-150p1b.html,,05.11.2025 22:00,,"вул. Соборна, 42",Фастів,0
810963605,,,,,.1777260,Инструменты и автотовары >> Расходные материалы,haisser,Біта для викрутки Haisser PH2x50 мм (150P2B/2711808),,16,1,https://comfy.ua/bita-dlja-otvertki-haisser-ph2x50-mm-150p2b-2711808.html,,05.11.2025 22:06,,"вул. Соборна, 42",Фастів,0
810963606,,,,,.1777261,Инструменты и автотовары >> Расходные материалы,haisser,Біта для викрутки Haisser PZ2x50 мм (150Z2B/2711817),,16,1,https://comfy.ua/bita-dlja-otvertki-haisser-pz2x50-mm-150z2b-2711817.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
810963610,,,,,1777326,Инструменты и автотовары >> Расходные материалы,works,Біта для викрутки Works Hex 4x25 2 шт. (131Н040А/2753506),,25,1,https://comfy.ua/nabor-bit-dlja-otvertki-works-hex-4x25-2-sht-131n040a-2753506.html,56,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
810963611,,,,,1777327,Инструменты и автотовары >> Расходные материалы,works,Біта для викрутки Works 30x25 2 шт. (131T30А/2753505),,26,1,https://comfy.ua/nabor-bit-dlja-otvertki-works-30x25-2-sht-131t30a-2753505.html,56,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
810963612,,,,,.1777325,Инструменты и автотовары >> Расходные материалы,works,Біта для викрутки Works PH2x25 2 шт. (131P2С/2753507),,80,1,https://comfy.ua/nabor-bit-dlja-otvertki-works-ph2x25-2-sht-131p2s-2753507.html,,05.11.2025 22:11,,"вул. Соборна, 42",Фастів,0
810963628,,,,,.1777680,Инструменты и автотовары >> Садовые инструменты,stal,Ножиці садові Сталь 180 мм,,205,1,https://comfy.ua/nozhnicy-sadovye-stal-180-mm.html,,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
810963657,6660808,СТАЛЬ,Веткорез СТАЛЬ 300 мм (40115),215,1777033,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Сталь,stal,Ножиці садові Сталь 300 мм (40115),,289,1,https://comfy.ua/nozhnicy-sadovye-stal-300-mm-40115.html,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
810964442,,,,,1777162,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,Викрутка Сталь PH0x75 (49023),,39,1,https://comfy.ua/otvertka-stal-ph0x75-49023.html,,05.11.2025 21:53,,"вул. Соборна, 42",Фастів,0
810964443,,,,,1777163,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,Викрутка Сталь PH0x100 (49024),,38,1,https://comfy.ua/otvertka-stal-ph0x100-49024.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
810964444,,,,,1777164,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,Викрутка Сталь PH1x100 (49025),,57,1,https://comfy.ua/otvertka-stal-ph1x100-49025.html,,05.11.2025 22:23,,"вул. Соборна, 42",Фастів,0
810964445,,,,,1777161,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,Викрутка Сталь SL5x100 (49019),,57,1,https://comfy.ua/otvertka-stal-sl5x100-49019.html,,05.11.2025 23:06,,"вул. Соборна, 42",Фастів,0
810964446,6662567,СТАЛЬ,Отвертка СТАЛЬ двухсторонняя (49049),35,1777696,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,"Викрутка Сталь SL6x150, PH2x150 (49049)",,56,1,https://comfy.ua/otvertka-stal-sl6x150-ph2x150-49049.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
810964447,,,,,.1777166,Инструменты и автотовары >> Ручные инструменты,stal,Викрутка Сталь PH2x100 (49027),,64,1,https://comfy.ua/otvertka-stal-ph2x100-49027.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
810965142,,,,,1779640,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Midea,midea,Кондиціонер спліт Midea AG-07N8C,,17799,1,https://comfy.ua/kondicioner-split-midea-ag-07n8c2f-i-ag-07n8c2f-o.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
