811000425,column,column,column,column,1779363,Инструменты и автотовары >> Ручные инструменты,stal,i___i__150__41042,column,149,1,httpscomfyuaschipcydljastopornyhkolecstal150mm66402html,column,05112025_2143,column,__42,Фастів,0
811000425,,,,,.1779363,Инструменты и автотовары >> Ручные инструменты,stal,Щипцi для стопорних кiлець Сталь 150 мм (41042),,149,1,https://comfy.ua/schipcy-dlja-stopornyh-kolec-stal-150-mm-66402.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
811000426,6559386,СТАЛЬ,Съемник стопорных колец СТАЛЬ 150 мм (41044),148,1779364,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Сталь",stal,Щипцi для стопорних кiлець Сталь 150 мм (41044),,149,1,https://comfy.ua/schipcy-dlja-stopornyh-kolec-stal-150-mm-41044.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
811000427,,,,,.1779371,Инструменты и автотовары >> Ручные инструменты,stal,Щипцi для стопорних кiлець Сталь 150 мм (41045),,149,1,https://comfy.ua/schipcy-dlja-stopornyh-kolec-stal-150-mm-41045.html,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
811000428,,,,,.1777690,Инструменты и автотовары >> Ручные инструменты,stal,Плоскогубці Сталь 160  мм (41019),,165,1,https://comfy.ua/ploskogubcy-stal-160-mm-41019.html,,05.11.2025 22:22,,"вул. Соборна, 42",Фастів,0
811000429,,,,,1777185,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Сталь",stal,Кусачки Сталь 160 мм (41020),,169,1,https://comfy.ua/kusachki-stal-160-mm-41020.html,,05.11.2025 23:06,,"вул. Соборна, 42",Фастів,0
811000430,,,,,.1777362,Инструменты и автотовары >> Ручные инструменты,stal,Плоскогубці Сталь 160 мм (41037),,195,1,https://comfy.ua/ploskogubcy-stal-160-mm-41037.html,,05.11.2025 23:04,,"вул. Соборна, 42",Фастів,0
811000431,,,,,1777192,Инструменты и автотовары >> Ручные инструменты,stal,Кусачки Сталь 160 мм (41057),,195,1,https://comfy.ua/catalog/product/view/id/2151223,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
811000432,,,,,.1779372,Инструменты и автотовары >> Ручные инструменты,stal,Щипцi для стопорних кiлець Сталь 180 мм (41046),,185,1,https://comfy.ua/schipcy-dlja-stopornyh-kolec-stal-180-mm-41046.html,,05.11.2025 21:53,,"вул. Соборна, 42",Фастів,0
811000433,,,,,.1779373,Инструменты и автотовары >> Ручные инструменты,stal,Щипцi для стопорних кiлець Сталь 180 мм (41047),,185,1,https://comfy.ua/schipcy-dlja-stopornyh-kolec-stal-180-mm-41047.html,,05.11.2025 22:22,,"вул. Соборна, 42",Фастів,0
811000434,,,,,.1779374,Инструменты и автотовары >> Ручные инструменты,stal,Щипцi для стопорних кiлець Сталь 180 мм (41048),,185,1,https://comfy.ua/schipcy-dlja-stopornyh-kolec-stal-180-mm-41048.html,,05.11.2025 23:02,,"вул. Соборна, 42",Фастів,0
811000435,,,,,1779375,Инструменты и автотовары >> Ручные инструменты,stal,Щипцi для стопорних кiлець Сталь 180 мм (41049),,185,1,https://comfy.ua/schipcy-dlja-stopornyh-kolec-stal-180-mm-41049.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
811000436,,,,,1777189,Инструменты и автотовары >> Ручные инструменты,stal,Кусачки Сталь 180 мм (41040),,209,1,https://comfy.ua/catalog/product/view/id/2151283,,05.11.2025 23:06,,"вул. Соборна, 42",Фастів,0
811000438,,,,,.1777673,Инструменты и автотовары >> Ручные инструменты,stal,Плоскогубці Сталь 160 мм (41013),,199,1,https://comfy.ua/ploskogubcy-stal-160-mm-41013.html,,05.11.2025 23:02,,"вул. Соборна, 42",Фастів,0
811000439,,,,,1777089,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Сталь",stal,Кусачки Сталь 160 мм (41015),,219,1,https://comfy.ua/kusachki-stal-160-mm-41015.html,,05.11.2025 21:53,,"вул. Соборна, 42",Фастів,0
811000440,,,,,1777231,Инструменты и автотовары >> Ручные инструменты,stal,Плоскогубці Сталь 180 мм (41052),,229,1,https://comfy.ua/ploskogubcy-stal-180-mm-41052.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
811000441,6660815,СТАЛЬ,Плоскогубцы СТАЛЬ 200 мм (41018),172,1777360,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Сталь",stal,Плоскогубці Сталь 200 мм (41018),,235,1,https://comfy.ua/ploskogubcy-stal-200-mm-41018.html,,05.11.2025 23:04,,"вул. Соборна, 42",Фастів,0
811000442,,,,,.1777678,Инструменты и автотовары >> Ручные инструменты,stal,Плоскогубці Сталь 180 мм (41060),,239,1,https://comfy.ua/ploskogubcy-stal-180-mm-41060.html,,05.11.2025 23:02,,"вул. Соборна, 42",Фастів,0
811000443,,,,,.1777232,Инструменты и автотовары >> Ручные инструменты,stal,Плоскогубці Сталь 200 мм (41053),,255,1,https://comfy.ua/ploskogubcy-stal-200-mm-41053.html,,05.11.2025 22:23,,"вул. Соборна, 42",Фастів,0
811000444,6209874,СТАЛЬ,Плоскогубцы комбинированные СТАЛЬ 41011 (39968),194,1777358,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Сталь",stal,Плоскогубці Сталь 180 мм (41011),,259,1,https://comfy.ua/ploskogubcy-stal-180-mm-41011.html,,05.11.2025 23:04,,"вул. Соборна, 42",Фастів,0
811000445,,,,,.1777088,Инструменты и автотовары >> Ручные инструменты,stal,Кліщі Сталь 250 мм (41017),,239,1,https://comfy.ua/kleschi-stal-250-mm-41017.html,,05.11.2025 22:24,,"вул. Соборна, 42",Фастів,0
811000447,,,,,.1777240,Инструменты и автотовары >> Ручные инструменты,stal,Кліщі Сталь 180 мм (41085),,229,1,https://comfy.ua/kleschi-stal-180-mm-41085.html,,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
811000466,,,,,.1777233,Инструменты и автотовары >> Ручные инструменты,stal,Кліщі Сталь 200 мм (41063),,279,1,https://comfy.ua/kleschi-stal-200-mm-41063.html,,05.11.2025 23:06,,"вул. Соборна, 42",Фастів,0
811000467,6185954,СТАЛЬ,Плоскогубцы комбинированные СТАЛЬ 41012 (39969),215,1777359,"Инструменты и автотовары >> Ручные инструменты >> Плоскогубцы, пассатижи, кусачки >> Плоскогубцы, пассатижи, кусачки Сталь",stal,Плоскогубці Сталь 200 мм (41012),,215,1,https://comfy.ua/ploskogubcy-stal-200-mm-41012.html,,05.11.2025 23:04,,"вул. Соборна, 42",Фастів,0
811000468,,,,,.1777235,Инструменты и автотовары >> Ручные инструменты,stal,Кліщі Сталь 250 мм (41065),,269,1,https://comfy.ua/kleschi-stal-250-mm-41065.html,,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
811000469,,,,,.1777239,Инструменты и автотовары >> Ручные инструменты,stal,Кліщі Сталь 250 мм (41084),,339,1,https://comfy.ua/kleschi-stal-250-mm-41084.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
811000473,,,,,.1778202,Смартфоны и телефоны >> Аксессуары для смартфонов,acclab,Захисне скло для смартфону ACCLAB Full Glue for Xiaomi Redmi 9A/9С Black (1283126508820),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-acclab-full-glue-for-xiaomi-redmi-9a-9s-black-1283126508820.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
811000476,,,,,.1778301,Смартфоны и телефоны >> Аксессуары для смартфонов,acclab,Захисне скло для смартфону ACCLAB Full Glue for Samsung Galaxy A12 SM-A125 Black (1283126509599),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-acclab-full-glue-for-samsung-galaxy-a12-sm-a125-black-1283126509599.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
811000477,,,,,.1778302,Смартфоны и телефоны >> Аксессуары для смартфонов,acclab,Захисне скло для смартфону ACCLAB Full Glue for Samsung Galaxy A31 SM-A315 Black (1283126508578),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-acclab-full-glue-for-samsung-galaxy-a31-sm-a315-black-1283126508578.html,,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
811000478,,,,,.1778303,Смартфоны и телефоны >> Аксессуары для смартфонов,acclab,Захисне скло для смартфону ACCLAB Full Glue for Samsung Galaxy A32 SM-A325 Black (1283126510533),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-acclab-full-glue-for-samsung-galaxy-a32-sm-a325-black-1283126510533.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
811000479,,,,,1778305,Смартфоны и телефоны >> Аксессуары для смартфонов,acclab,Захисне скло для смартфону ACCLAB Full Glue for Samsung Galaxy A50 SM-A505 Black (1283126508592),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-acclab-full-glue-for-samsung-galaxy-a50-sm-a505-black-1283126508592.html,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
811000480,,,,,.1777234,Инструменты и автотовары >> Ручные инструменты,stal,Кліщі Сталь 300 мм (41064),,549,1,https://comfy.ua/kleschi-stal-300-mm-41064.html,,05.11.2025 23:06,,"вул. Соборна, 42",Фастів,0
