811002270,column,column,column,column,1777124,Инструменты и автотовары >> Электроинструменты,werk,__werk_____kit5pg,column,1219,1,httpscomfyuaraspylitelkraskiwerknaborpnevmoistrumentovkit5pghtml,column,05112025_2130,column,__42,Фастів,0
811002270,,,,,.1777124,Инструменты и автотовары >> Электроинструменты,werk,Розпилювач фарби Werk  + набор пневмоиструментов (KIT-5PG),,1219,1,https://comfy.ua/raspylitel-kraski-werk-nabor-pnevmoistrumentov-kit-5pg.html,,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
811002272,6133646,FORTE,Набор пневмоинструментов FORTE AT KIT-5S (32137),1391,1777750,Инструменты и автотовары >> Электроинструменты >> Распылители краски >> Распылители краски Forte2,forte2,Розпилювач фарби Forte +Набор пневмоинструментов AT KIT-5S,,1489,1,https://comfy.ua/raspylitel-kraski-forte-nabor-pnevmoinstrumentov-at-kit-5s.html,,05.11.2025 21:28,,"вул. Соборна, 42",Фастів,0
811002955,6653908,GRUNHELM,Варочная поверхность GRUNHELM GPG 6136 BEF,6599,1779354,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Grunhelm,grunhelm,Варильна поверхня газова Grunhelm GPG 6136 BEF,,6599,1,https://comfy.ua/varochnaja-panel-gazovaja-grunhelm-gpg-6136-bef.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
811002956,6653903,GRUNHELM,Варочная поверхность GRUNHELM GPG 6325 IF,5349,1779353,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Grunhelm,grunhelm,Варильна поверхня газова Grunhelm GPG 6325 IF,,5349,1,https://comfy.ua/varochnaja-panel-gazovaja-grunhelm-gpg-6325-if.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
811004053,,,,,1771950,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 11400F RTX 2060 6GB 162 (i511400FRTX20606GB162),,20735,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-11400f-rtx-2060-6gb-162-i511400frtx20606gb162.html,33579,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
811004131,,,,,1781242,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Точки доступа >> Точки доступа MikroTik",mikrotik,Точка доступу MikroTik RBSXTG-5HPACD-SA,,4555,1,https://comfy.ua/tochka-dostupa-mikrotik-rbsxtg-5hpacd-sa.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
811133801,,,,,.1777145,Инструменты и автотовары >> Ручные инструменты,stal,Струбцина Сталь G 50 мм (47108),,98,1,https://comfy.ua/strubcina-stal-g-50-mm-47108.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
811133802,,,,,.1777146,Инструменты и автотовары >> Ручные инструменты,stal,Струбцина Сталь G 75  мм (47116),,139,1,https://comfy.ua/strubcina-stal-g-75-mm-47116.html,,05.11.2025 22:24,,"вул. Соборна, 42",Фастів,0
811133803,,,,,.1777250,Инструменты и автотовары >> Ручные инструменты,stal,Струбцина Сталь тип F 150x50 мм (47124),,165,1,https://comfy.ua/strubcina-stal-tip-f-150x50-mm-47124.html,,05.11.2025 23:05,,"вул. Соборна, 42",Фастів,0
811133804,,,,,1777248,Инструменты и автотовары >> Ручные инструменты,stal,Струбцина Сталь тип F 200x50 мм (47105),,175,1,https://comfy.ua/strubcina-stal-tip-f-200x50-mm-47105.html,,05.11.2025 23:05,,"вул. Соборна, 42",Фастів,0
811133805,,,,,.1777249,Инструменты и автотовары >> Ручные инструменты,stal,Струбцина Сталь 150 мм 4 шт. (47112),,219,1,https://comfy.ua/strubcina-stal-150-mm-4-sht-47112.html,,05.11.2025 23:05,,"вул. Соборна, 42",Фастів,0
811133806,,,,,.1777149,Инструменты и автотовары >> Ручные инструменты,stal,Струбцина Сталь G 100 мм (47109),,249,1,https://comfy.ua/strubcina-stal-g-100-mm-47109.html,,05.11.2025 22:24,,"вул. Соборна, 42",Фастів,0
811133807,,,,,.1777150,Инструменты и автотовары >> Ручные инструменты,stal,Струбцина Сталь G 150 мм (47110),,429,1,https://comfy.ua/strubcina-stal-g-150-mm-47110.html,,05.11.2025 23:06,,"вул. Соборна, 42",Фастів,0
811133808,,,,,.1777144,Инструменты и автотовары >> Ручные инструменты,stal,Струбцина Сталь F 500x120 мм (47115),,505,1,https://comfy.ua/strubcina-stal-f-500x120-mm-47115.html,,05.11.2025 23:06,,"вул. Соборна, 42",Фастів,0
