812790747,6769383,ecosoft,_ecosoft_4520_chv4520eco,1680,1783582,___________________ecosoft,ecosoft,____ecosoft_4520_chv4520eco,column,1679,1,httpscomfyuakartridzhdljafiltraprotochnogoecosoft45h20chv4520ecohtml,column,05112025_1727,column,__42,Фастів,0
812790747,6769383,ECOSOFT,"""Картридж ECOSOFT 4.5х20"""" (CHV4520ECO)""",1680,1783582,Техника для кухни >> Системы и фильтры для воды >> Картриджи для проточных фильтров >> Картриджи для проточных фильтров Ecosoft,ecosoft,Картридж для фільтру проточного Ecosoft 4.5х20'' (CHV4520ECO),,1679,1,https://comfy.ua/kartridzh-dlja-fil-tra-protochnogo-ecosoft-4-5h20-chv4520eco.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
812791364,,,,,1719639,Детские товары >> Игрушки для малышей,battat,Іграшка для ванної Battat Summery Набір для гри з піском і водою - ТРОПИЧЕСКИЙ ВОДОПАД (BX1659Z),,1295,1,https://comfy.ua/igrushka-rybalka-dlja-vannoj-battat-summery-nabor-dlja-igry-s-peskom-i-vodoj-tropicheskij-vodopad-bx1659z.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
812791365,,,,,1719623,Детские товары >> Игрушки для малышей >> Игрушки для ванной >> Игрушки для ванной Battat,battat,Іграшка для ванної Battat Summery млин в комплекті машинка і ведёрце (BX1310Z),,1293,1,https://comfy.ua/mehanicheskaja-igrushka-dlja-vannoj-battat-summery-mel-nica-v-komplekte-mashinka-i-vedjorce-bx1310z.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
812804151,,,,,.1777664,Техника для дома >> Аксессуары к мелкой технике,menalux,Фільтр для пилососа Menalux F140,,549,1,https://comfy.ua/fil-tr-dlja-pylesosa-menalux-f140.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
815548176,6738132,SENNHEISER,Гарнитура SENNHEISER EPOS ADAPT 165T USB II (1000902),4899,1777650,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Гарнитуры >> Гарнитуры Sennheiser",sennheiser,Гарнітура дротова Sennheiser ADAPT 165T USB II (1000902),,4789,1,https://comfy.ua/garnitura-provodnaja-sennheiser-adapt-165t-usb-ii-1000902.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
815581061,6655940,KRAUFF,Банка KRAUFF Grutze 500 мл (31-289-014),169,1730258,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Krauff,krauff,Ємність для сипучих Krauff 31-289-014 Grutze 500 мл,,169,1,https://comfy.ua/emkost-dlja-sypuchih-krauff-31-289-014-grutze-500-ml.html,282,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
815584528,6655941,KRAUFF,Банка KRAUFF Grutze 800 мл (31-289-015),180,1730259,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Krauff,krauff,Ємність для сипучих Krauff 31-289-015 Grutze 800 мл,,181,1,https://comfy.ua/emkost-dlja-sypuchih-krauff-31-289-015-grutze-800-ml.html,302,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
815870110,6161401,FORTE,Стабилизатор напряжения FORTE TVR-500VA (22648),1432,1777747,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Стабилизаторы напряжения >> Стабилизаторы напряжения",,Стабілізатор напруги Forte TVR-500VA,,2108,1,https://comfy.ua/stabilizator-naprjazhenija-forte-tvr-500va.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
816050559,6738130,SENNHEISER,Гарнитура SENNHEISER EPOS ADAPT 135T II Mono USB (1000900),3999,1777647,"Аудио, фото и видео >> Наушники >> Наушники Sennheiser",sennheiser,Гарнітура дротова Sennheiser ADAPT 135T USB II (1000900),,3999,1,https://comfy.ua/garnitura-provodnaja-sennheiser-adapt-135t-usb-ii-1000900.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
817127745,6701491,ELECTROLUX,Блендер ELECTROLUX E3TB1-4GG,1930,1784277,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Electrolux,electrolux,Блендер стаціонарний Electrolux E3TB1-4GG,,2099,1,https://comfy.ua/blender-stacionarnyj-electrolux-e3tb1-4gg.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
