817316316,column,column,column,column,1783438,Техника для дома >> Аксессуары к мелкой технике,menalux,____menalux_1000,column,299,1,httpscomfyuacatalogproductviewid2221803,column,05112025_1806,column,__42,Фастів,0
817316316,,,,,1783438,Техника для дома >> Аксессуары к мелкой технике,menalux,Мішок для пилососа багаторазовий Menalux 1000,,299,1,https://comfy.ua/catalog/product/view/id/2221803,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
817316603,,,,,1783084,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",glorious,Клавіатура дротова Glorious GMMK TKL White (GLO-GMMK-TKL-BRN-W),,3999,1,https://comfy.ua/catalog/product/view/id/2221583,,05.11.2025 22:15,,"вул. Соборна, 42",Фастів,0
817317037,,,,,.1777194,Инструменты и автотовары >> Ручные инструменты,stal,Кусачки Сталь 180 мм (41058),,239,1,https://comfy.ua/kusachki-stal-180-mm-41058.html,,05.11.2025 23:06,,"вул. Соборна, 42",Фастів,0
817317071,,,,,1783954,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",airon,Чохол для електронної книги AIRON Premium for PocketBook 616/627/632Night,,459,1,https://comfy.ua/catalog/product/view/id/2220913,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
817318285,6726438,ELEYUS,Духовой шкаф ELEYUS SELENA 6006 BL+RB,11999,1777614,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы ELEYUS,eleyus,Духова шафа електрична ELEYUS SELENA 6006 BL+RB,,11999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-eleyus-selena-6006-bl-rb.html,,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
817318395,,,,,1785438,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки",acer,Ноутбук Acer Aspire 5 A515-56 (NX.A1GEU.005) Silver,,17999,1,https://comfy.ua/noutbuk-acer-aspire-5-a515-56-nx-a1geu-005-silver.html,24999,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
817318435,6673377,JBL,Портативная акустика JBL Charge 5 Squad (JBLCHARGE5SQUAD),6199,1783377,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки JBL",jbl,Портативна акустика JBL Charge 5 Squad (JBLCHARGE5SQUAD),,6199,1,https://comfy.ua/portativnaja-akustika-jbl-charge-5-squad-jblcharge5squad.html,7799,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
817318436,6673376,JBL,Портативная акустика JBL Charge 5 Red (JBLCHARGE5RED),6199,1783376,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки JBL",jbl,Портативна акустика JBL Charge 5 Red (JBLCHARGE5RED),,6199,1,https://comfy.ua/portativnaja-akustika-jbl-charge-5-red-jblcharge5red.html,7799,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
817318510,,,,,1783076,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Glorious",glorious,Клавіатура дротова ігрова Glorious GMMK TKL Black (GMMK-TKL-BRN),,3999,1,https://comfy.ua/klaviatura-provodnaja-igrovaja-glorious-gmmk-tkl-black-gmmk-tkl-brn.html,,05.11.2025 22:23,,"вул. Соборна, 42",Фастів,0
817318511,,,,,1783084,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Glorious",glorious,Клавіатура дротова Glorious GMMK TKL White (GLO-GMMK-TKL-BRN-W),,3999,1,https://comfy.ua/klaviatura-provodnaja-glorious-gmmk-tkl-white-glo-gmmk-tkl-brn-w.html,,05.11.2025 22:15,,"вул. Соборна, 42",Фастів,0
817321451,,,,,.1776045,Инструменты и автотовары >> Расходные материалы,haisser,Бур Haisser Sds-Plus 16х310 мм Professional,,215,1,https://comfy.ua/bur-haisser-sds-plus-16h310-mm-professional.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
817321657,,,,,1719719,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Сетевые фильтры и удлинители >> Сетевые фильтры и удлинители Piko",piko,Перехідник 220В Piko TA-002 White (1283126472510),,189,1,https://comfy.ua/perehodnik-evro-220v-piko-ta-002-white-1283126472510.html,,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,0
817350712,,,,,.1775913,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover Nike Style for Amazfit Stratos 1/2/2S/3/GTR 2/GTR 47mm/GTR Lite 47mm/Nexo/Pace Black-Green (705811),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-nike-style-for-amazfit-stratos-1-2-2s-3-gtr-2-gtr-47mm-gtr-lite-47mm-nexo-pace-black-green-705811.html,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
817350830,,,,,1023430,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети TP-Link",tp-link,Коммутатор локальної мережі (Switch) TP-Link TL-SG3210,,5099,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-tp-link-tl-sg3210.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
817350931,,,,,1743863,Смартфоны и телефоны >> Аксессуары для смартфонов >> Держатели >> Держатели Baseus,baseus,Автотримач Baseus Small Ears Series Magnetic Suction Bracket Air type Black (SUER-A01),,329,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-baseus-small-ears-series-magnetic-suction-bracket-air-type-black-suer-a01.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
817351507,6684945,2E,Гарнитура 2E CH11 Mono USB (2E-CH11MU),349,1785314,"Аудио, фото и видео >> Наушники >> Наушники 2E",2e,Гарнітура дротова 2E CH11 Mono USB (2E-CH11MU),,349,1,https://comfy.ua/garnitura-provodnaja-igrovaja-2e-ch11-mono-usb-2e-ch11mu.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
817351633,,,,,.1784047,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXF20/RXF20,,38585,1,https://comfy.ua/kondicioner-split-daikin-ftxf20-rxf20.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
817351634,,,,,.1784048,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXF25/RXF25,,40085,1,https://comfy.ua/kondicioner-split-daikin-ftxf25-rxf25.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
817351635,,,,,.1784049,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXF35/RXF35,,42565,1,https://comfy.ua/kondicioner-split-daikin-ftxf35-rxf35.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
817351734,6639384,TOPEX,Набор инструментов TOPEX 37 пр (39D343),546,1769641,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи TOPEX,topex,Набір торцевих голівок з тримачами TOPEX 39D343 37 шт.,,599,1,https://comfy.ua/nabor-torcevyh-golovok-s-derzhateljami-topex-39d343-37-sht.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
817357432,7109612,RITAR,ИБП RITAR RTSWrl-1000,6224,1777718,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания Ritar",ritar,Джерело безперебійного живлення Ritar RTSWrl-1000,,6860,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-ritar-rtswrl-1000.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
817357587,,,,,1784052,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXP20M9/RXP20M,,49265,1,https://comfy.ua/kondicioner-split-daikin-ftxp20m9-rxp20m.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
817358586,,,,,.1784053,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXP25M9/RXP25M,,52599,1,https://comfy.ua/kondicioner-split-daikin-ftxp25m9-rxp25m.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
817358589,,,,,.1784054,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXP35M9/RXP35M,,62009,1,https://comfy.ua/kondicioner-split-daikin-ftxp35m9-rxp35m.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
817358592,,,,,.1784050,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXF50/RXF50,,77055,1,https://comfy.ua/kondicioner-split-daikin-ftxf50-rxf50.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
817358593,,,,,.1784051,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXF60/RXF60,,79575,1,https://comfy.ua/kondicioner-split-daikin-ftxf60-rxf60.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
817358595,,,,,.1784062,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXA20/RXA20,,83499,1,https://comfy.ua/kondicioner-split-daikin-ftxa20bt-rxa20a.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
817358596,,,,,.1784063,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXA20BS/RXA20A,,86249,1,https://comfy.ua/kondicioner-split-daikin-ftxa20bs-rxa20a.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
817358602,,,,,.1784064,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXA25BB/RXA25A,,91905,1,https://comfy.ua/kondicioner-split-daikin-ftxa25bb-rxa25a.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
817358604,,,,,.1784065,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXA35BT/RXA35A,,107085,1,https://comfy.ua/kondicioner-split-daikin-ftxa35bt-rxa35a.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
817358605,,,,,.1784066,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXA35BS/RXA35A,,109955,1,https://comfy.ua/kondicioner-split-daikin-ftxa35bs-rxa35a.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
817358606,,,,,.1784067,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXA35BB/RXA35A,,111285,1,https://comfy.ua/kondicioner-split-daikin-ftxa35bb-rxa35a.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
817358607,,,,,.1784061,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXJ50MW/RXJ50M,,182615,1,https://comfy.ua/kondicioner-split-daikin-ftxj50mw-rxj50m.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
817358608,,,,,.1784068,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXA50AW/RXA50A,,165695,1,https://comfy.ua/kondicioner-split-daikin-ftxa50aw-rxa50a.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
817358609,,,,,.1784070,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXA50BS/RXA50A,,180419,1,https://comfy.ua/kondicioner-split-daikin-ftxa50bs-rxa50a.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
817358610,,,,,.1784069,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXA50BT/RXA50A,,177659,1,https://comfy.ua/kondicioner-split-daikin-ftxa50bt-rxa50a.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
817358611,,,,,.1784071,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXA50BB/RXA50A,,181449,1,https://comfy.ua/kondicioner-split-daikin-ftxa50bb-rxa50a.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
817358660,6569473,HAISSER,Уровень HAISSER 26073 1000 мм (88797),810,1720297,Инструменты и автотовары >> Ручные инструменты >> Уровни >> Уровни Haisser,haisser,Рівень Haisser 1000 мм (26073),,809,1,https://comfy.ua/uroven-haisser-1000-mm-26073.html,,05.11.2025 23:23,,"вул. Соборна, 42",Фастів,0
817358662,,,,,1784055,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXM20/RXM20,,75765,1,https://comfy.ua/catalog/product/view/id/2209493,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
817358707,7072609,JOSEPH JOSEPH,Пресс для чеснока JOSEPH JOSEPH CleanForce (20179),1529,1785543,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Joseph Joseph,joseph-joseph,Прес для часнику Joseph Joseph 20179,,1295,1,https://comfy.ua/press-dlja-chesnoka-joseph-joseph-20179.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
817358857,,,,,1778078,Техника для дома >> Аксессуары к крупной технике >> Комплекты креплений для установки >> Комплекты креплений для установки Samsung,samsung,Комплект кріплень для установки в колону Samsung RA-C07KAAGG,,855,1,https://comfy.ua/komplekt-kreplenij-dlja-ustanovki-v-kolonnu-samsung-ra-c07kaagg.html,1899,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
817358931,6617640,GRUNHELM,"Удлинитель GRUNHELM WO3W3M 3 розетки 3м 16А 2х1,0мм2 White (102260)",138,1776300,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Сетевые фильтры и удлинители >> Сетевые фильтры и удлинители Grunhelm",grunhelm,Подовжувач 220В Grunhelm WO3W3M,,175,1,https://comfy.ua/udlinitel-220v-grunhelm-wo3w3m.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
817359009,,,,,.1783438,Техника для дома >> Аксессуары к мелкой технике,menalux,Мішок для пилососа багаторазовий Menalux 1000,,299,1,https://comfy.ua/meshok-dlja-pylesosa-mnogorazovyj-menalux-1000.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
817359449,,,,,.1776857,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",csb,Акумулятор для ДБЖ CSB 12V 7.2 AH (GPL1272F2),,1393,1,https://comfy.ua/akkumuljator-dlja-ibp-csb-12v-7-2-ah-gpl1272f2.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
817359497,7134846,CSB,Аккумуляторная батарея CSB 12V 17Ah Q4/96 (GP12170B1),3133,1778016,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Аккумуляторы для ИБП >> Аккумуляторы для ИБП CSB",csb,Акумулятор для ДБЖ CSB 12V 17 AH (GP12170B1/ В3),,3450,1,https://comfy.ua/akkumuljator-dlja-ibp-csb-12v-17-ah-gp12170b1-v3.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
817359888,,,,,1785948,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",becover,Чохол для планшета BeCover Smart for Lenovo Tab M10 HD 2nd Gen TB-X306 Black (705627),,399,1,https://comfy.ua/catalog/product/view/id/2224753,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
817359891,,,,,1785948,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",becover,Чохол для планшета BeCover Smart for Lenovo Tab M10 HD 2nd Gen TB-X306 Black (705627),,399,1,https://comfy.ua/chehol-dlja-plansheta-becover-smart-for-lenovo-tab-m10-hd-2nd-gen-tb-x306-black-705627.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
817360567,6688328,HIGH PEAK,Палатка High Peak Garda 4.0 Light Grey/Dark Grey/Green (11821),24499,1784292,"Дом, отдых и зоотовары >> Отдых и путешествия >> Палатки >> Палатки High Peak",high-peak,Палатка High Peak Garda 4.0 Light Grey/Dark Grey/Green (11821),,24499,1,https://comfy.ua/palatka-high-peak-garda-4-0-light-grey-dark-grey-green-11821.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
817360568,6822649,HIGH PEAK,Палатка HIGH PEAK Garda 5.0 Light Grey/Dark Grey/Green (11823),26999,1784284,"Дом, отдых и зоотовары >> Отдых и путешествия >> Палатки >> Палатки High Peak",high-peak,Палатка High Peak Garda 5.0 Light Grey/Dark Grey/Green (11823),,26999,1,https://comfy.ua/palatka-high-peak-garda-5-0-light-grey-dark-grey-green-11823.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
817360569,6878233,HIGH PEAK,Палатка HIGH PEAK Bozen 5.0 Light Grey/Dark Grey/Green (11836),26999,1784285,"Дом, отдых и зоотовары >> Отдых и путешествия >> Палатки >> Палатки High Peak",high-peak,Палатка High Peak Bozen 5.0 Light Grey/Dark Grey/Green (11836),,26999,1,https://comfy.ua/palatka-high-peak-bozen-5-0-light-grey-dark-grey-green-11836.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
817360571,6734554,NEO TOOLS,Сумка NEO TOOLS CAMO на пояс 36х12 см (84-324),499,1770680,Инструменты и автотовары >> Расходные материалы >> Ящики для инструментов >> Ящики для инструментов Neo Tools,neo-tools,Сумка для інструментів Neo Tools САМО 36х12 см (84-324),,499,1,https://comfy.ua/sumka-dlja-instrumentov-neo-tools-samo-36h12-sm-84-324.html,,05.11.2025 22:01,,"вул. Соборна, 42",Фастів,0
817360589,6734555,NEO TOOLS,Сумка для инструмента Neo Tools CAMO (84-323),1259,1770677,Инструменты и автотовары >> Расходные материалы >> Ящики для инструментов >> Ящики для инструментов Neo Tools,neo-tools,Сумка для інструментів Neo Tools CAMO 25х19 см (84-323),,1259,1,https://comfy.ua/sumka-dlja-instrumentov-neo-tools-camo-25h19-sm-84-323.html,,05.11.2025 22:07,,"вул. Соборна, 42",Фастів,0
817360771,6660401,BABYLISS,Фен BABYLISS 6714E,3399,1719525,Красота и здоровье >> Уход за волосами >> Фены >> Фены Babyliss,babyliss,Фен Babyliss 6714E,,3399,1,https://comfy.ua/fen-babyliss-6714e.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
817361026,,,,,.1779531,"Аудио, фото и видео >> Фотокамеры",powerplant,Акумулятор для фотокамери PowerPlant Sony AN-190W 13200mAh (DV00DV1418),,10999,1,https://comfy.ua/akkumuljator-dlja-fotokamery-powerplant-sony-an-190w-13200mah-dv00dv1418.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
817361704,6733426,KARCHER,Насадка пылеуловитель KARCHER 2.863-234.0,999,1783901,Техника для дома >> Аксессуары к мелкой технике >> Насадки для пароочистителей >> Насадки для пароочистителей Karcher,karcher,Насадка для пилососа Karcher з пиловловлювачем 2.863-234.0,,999,1,https://comfy.ua/nasadka-dlja-pylesosa-karcher-s-pyleulovitelem-2-863-234-0.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
817366346,,,,,1784302,Посуда >> Для приготовления >> Сковороды >> Сковороды de Buyer,de-buyer,Сковорода універсальна de Buyer без ручки 24 см 8740.24,,5745,1,https://comfy.ua/skovoroda-universal-naja-de-buyer-bez-ruchki-24-sm-8740-24.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
