817366347,column,column,column,column,1784303,________de_buyer,debuyer,__de_buyer___28__874028,column,5084,1,httpscomfyuaskovorodauniversalnajadebuyerbezruchki28sm874028html,column,05112025_2121,column,__42,Фастів,0
817366347,,,,,1784303,Посуда >> Для приготовления >> Сковороды >> Сковороды de Buyer,de-buyer,Сковорода універсальна de Buyer без ручки 28 см 8740.28,,5084,1,https://comfy.ua/skovoroda-universal-naja-de-buyer-bez-ruchki-28-sm-8740-28.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
817457119,,,,,.1784056,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXM25/RXM25,,79305,1,https://comfy.ua/kondicioner-split-daikin-ftxm25-rxm25.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
817457120,,,,,.1784057,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXM35/RXM35,,93975,1,https://comfy.ua/kondicioner-split-daikin-ftxm35-rxm35.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
817457186,,,,,.1784058,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXM42/RXM42,,115629,1,https://comfy.ua/kondicioner-split-daikin-ftxm42-rxm42.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
817457187,,,,,.1784059,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXM50/RXM50,,129875,1,https://comfy.ua/kondicioner-split-daikin-ftxm50-rxm50.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
817459039,6487714,KARCHER,Быстрозарядное устройство KARCHER 18 V (2.445-032.0),1859,1783133,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства Karcher,karcher,З/П до акумуляторної батареї для електроінструментів Karcher 18 V (2.445-032.0),,1999,1,https://comfy.ua/z-u-k-akkumuljatornoj-bataree-dlja-jelektroinstrumentov-karcher-18-v-2-445-032-0.html,,05.11.2025 21:24,,"вул. Соборна, 42",Фастів,0
817459040,6487711,KARCHER,Зарядное устройство KARCHER 36V (2.445-033.0),2999,1783134,Инструменты и автотовары >> Электроинструменты >> Аккумуляторы и зарядные устройства >> Аккумуляторы и зарядные устройства Karcher,karcher,З/П до акумуляторної батареї для електроінструментів Karcher 36 V (2.445-033.0),,2999,1,https://comfy.ua/z-u-k-akkumuljatornoj-bataree-dlja-jelektroinstrumentov-karcher-36-v-2-445-033-0.html,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
817462781,,,,,1777651,"Аудио, фото и видео >> Наушники",sennheiser,Гарнітура дротова Sennheiser ADAPT 165T USB-C II (1000906),,5339,1,https://comfy.ua/catalog/product/view/id/2216173,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
817529204,,,,,1774494,Техника для дома >> Климатическая техника >> Фильтры для увлажнителей и очистителей воздуха >> Фильтры для увлажнителей и очистителей воздуха Sharp,sharp,Фільтр до очищувача повітря Sharp FZA41DFR,,1999,1,https://comfy.ua/fil-tr-dlja-ochistitelja-vozduha-sharp-fza41dfr.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
817529416,6687479,SHARP,Фильтр для очистителя воздуха Sharp FZA51DFR,2999,1774496,Техника для дома >> Климатическая техника >> Фильтры для увлажнителей и очистителей воздуха >> Фильтры для увлажнителей и очистителей воздуха Sharp,sharp,Фільтр до очищувача повітря Sharp FZA51DFR,,1999,1,https://comfy.ua/fil-tr-dlja-ochistitelja-vozduha-sharp-fza51dfr.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
817529417,6687480,SHARP,Фильтр для очистителя воздуха Sharp FZA51HFR,4499,1774497,Техника для дома >> Климатическая техника >> Фильтры для увлажнителей и очистителей воздуха >> Фильтры для увлажнителей и очистителей воздуха Sharp,sharp,Фільтр до очищувача повітря Sharp FZA51HFR,,4499,1,https://comfy.ua/fil-tr-dlja-ochistitelja-vozduha-sharp-fza51hfr.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
817529419,6687485,SHARP,Фильтр SHARP FZF30DFE,1229,1774499,Техника для дома >> Климатическая техника >> Фильтры для увлажнителей и очистителей воздуха >> Фильтры для увлажнителей и очистителей воздуха Sharp,sharp,Фільтр до очищувача повітря Sharp FZF30DFE,,1799,1,https://comfy.ua/fil-tr-dlja-ochistitelja-vozduha-sharp-fzf30dfe.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
817529420,6687487,SHARP,Фильтр для очистителя воздуха Sharp FZY30SFE,2399,1774500,Техника для дома >> Климатическая техника >> Фильтры для увлажнителей и очистителей воздуха >> Фильтры для увлажнителей и очистителей воздуха Sharp,sharp,Фільтр до очищувача повітря Sharp FZY30SFE,,2399,1,https://comfy.ua/fil-tr-dlja-ochistitelja-vozduha-sharp-fzy30sfe.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
817595991,,,,,1777727,"Аудио, фото и видео >> Акустика",gembird,Мікрофон до комп'ютера Gembird MIC-D-04 (1604993),,149,1,https://comfy.ua/catalog/product/view/id/2213673,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
817613902,,,,,1599832,Техника для дома >> Климатическая техника,maxcan,Фільтр-картридж до зволожувача повітря Maxcan FH-105 Black,,149,1,https://comfy.ua/fil-tr-kartridzh-dlja-uvlazhnitelja-vozduha-maxcan-fh-105-black.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
817645569,,,,,1780896,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Перехідник Cablexpert DisplayPort - VGA (A-DPM-VGAF-02-W),,229,1,https://comfy.ua/catalog/product/view/id/2216303,,05.11.2025 21:28,,"вул. Соборна, 42",Фастів,0
817681694,,,,,1785802,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",powerplant,Мережевий фільтр PowerPlant 3.0 м 3x1.5мм 10А 6 розеток (PPUA10M30S6),,220,1,https://comfy.ua/setevoj-fil-tr-powerplant-3-0-m-3x1-5mm-10a-6-rozetok-ppua10m30s6.html,259,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
817681695,,,,,1785801,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",powerplant,Мережевий фільтр PowerPlant 5.0 м 3x1.5мм2 10А 5 розеток (PPUA10M50S5),,254,1,https://comfy.ua/setevoj-fil-tr-powerplant-5-0-m-3x1-5mm2-10a-5-rozetok-ppua10m50s5.html,299,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,0
817688529,6653288,GLOBBER,Самокат GLOBBER ELITE Green/Grey (449-100-3),3270,1787206,Детские товары >> Детский транспорт,globber,Триколісний самокат Globber Elite Зелений (449-106-3),,3269,1,https://comfy.ua/catalog/product/view/id/2236803,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
817702337,,,,,1770016,Бытовая химия >> Все для уборки,dr-beckmann,Засіб для чищення універсальний Dr.BECKMANN Чудо-паста 3в1 400 г,,318,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-dr-beckmann-chudo-pasta-3v1-400-g.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
817726330,,,,,.1785550,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",mikrotik,Точка доступу MikroTik wAP ac LTE Kit (RBwAPGR-5HacD2HnD&R11e-LTE6),,9669,1,https://comfy.ua/tochka-dostupa-mikrotik-wap-ac-lte-kit-rbwapgr-5hacd2hnd-r11e-lte6.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
817726541,,,,,1723499,"Аудио, фото и видео >> Наушники",gmb-audio,Гарнітура бездротова Gmb Audio Варшава Black (BHP-WAW),,699,1,https://comfy.ua/catalog/product/view/id/2236763,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
817798869,,,,,.1787104,Смарт-часы и гаджеты >> Аксессуары,gembird,Нитка для PLA-картриджа Gembird 3DP-PLA1.75-01-S,,639,1,https://comfy.ua/3d-plastik-gembird-3dp-pla1-75-01-s.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
