819710328,column,column,column,column,1690117,Посуда >> Кухонные аксессуары,tescoma,____tescoma_899410_flexispace_370x222_,column,1099,1,httpscomfyuaorganajzerdljastolovyhpriborovtescoma899410flexispace370x222mmhtml,column,05112025_1936,column,__42,Фастів,0
819710328,,,,,1690117,Посуда >> Кухонные аксессуары,tescoma,Органайзер для столових приборів tescoma 899410 FlexiSpace 370x222 мм,,1099,1,https://comfy.ua/organajzer-dlja-stolovyh-priborov-tescoma-899410-flexispace-370x222-mm.html,,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
819710329,7061454,JOSEPH JOSEPH,Подставка JOSEPH JOSEPH (70033),1529,1084808,Посуда >> Кухонные аксессуары >> Органайзеры и подставки для кухни >> Органайзеры и подставки для кухни Joseph Joseph,joseph-joseph,Підставка для кухонного приладдя Joseph Joseph 70033,,1075,1,https://comfy.ua/podstavka-dlja-kuhonnyh-prinadlezhnostej-joseph-joseph-70033.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
819710330,,,,,1739144,Посуда >> Кухонные аксессуары,tescoma,Органайзер для кухні tescoma 639079 President,,1799,1,https://comfy.ua/organajzer-dlja-kuhni-tescoma-639079-president.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
819710332,,,,,1684233,Посуда >> Для сервировки,wmf,Відро для льоду WMF 683969990 MANHATTAN Clever & More,,2799,1,https://comfy.ua/vedro-dlja-l-da-wmf-683969990-manhattan-clever-more.html,3399,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
819710333,,,,,1687509,Посуда >> Для сервировки,wmf,Охолоджувач для пляшки WMF 0415400011 AMBIENT WINE COOLER,,3399,1,https://comfy.ua/ohladitel-dlja-butylki-wmf-415400011-ambiente.html,4599,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
819710397,7061400,JOSEPH JOSEPH,Набор для приготовления салата JOSEPH JOSEPH 4-в-1 (20154),4125,1783414,"Посуда >> Нарезка и измельчение >> Терки, шинковки >> Терки, шинковки Joseph Joseph",joseph-joseph,Набір приладдя для салату Joseph Joseph 4 пр. 20154,,3495,1,https://comfy.ua/nabor-prinadlezhnostej-dlja-salata-joseph-joseph-4-pr-20154.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
819710398,,,,,1750955,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Tescoma,tescoma,Вінчик tescoma 420389 Presto,,249,1,https://comfy.ua/venchik-tescoma-420389-presto.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
819710402,6676732,VINZER,Венчик VINZER 28.5 см 50216,227,1779911,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Vinzer,vinzer,Вінчик Vinzer 50216,,228,1,https://comfy.ua/venchik-vinzer-50216.html,326,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
819710404,,,,,1739142,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Tescoma,tescoma,Вінчик tescoma 428286 GrandChef,,339,1,https://comfy.ua/venchik-tescoma-428286-grandchef.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
819710406,,,,,1739143,Посуда >> Кухонные аксессуары,tescoma,Вінчик tescoma 428289 GrandChef,,399,1,https://comfy.ua/venchik-tescoma-428289-grandchef.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
