819711444,column,column,column,column,1711140,___________interline,interline,__interline_brut_avena,column,4299,1,httpscomfyuamojkakuhonnajainterlinebrutavenahtml,5399,05112025_2029,column,__42,Фастів,0
819711444,,,,,1711140,Дом и отдых >> Сантехника >> Мойки кухонные >> Мойки кухонные Interline,interline,Мийка кухонна Interline Brut Avena,,4299,1,https://comfy.ua/mojka-kuhonnaja-interline-brut-avena.html,5399,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
819711446,,,,,1711141,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Interline",interline,Мийка кухонна Interline Brut Black,,4299,1,https://comfy.ua/mojka-kuhonnaja-interline-brut-black.html,5399,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
819711447,,,,,1711149,Дом и отдых >> Сантехника >> Мойки кухонные >> Мойки кухонные Interline,interline,Мийка кухонна Interline Brut Old White,,4299,1,https://comfy.ua/mojka-kuhonnaja-interline-brut-old-white.html,5399,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
819711448,,,,,1711151,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Interline",interline,Мийка кухонна Interline Brut Terra,,4299,1,https://comfy.ua/mojka-kuhonnaja-interline-brut-terra.html,5399,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
819711454,,,,,1711504,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Interline",interline,Мийка кухонна Interline Polo Microdecor,,1799,1,https://comfy.ua/mojka-kuhonnaja-interline-polo-microdecor.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
819711455,,,,,1711500,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Interline",interline,Мийка кухонна Interline Spring sateen,,1799,1,https://comfy.ua/mojka-kuhonnaja-interline-spring-sateen.html,2499,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
819711456,,,,,1711493,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Interline",interline,Мийка кухонна Interline Vega Sateen,,1899,1,https://comfy.ua/mojka-kuhonnaja-interline-vega-sateen.html,2099,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
819711460,,,,,1711503,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Interline",interline,Мийка кухонна Interline Under Sateen,,1699,1,https://comfy.ua/mojka-kuhonnaja-interline-under-sateen.html,2499,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
819711480,,,,,1711179,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Interline",interline,Мийка кухонна Interline Eva Avena,,4299,1,https://comfy.ua/mojka-kuhonnaja-interline-eva-avena.html,4999,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
819711481,,,,,1711181,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Interline",interline,Мийка кухонна Interline Eva Grigio,,4299,1,https://comfy.ua/mojka-kuhonnaja-interline-eva-grigio.html,4999,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
