819715195,6602593,СТАЛЬ,__50__22702,371,1633528,Инструменты и автотовары >> Ручные инструменты >> Рулетки >> Рулетки Сталь,stal,__50_22702,column,379,1,httpscomfyuaruletkastal50m22702html,column,05112025_2046,column,__42,Фастів,0
819715195,6602593,СТАЛЬ,Рулетка СТАЛЬ 50 м (22702),371,1633528,Инструменты и автотовары >> Ручные инструменты >> Рулетки >> Рулетки Сталь,stal,Рулетка Сталь 50м (22702),,379,1,https://comfy.ua/ruletka-stal-50m-22702.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
819715196,6602611,HAISSER,Рулетка HAISSER 22017 10 м x 25 мм (90049),475,1727042,Инструменты и автотовары >> Ручные инструменты >> Рулетки >> Рулетки Haisser,haisser,Рулетка Haisser Compact 10мx25мм (22017),,745,1,https://comfy.ua/ruletka-haisser-compact-10mx25mm-22017.html,,05.11.2025 23:21,,"вул. Соборна, 42",Фастів,0
819715197,6602602,СТАЛЬ,Рулетка СТАЛЬ 22204 7.5 м х 25 мм (38317),176,1633504,Инструменты и автотовары >> Ручные инструменты >> Рулетки >> Рулетки Сталь,stal,Рулетка Сталь 7.5мх25мм (22204),,179,1,https://comfy.ua/ruletka-stal-7-5mh25mm-22204.html,,05.11.2025 23:26,,"вул. Соборна, 42",Фастів,0
819715199,,,,,1720238,Инструменты и автотовары >> Ручные инструменты >> Рулетки >> Рулетки Stark,stark,Рулетка Stark Polaris 5x25 (503350025),,189,1,https://comfy.ua/ruletka-stark-polaris-5x25-503350025.html,,05.11.2025 22:16,,"вул. Соборна, 42",Фастів,0
819715200,6602613,HAISSER,Рулетка HAISSER 22015 5 м x 25 мм (84378),306,1633561,Инструменты и автотовары >> Ручные инструменты >> Рулетки >> Рулетки Haisser,haisser,Рулетка Haisser Compact 5мx25мм (22015),,399,1,https://comfy.ua/ruletka-haisser-compact-5mx25mm-22015.html,,05.11.2025 22:50,,"вул. Соборна, 42",Фастів,0
819719494,,,,,1763113,OUTLET,valera,Уцінка - Фен Valera Swiss Silent 6500 Ionic Rotocord (SX6500YRC) #,,3100,1,https://comfy.ua/fen-valera-swiss-silent-6500-ionic-rotocord-sx6500yrc-ucenka-1-1.html,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
819719510,,,,,1135807,OUTLET,moulinex,Уцінка - М'ясорубка Moulinex ME626132 #,,3999,1,https://comfy.ua/mjasorubka-moulinex-me626132-ucenka-1-1.html,6159,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
819719537,,,,,1375427,OUTLET,tefal,Уцінка - Хлібопічка Tefal PF210138 #,,4139,1,https://comfy.ua/hlebopech-tefal-pf210138-ucenka-1-1.html,4769,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
819719543,,,,,1429069,OUTLET,philips,Уцінка - Робот-пилосос Philips FC8822/01 #,,10399,1,https://comfy.ua/pylesos-robot-philips-fc8822-01-ucenka-1-1.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
819719622,,,,,1789375,OUTLET,wmf,Уцінка - Гриль-барбекю електричний WMF 415110011 LONO #,,4499,1,https://comfy.ua/gril-barbekju-jelektricheskij-wmf-2v1-lono-4211129127462-ucenka-1-1.html,7199,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
819721348,,,,,1792004,Детские товары >> Прогулки и поездки,britax-romer,Автокрісло Britax-Romer TRIFIX2 i-SIZE Storm Grey,,14025,1,https://comfy.ua/catalog/product/view/id/2279953,16500,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
819722060,,,,,1773677,Техника для дома >> Климатическая техника,mitsubishi-electric,Кондиціонер спліт Mitsubishi Electric MSZ-EF35VGKB\MUZ-EF35VG,,65839,1,https://comfy.ua/catalog/product/view/id/2276563,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
819722203,6626784,SENCOR,Измельчитель SENCOR SCB 6150SS-EUE3,1599,1693405,Техника для кухни >> Мелкая техника >> Измельчители >> Измельчители Sencor,sencor,Подрібнювач Sencor SCB 6150SS-EUE3,,1599,1,https://comfy.ua/izmel-chitel-sencor-scb-6150ss-eue3.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
819722270,,,,,1787900,Смартфоны и телефоны >> Аксессуары для смартфонов,colorway,Бездротовий зарядний пристрій Colorway Wireless Stand 10W Blue (CW-CHW30Q-BL),,499,1,https://comfy.ua/catalog/product/view/id/2277663,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
819738763,,,,,1780759,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Перехідник HDMI Cablexpert HDMI to micro-HDMI (A-HDMI-FD),,79,1,https://comfy.ua/catalog/product/view/id/2274843,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
819741093,,,,,1791767,Детские товары >> Кормление,lionelo,Стульчик для кормления трансформер Lionelo Linn Plus Turquoise,,4499,1,https://comfy.ua/catalog/product/view/id/2281223,,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
819741094,,,,,1791769,Детские товары >> Кормление,lionelo,Стульчик для кормления трансформер Lionelo Linn Plus Grey,,4499,1,https://comfy.ua/catalog/product/view/id/2281173,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
819781120,6528920,TOPEX,"""Набор торцевых головок TOPEX 1/4 """" 8 шт (39D387)""",179,1790229,Инструменты и автотовары >> Расходные материалы >> Биты >> Биты TOPEX,topex,Біта для викрутки TOPEX 1/4'' 8 шт. (39D387),,185,1,https://comfy.ua/nabor-bit-dlja-otvertki-topex-1-4-8-sht-39d387.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
819781811,6602394,GEMIX,Стабилизатор напряжения GEMIX GX-1001D,1617,1790340,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Стабилизаторы напряжения >> Стабилизаторы напряжения Gemix",gemix,Стабілізатор напруги Gemix GX-1001D,,1722,1,https://comfy.ua/stabilizator-naprjazhenija-gemix-gx-1001d.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
819781902,6687671,TEFAL,Блендер TEFAL BL2C0130,1899,1792022,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Tefal,tefal,Блендер стаціонарний Tefal BL2C0130,,1899,1,https://comfy.ua/blender-stacionarnyj-tefal-bl2c0130.html,2399,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
819781906,6688253,ASTOR,Утюг ASTOR SG 2071,738,1788113,Техника для дома >> Мелкая техника >> Утюги >> Утюги Astor,astor,Праска Astor SG2071,,739,1,https://comfy.ua/utjug-astor-sg2071.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
819781907,6688252,ASTOR,Утюг ASTOR SG 2070,852,1788112,Техника для дома >> Мелкая техника >> Утюги >> Утюги Astor,astor,Праска Astor SG2070,,829,1,https://comfy.ua/utjug-astor-sg2070.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
819781910,6688254,ASTOR,Утюг ASTOR SG 2072,744,1788114,Техника для дома >> Мелкая техника >> Утюги >> Утюги Astor,astor,Праска Astor SG2072,,655,1,https://comfy.ua/utjug-astor-sg2072.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
819781911,6688255,ASTOR,Утюг ASTOR SG 2073,744,1788115,Техника для дома >> Мелкая техника >> Утюги >> Утюги Astor,astor,Праска Astor SG2073,,745,1,https://comfy.ua/utjug-astor-sg2073.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
819781915,,,,,1791767,Детские товары >> Кормление >> Стульчики для кормления >> Стульчики для кормления Lionelo,lionelo,Стульчик для кормления трансформер Lionelo Linn Plus Turquoise,,4499,1,https://comfy.ua/stul-chik-dlja-kormlenija-transformer-lionelo-linn-plus-turquoise.html,,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
819781916,,,,,1791769,Детские товары >> Кормление >> Стульчики для кормления >> Стульчики для кормления Lionelo,lionelo,Стульчик для кормления трансформер Lionelo Linn Plus Grey,,4499,1,https://comfy.ua/stul-chik-dlja-kormlenija-transformer-lionelo-linn-plus-grey.html,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
819781920,6688256,ASTOR,Утюг ASTOR SG 2074,564,1788116,Техника для дома >> Мелкая техника >> Утюги >> Утюги Astor,astor,Праска Astor SG2074,,565,1,https://comfy.ua/utjug-astor-sg2074.html,,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
819781927,6684554,LG,Холодильник LG GW-B509PSAP,41499,1791858,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники LG,lg,Холодильник LG GW-B509PSAP,,39999,1,https://comfy.ua/holodil-nik-lg-gw-b509psap.html,43999,05.11.2025 21:17,,"вул. Соборна, 42",Фастів,0
819781931,6496201,AKG,Наушники AKG K271 MKII (2470X00190),7499,1791928,"Аудио, фото и видео >> Наушники >> Наушники AKG",akg,Гарнітура дротова AKG K271 MKII Black (2470X00190),,7499,1,https://comfy.ua/garnitura-provodnaja-akg-k271-mkii-black-2470x00190.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
819781947,,,,,1792004,Детские товары >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Britax-Romer,britax-romer,Автокрісло Britax-Romer TRIFIX2 i-SIZE Storm Grey,,14025,1,https://comfy.ua/avtokreslo-britax-romer-trifix2-i-size-storm-grey.html,16500,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
819781989,6679297,GORENJE,Утюг GORENJE SIH 2200 TQC (SG-5518),1399,1790119,Техника для дома >> Мелкая техника >> Утюги >> Утюги Gorenje,gorenje,Праска Gorenje SIH 2200 TQC (SG-5518),,1099,1,https://comfy.ua/utjug-gorenje-sih-2200-tqc-sg-5518.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
819782012,6703123,ARDESTO,Холодильник ARDESTO DFM-50X,4699,1791119,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Ardesto,ardesto,Холодильник Ardesto DFM-50X,,3899,1,https://comfy.ua/holodil-nik-ardesto-dfm-50x.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
819782242,6688259,ASTOR,Мясорубка ASTOR MG 2105,2119,1788883,Техника для кухни >> Мелкая техника >> Мясорубки >> Мясорубки Astor,astor,М'ясорубка Astor MG2105,,2119,1,https://comfy.ua/mjasorubka-astor-mg2105.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
819784107,6715611,ROWENTA,Моющая насадка ROWENTA ZR009600,1999,1791521,Техника для дома >> Аксессуары к мелкой технике,rowenta,Насадка для пилососа Rowenta ZR009600,,999,1,https://comfy.ua/nabor-aksessuarov-dlja-pylesosa-rowenta-zr009600.html,3299,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
819784548,,,,,1791556,"Инструменты и автотовары >> Садовые инструменты >> Триммеры, мотокосы, электрокосы >> Триммеры, мотокосы, электрокосы Forte",,Тример садовий Forte ЕМК-361,,2255,1,https://comfy.ua/trimmer-sadovyj-forte-emk-361.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
819786269,6306821,STANLEY,Ящик STANLEY 1-95-617,3702,1789581,Инструменты и автотовары >> Расходные материалы >> Ящики для инструментов >> Ящики для инструментов Stanley,stanley,Ящик для інструментів Stanley FatMax 26 '' 662x293x295 мм (1-95-617),,3705,1,https://comfy.ua/jaschik-dlja-instrumentov-stanley-fatmax-26-662x293x295-mm-1-95-617.html,,05.11.2025 22:18,,"вул. Соборна, 42",Фастів,0
819787014,,,,,.1791705,Смартфоны и телефоны >> Аксессуары для смартфонов,acclab,Захисне скло для смартфону ACCLAB Full Glue for Apple iPhone SE 2020/8/7 Black (1283126508172),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-acclab-full-glue-for-apple-iphone-se-2020-8-7-black-1283126508172.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
819787015,,,,,.1791706,Смартфоны и телефоны >> Аксессуары для смартфонов,acclab,Захисне скло для смартфону ACCLAB Full Glue for Apple iPhone 11 Pro/X/XS Black (1283126508189),,155,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-acclab-full-glue-for-apple-iphone-11-pro-x-xs-black-1283126508189.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
819787016,,,,,1791708,Смартфоны и телефоны >> Аксессуары для смартфонов,acclab,Захисне скло для смартфону ACCLAB Full Glue for Apple iPhone 11 Pro Max/XS Max Black (1283126508202),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-acclab-full-glue-for-apple-iphone-11-pro-max-xs-max-black-1283126508202.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
819787728,6735302,STANLEY,Ключ разводной STANLEY MaxStee 150 мм (0-90-947),358,1789605,Инструменты и автотовары >> Ручные инструменты >> Ключи >> Ключи Stanley,stanley,Развідний ключ Stanley MaxSteel 150 мм 0-24 мм (0-90-947),,359,1,https://comfy.ua/razvodnoj-kljuch-stanley-maxsteel-150-mm-0-24-mm-0-90-947.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
819787791,,,,,.1791887,Смартфоны и телефоны >> Аксессуары для смартфонов,2e,Мережевий зарядний пристрій 2E USB-C Wall Charger PD3.0 DC5V/3A 20W White (2E-WC1USBC20W-W),,299,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-2e-usb-c-wall-charger-pd3-0-dc5v-3a-20w-white-2e-wc1usbc20w-w.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
819813668,6722628,OSRAM,Светодиодная лампа Osram LED ST8E 1.2 м 16W 1800Lm 6500К AC (4058075817876),129,1790977,"Дом, отдых и зоотовары >> Освещение >> Светильники >> Светильники Osram",osram,Світлодіодний світильник Osram LED ST8 ENTRY AC G13 1200 mm 16-36W 6500K 220V (4058075817876),,129,1,https://comfy.ua/svetodiodnyj-svetil-nik-osram-led-st8-entry-ac-g13-1200-mm-16-36w-6500k-220v-4058075817876.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
819813849,,,,,1787900,Смартфоны и телефоны >> Аксессуары для смартфонов >> Зарядные устройства для смартфонов >> Зарядные устройства для смартфонов Colorway,colorway,Бездротовий зарядний пристрій Colorway Wireless Stand 10W Blue (CW-CHW30Q-BL),,499,1,https://comfy.ua/besprovodnoe-zarjadnoe-ustrojstvo-colorway-wireless-stand-10w-blue-cw-chw30q-bl.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
819814935,6707801,PRIME TECHNICS,Кофемолка PRIME TECHNICS PCG 3050 BR,859,1789499,Техника для кухни >> Мир кофе >> Кофемолки >> Кофемолки Prime Technics,prime-technics,Кавомолка Prime Technics PCG 3050 BR,,859,1,https://comfy.ua/kofemolka-prime-technics-pcg-3050-br.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
819814938,6707802,PRIME TECHNICS,Кофемолка PRIME TECHNICS PCG 3090 DX,1449,1789500,Техника для кухни >> Мир кофе >> Кофемолки >> Кофемолки Prime Technics,prime-technics,Кавомолка Prime Technics PCG 3090 DX,,1449,1,https://comfy.ua/kofemolka-prime-technics-pcg-3090-dx.html,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
819815062,,,,,.1791779,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover Anti-Shock for Samsung Galaxy A52 SM-A525 Clear (706071),,179,1,https://comfy.ua/chehol-dlja-smartfona-becover-anti-shock-for-samsung-galaxy-a52-sm-a525-clear-706071.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
819815067,,,,,.1791783,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover for Nokia 1.4 Black (706069),,179,1,https://comfy.ua/chehol-dlja-smartfona-becover-for-nokia-1-4-black-706069.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
819815783,6668557,STANLEY,Нож Stanley FatMax 350 мм (FMHT0-10327),1085,1789761,Инструменты и автотовары >> Ручные инструменты >> Ножи строительные >> Ножи строительные Stanley,stanley,Ніж будівельний Stanley FMHT0-10327,,1085,1,https://comfy.ua/nozh-stroitel-nyj-stanley-fmht0-10327.html,,05.11.2025 23:01,,"вул. Соборна, 42",Фастів,0
819816068,,,,,1791962,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover Military for Samsung Galaxy A52 SM-A525 Black (706060),,275,1,https://comfy.ua/chehol-dlja-smartfona-becover-military-for-samsung-galaxy-a52-sm-a525-black-706060.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
819816405,6663010,CANDY,Сушильная машина CANDY CSOE H8A2TE-S,19226,1731423,Техника для дома >> Крупная техника >> Сушильные машины >> Сушильные машины Candy,candy,Сушильна машина Candy CSOE H8A2TE-S,,20999,1,https://comfy.ua/sushil-naja-mashina-candy-csoe-h8a2te-s.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
819816448,,,,,1780759,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Перехідник HDMI Cablexpert HDMI to micro-HDMI (A-HDMI-FD),,79,1,https://comfy.ua/perehodnik-hdmi-cablexpert-hdmi-to-micro-hdmi-a-hdmi-fd.html,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
819829612,6688257,ASTOR,Электропечь ASTOR CZ-2109,1199,1787180,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи Astor,astor,Піч електрична Astor CZ2109,,1199,1,https://comfy.ua/pech-jelektricheskaja-astor-cz2109.html,,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
819829613,6688258,ASTOR,Электропечь ASTOR CZ-2209,1249,1787181,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи Astor,astor,Піч електрична Astor CZ2209,,1249,1,https://comfy.ua/pech-jelektricheskaja-astor-cz2209.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
819830104,,,,,1791607,Техника для кухни >> Хранение продуктов >> Сушилки для овощей и фруктов >> Сушилки для овощей и фруктов Holmer,holmer,Сушарка для фруктів та овочів Holmer HFD-52W,,2079,1,https://comfy.ua/sushilka-dlja-fruktov-i-ovoschej-holmer-hfd-52w.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
819832819,6910506,LIITOKALA,Зарядное устройство LIITOKALA Lii-NL4,399,1791975,"Аудио, фото и видео >> Аксессуары для фото, видео >> Аккумуляторы, батарейки и зарядные устройства >> Аккумуляторы, батарейки и зарядные устройства LiitoKala",liitokala,З/пристрій для акумуляторів AA/AAA LiitoKala 4 Slots LED (Lii-NL4),,399,1,https://comfy.ua/z-ustrojstvo-dlja-akkumuljatorov-aa-aaa-liitokala-4-slots-led-lii-nl4.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
819832820,6698963,FSP,ИБП FSP iFP-1000 (PPF6001306),6213,1791851,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания Fsp",fsp,Джерело безперебійного живлення FSP iFP-1000 (PPF6001306),,5480,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-fsp-ifp-1000-ppf6001306.html,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
