819832821,6698964,fsp,_fsp_ifp1500_ppf9003105,8126,1791849,________________fsp,fsp,___fsp_ifp1500_ppf9003105,column,7350,1,httpscomfyuaistochnikbesperebojnogopitanijafspifp1500ppf9003105html,column,05112025_1743,column,__42,Фастів,0
819832821,6698964,FSP,ИБП FSP iFP-1500 (PPF9003105),8126,1791849,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания Fsp",fsp,Джерело безперебійного живлення FSP iFP-1500 (PPF9003105),,7350,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-fsp-ifp-1500-ppf9003105.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
819832822,6698965,FSP,ИБП FSP iFP-2000 (PPF12A1603),10800,1791848,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания Fsp",fsp,Джерело безперебійного живлення FSP iFP-2000 (PPF12A1603),,9900,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-fsp-ifp-2000-ppf12a1603.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
819833086,6710671,MITSUBISHI ELECTRIC,Кондиционер MITSUBISHI Electric Standard Inverter MSZ-AP35VGK/MUZ-AP35VG,70265,1745155,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Mitsubishi Electric,mitsubishi-electric,Кондиціонер спліт Mitsubishi Electric MSZ-AP35VGK (Wi-Fi)\MUZ-AP35VG,,70265,1,https://comfy.ua/kondicioner-split-mitsubishi-electric-msz-ap35vgk-wi-fi-muz-ap35vg.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
819833184,,,,,1773676,Техника для дома >> Климатическая техника,mitsubishi-electric,Кондиціонер спліт Mitsubishi Electric MSZ-EF25VGKB\MUZ-EF25VG,,53309,1,https://comfy.ua/catalog/product/view/id/2276483,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
819833185,,,,,1773678,Техника для дома >> Климатическая техника,mitsubishi-electric,Кондиціонер спліт Mitsubishi Electric MSZ-EF25VGKS\MUZ-EF25VG,,55335,1,https://comfy.ua/catalog/product/view/id/2276603,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
819833186,,,,,1773671,Техника для дома >> Климатическая техника,mitsubishi-electric,Кондиціонер спліт Mitsubishi Electric MSZ-EF25VGKW\MUZ-EF25VG,,53309,1,https://comfy.ua/catalog/product/view/id/2276143,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
819833187,,,,,1745158,Техника для дома >> Климатическая техника,mitsubishi-electric,Кондиціонер спліт Mitsubishi Electric MSZ-EF35VGKS\MUZ-EF35VG,,67005,1,https://comfy.ua/catalog/product/view/id/2261543,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
819833188,,,,,1773679,Техника для дома >> Климатическая техника,mitsubishi-electric,Кондиціонер спліт Mitsubishi Electric MSZ-EF42VGKS\MUZ-EF42VG,,80435,1,https://comfy.ua/catalog/product/view/id/2276653,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
819833189,,,,,.1777669,Техника для дома >> Климатическая техника,mitsubishi-electric,Кондиціонер спліт Mitsubishi Electric MSZ-EF42VGKB\MUZ-EF42VG,,79685,1,https://comfy.ua/kondicioner-split-mitsubishi-electric-msz-ef42vgkb-muz-ef42vg.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
819833190,,,,,1777669,Техника для дома >> Климатическая техника,mitsubishi-electric,Кондиціонер спліт Mitsubishi Electric MSZ-EF42VGKB\MUZ-EF42VG,,79685,1,https://comfy.ua/catalog/product/view/id/2276723,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
