820680670,column,column,column,column,1768145,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,__qbox_a6616,column,43169,1,httpscomfyuasistemnyjblokqboxa6616html,49619,05112025_1940,column,__42,Фастів,0
820680670,,,,,.1768145,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox A6616,,43169,1,https://comfy.ua/sistemnyj-blok-qbox-a6616.html,49619,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
820680671,,,,,.1768146,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox A6617,,45474,1,https://comfy.ua/sistemnyj-blok-qbox-a6617.html,52269,05.11.2025 21:22,,"вул. Соборна, 42",Фастів,0
820680672,,,,,.1768147,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox A6618,,46205,1,https://comfy.ua/sistemnyj-blok-qbox-a6618.html,53109,05.11.2025 21:22,,"вул. Соборна, 42",Фастів,0
820681228,,,,,1796237,Красота и здоровье >> Уход за волосами,beurer,Машинка для стрижки волосся Beurer HR 5000,,2119,1,https://comfy.ua/catalog/product/view/id/2323353,3259,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
820681537,,,,,1794593,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,Кабель синхронізації даних Baseus Cafule Cable USB For Type-C 3A 0.5m Red/Black (CATKLF-A91),,149,1,https://comfy.ua/kabel-sinhronizacii-dannyh-baseus-cafule-cable-usb-for-type-c-3a-0-5m-red-black-catklf-a91.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
820681538,,,,,1794578,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,Кабель синхронізації даних Baseus Cafule Cable USB For Type-C 3A 0.5m Gray/Black (CATKLF-AG1),,149,1,https://comfy.ua/kabel-sinhronizacii-dannyh-baseus-cafule-cable-usb-for-type-c-3a-0-5m-gray-black-catklf-ag1.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
820681574,,,,,1794574,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,Кабель синхронізації даних Baseus Cafule Cable USB For Type-C 2A 2m Gray/Black (CATKLF-CG1),,199,1,https://comfy.ua/kabel-sinhronizacii-dannyh-baseus-cafule-cable-usb-for-type-c-2a-2m-gray-black-catklf-cg1.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
820681579,,,,,1794577,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Baseus",baseus,Кабель синхронізації даних Baseus Cafule Cable USB For Type-C 2A 3m Red/Black (CATKLF-U91),,299,1,https://comfy.ua/kabel-sinhronizacii-dannyh-baseus-cafule-cable-usb-for-type-c-2a-3m-red-black-catklf-u91.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
820681677,,,,,1796499,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Colorway",colorway,"Кабель синхронізації даних Colorway USB Type-C - USB Type-C PD Fast Charging, 3А 65W 2м Grey (CW-CBPDCC039-GR)",,299,1,https://comfy.ua/kabel-sinhronizacii-dannyh-colorway-usb-type-c-usb-type-c-pd-fast-charging-3a-65w-2m-grey-cw-cbpdcc039-gr.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
820681678,,,,,1794595,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,Кабель синхронізації даних Baseus Cafule Type-C PD2.0 60W 1m Red/Black (CATKLF-G91),,249,1,https://comfy.ua/kabel-sinhronizacii-dannyh-baseus-cafule-type-c-pd2-0-60w-1m-red-black-catklf-g91.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
820682037,,,,,.1794027,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,"Захисне скло для смартфону Armorstandart Pro for Oppo A15/A15s Black, 0.33mm (ARM58388)",,199,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-pro-for-oppo-a15-a15s-black-0-33mm-arm58388.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
820682045,,,,,.1794030,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,"Захисне скло для смартфону Armorstandart Icon for Xiaomi Redmi Note 10 Pro Black, 0.33mm (ARM58655)",,239,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-icon-for-xiaomi-redmi-note-10-pro-black-0-33mm-arm58655.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
820682194,,,,,1794480,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,Кабель синхронізації даних Baseus Cafule Cable USB For Lightning 2.4A 1m Black/Red (CALKLF-B19),,179,1,https://comfy.ua/kabel-sinhronizacii-dannyh-baseus-cafule-cable-usb-for-lightning-2-4a-1m-black-red-calklf-b19.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
820682709,6688543,BEURER,Триммер BEURER HR 4000,1749,1796236,Красота и здоровье >> Уход за лицом >> Триммеры >> Триммеры Beurer,beurer,Тример для вусів і бороди Beurer HR 4000,,1749,1,https://comfy.ua/trimmer-dlja-usov-i-borody-beurer-hr-4000.html,2699,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
820718770,6688542,BEURER,Машинка для стрижки BEURER HR 5000,2119,1796237,Красота и здоровье >> Уход за волосами >> Машинки для стрижки >> Машинки для стрижки Beurer,beurer,Машинка для стрижки волосся Beurer HR 5000,,2119,1,https://comfy.ua/mashinka-dlja-strizhki-volos-beurer-hr-5000.html,3259,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
820724953,,,,,1770729,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I15635,,36765,1,https://comfy.ua/sistemnyj-blok-qbox-i15635.html,59539,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
820725575,,,,,1768699,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qbox,Системний блок Qbox I15419,,37098,1,https://comfy.ua/sistemnyj-blok-qbox-i15419.html,60079,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
820725951,6688547,BEURER,Фен BEURER HC 80,3719,1796235,Красота и здоровье >> Уход за волосами >> Фены >> Фены Beurer,beurer,Фен Beurer HC 80,,3719,1,https://comfy.ua/fen-beurer-hc-80.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
820773513,6704333,LEGO,Конструктор LEGO DUPLO Поезд с цифрами учимся считать 23 детали (10954),799,1789952,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO DUPLO My First Потяг із цифрами – вчимося рахувати (10954),,743,1,https://comfy.ua/konstruktor-lego-duplo-my-first-poezd-s-ciframi-uchimsja-schitat-10954.html,929,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
821067479,,,,,1797665,Comfy KIDS >> Игрушки >> Игрушечное оружие >> Игрушечное оружие Hasbro,hasbro,Бластер багатозарядний Hasbro Nerf ULTRA AMP (F0955),,1699,1,https://comfy.ua/blaster-mnogozarjadnyj-hasbro-nerf-ultra-amp-f0955.html,,05.11.2025 23:49,,"вул. Соборна, 42",Фастів,0
821067529,7071658,NERF,Бластер NERF Трицерабласт (F0803),1109,1797663,Детские товары >> Игрушки >> Игрушечное оружие >> Игрушечное оружие Hasbro,hasbro,Бластер багатозарядний Hasbro Nerf Діно Тріцерабласт (F0803),,1039,1,https://comfy.ua/blaster-mnogozarjadnyj-hasbro-nerf-dino-tricerablast-f0803.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
821067576,,,,,1797661,Comfy KIDS >> Игрушки >> Игрушечное оружие >> Игрушечное оружие Hasbro,hasbro,Водяний бластер Hasbro Nerf Fortnite  Super Soaker BURST AR (F0453),,949,1,https://comfy.ua/vodjanoj-blaster-hasbro-nerf-fortnite-super-soaker-burst-ar-f0453.html,,06.11.2025 1:00,,"вул. Соборна, 42",Фастів,0
821067824,7071659,NERF,Бластер NERF Рекс Ремпейдж (F0807),2135,1797672,Детские товары >> Игрушки >> Игрушечное оружие >> Игрушечное оружие Hasbro,hasbro,Бластер багатозарядний Hasbro Nerf Діно Рекс Ремпейдж (F0807),,2175,1,https://comfy.ua/blaster-mnogozarjadnyj-hasbro-nerf-dino-reks-rjempejdzh-f0807.html,,06.11.2025 0:36,,"вул. Соборна, 42",Фастів,0
821067865,,,,,1789879,"Детские товары >> Кормление >> Бутылочки, соски и аксессуары >> Бутылочки, соски и аксессуары Medela",medela,"Пляшка для годування Medela 250 мл., 2 шт. (200.1659)",,969,1,https://comfy.ua/butylochka-dlja-kormlenija-medela-250-ml-2-sht-200-1659.html,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
821189607,,,,,1773680,Техника для дома >> Климатическая техника,mitsubishi-electric,Кондиціонер спліт Mitsubishi Electric MSZ-EF50VGKS\MUZ-EF50VG,,90185,1,https://comfy.ua/catalog/product/view/id/2276743,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
821198177,6673341,CANDY,Варочная поверхность CANDY CDH30,5399,1426214,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Candy,candy,Варильна поверхня Domino Candy CDH 30,,5399,1,https://comfy.ua/varochnaja-panel-domino-candy-cdh-30.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
821217700,6712077,ROTEX,Фен ROTEX RFF156-B SpecialCare Compact,479,1787907,Красота и здоровье >> Уход за волосами >> Фены >> Фены Rotex,rotex,Фен Rotex RFF156-B SpecialCare Compact,,479,1,https://comfy.ua/fen-rotex-rff156-b-specialcare-compact.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
821217701,6712078,ROTEX,Фен ROTEX RFF157-V SpecialCare Compact,489,1787908,Красота и здоровье >> Уход за волосами >> Фены >> Фены Rotex,rotex,Фен Rotex RFF157-V SpecialCare Compact,,489,1,https://comfy.ua/fen-rotex-rff157-v-specialcare-compact.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
821217702,6712080,ROTEX,Фен ROTEX RFF202-V DelicateCare Pro,549,1787910,Красота и здоровье >> Уход за волосами >> Фены >> Фены Rotex,rotex,Фен Rotex RFF202-V DelicateCare Pro,,549,1,https://comfy.ua/fen-rotex-rff202-v-delicatecare-pro.html,649,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
821217703,6712081,ROTEX,Фен ROTEX RFF203-B UltimateCare Pro,659,1787911,Красота и здоровье >> Уход за волосами >> Фены >> Фены Rotex,rotex,Фен Rotex RFF203-B UltimateCare Pro,,659,1,https://comfy.ua/fen-rotex-rff203-b-ultimatecare-pro.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
821217704,6712079,ROTEX,Фен ROTEX RFF185-D FutureCare,679,1787909,Красота и здоровье >> Уход за волосами >> Фены >> Фены Rotex,rotex,Фен Rotex RFF185-D FutureCare,,679,1,https://comfy.ua/fen-rotex-rff185-d-futurecare.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
821217705,6712082,ROTEX,Фен ROTEX RFF220-R UltimateCare Pro,749,1787912,Красота и здоровье >> Уход за волосами >> Фены >> Фены Rotex,rotex,Фен Rotex RFF220-R UltimateCare Pro,,749,1,https://comfy.ua/fen-rotex-rff220-r-ultimatecare-pro.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
