832853843,column,column,column,column,1797930,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",gg,____gg__canon_054h_mf641643645_lbp621623_3025c002_yellow_2300_,column,1765,1,httpscomfyuakartridzhdljalazernyhprinterovmfuggdljacanon054hmf641643645lbp6216233025c002yellow2300storhtml,column,05112025_1804,column,__42,Фастів,0
832853843,,,,,.1797930,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",gg,"Картридж для лазерних принтерів/БФП G&G для Canon 054H MF641/643/645, LBP-621/623 3025C002 Yellow (2300 стор)",,1765,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-g-g-dlja-canon-054h-mf641-643-645-lbp-621-623-3025c002-yellow-2300-stor.html,,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
832853849,,,,,.1797931,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",gg,"Картридж для лазерних принтерів/БФП G&G для Canon 054H MF641/643/645, LBP-621/623 3026C002 Magenta (2300 стор)",,1765,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-g-g-dlja-canon-054h-mf641-643-645-lbp-621-623-3026c002-magenta-2300-stor.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
832853855,,,,,.1797932,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",gg,"Картридж для лазерних принтерів/БФП G&G для Canon 054H MF641/643/645, LBP-621/623 3027C002 Cyan (2300 стор)",,1765,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-g-g-dlja-canon-054h-mf641-643-645-lbp-621-623-3027c002-cyan-2300-stor.html,,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
833142380,,,,,1797827,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры HP",hp,Картридж для струменевих принтерів/БФП HP DJ No.712 DesignJet Т230/Т630 Black 38ml (3ED70A),,2395,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-hp-dj-no-712-designjet-t230-t630-black-38ml-3ed70a.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
833142530,,,,,1797917,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры G&G",gg,Картридж для струменевих принтерів/БФП G&G для Epson WF-5110/WF-5620 black XXL (4000 стор) (G&G-C13T789140),,215,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-g-g-dlja-epson-wf-5110-wf-5620-black-xxl-4000-stor-g-g-c13t789140.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
833152548,,,,,1797826,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры HP",hp,Картридж для струменевих принтерів/БФП HP DJ No.712 DesignJet Т230/Т630 Black 80ml (3ED71A),,3905,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-hp-dj-no-712-designjet-t230-t630-black-80ml-3ed71a.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
833152555,,,,,.1798698,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,"Картридж для лазерних принтерів/БФП Canon 054 MF641/643/645, LBP-621/623 Cyan (1200 стор) (3023C002)",,3299,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-canon-054-mf641-643-645-lbp-621-623-cyan-1200-stor-3023c002.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
833152564,,,,,1798697,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Canon",canon,"Картридж для лазерних принтерів/БФП Canon 054 MF641/643/645, LBP-621/623 Magenta (1200 стор) (3022C002)",,3299,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-canon-054-mf641-643-645-lbp-621-623-magenta-1200-stor-3022c002.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
833152638,,,,,1798699,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Canon",canon,"Картридж для лазерних принтерів/БФП Canon 054 MF641/643/645, LBP-621/623 Black (1500 стор) (3024C002)",,3499,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-canon-054-mf641-643-645-lbp-621-623-black-1500-stor-3024c002.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
833152746,,,,,1798695,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Canon",canon,"Картридж для лазерних принтерів/БФП Canon 055 MF742/744/746, LBP663/664 Black (2300 стор) (3016C002)",,3875,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-canon-055-mf742-744-746-lbp663-664-black-2300-stor-3016c002.html,,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
