861612680,6702144,baseus,_baseus_encok_h06__ngh0601,335,1796013,________baseus,baseus,__baseus_encok_h06_black_ngh0601,column,335,1,httpscomfyuanaushnikivkladyshibesprovodnyetwsbaseusencokh06blackngh0601html,column,05112025_1821,column,__42,Фастів,0
861612680,6702144,BASEUS,Гарнитура BASEUS Encok H06 черная (NGH06-01),335,1796013,"Аудио, фото и видео >> Наушники >> Наушники Baseus",baseus,Навушники вкладиші Baseus Encok H06 Black (NGH06-01),,335,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-baseus-encok-h06-black-ngh06-01.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
875257911,,,,,1774962,Смарт-часы и гаджеты >> Электротранспорт,yadea,Електроскутер YADEA Т9 Blue 2000 Вт,,72409,1,https://comfy.ua/jelektroskuter-yadea-t9-blue-2000-vt.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
875257930,,,,,1774845,Смарт-часы и гаджеты >> Электротранспорт,yadea,Електроскутер YADEA Т9 Grey 2000 Вт,,72409,1,https://comfy.ua/jelektroskuter-yadea-t9-grey-2000-vt.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
876361681,,,,,1678712,Смартфоны и телефоны >> Аксессуары для смартфонов,baseus,Автотримач Baseus Metal Wireless Charger Gravity Car MountTarnish (WXYL-B0A),,865,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-baseus-metal-wireless-charger-gravity-car-mounttarnish-wxyl-b0a.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
877483800,,,,,.1795977,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",baseus,Хаб USB Baseus for Surface Go Чорний (CAHUB-FG01),,499,1,https://comfy.ua/hab-usb-baseus-for-surface-go-chernyj-cahub-fg01.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
877599951,,,,,1795979,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",baseus,Хаб USB Baseus for Surface Go (Type-C + Audio to HD4K + USB3.0 + Type-C (data) + Audio) Чорний (CAHUB-FT01),,449,1,https://comfy.ua/hab-usb-baseus-for-surface-go-type-c-audio-to-hd4k-usb3-0-type-c-data-audio-chernyj-cahub-ft01.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
878389908,,,,,1795965,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,Перехідник Baseus Micro Female To Type-C Male Adapter Converter Black (CAMOTG-01),,149,1,https://comfy.ua/perehodnik-baseus-micro-female-to-type-c-male-adapter-converter-black-camotg-01.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
878409212,,,,,1797448,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Baseus",baseus,Кабель синхронізації даних Baseus Cafule Type-C PD2.0 60W Flash Charging Data Line 20V 3A 2 m Grey/Black (CATKLF-HG1),,249,1,https://comfy.ua/kabel-sinhronizacii-dannyh-baseus-cafule-type-c-pd2-0-60w-flash-charging-data-line-20v-3a-2-m-grey-black-catklf-hg1.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
878409415,,,,,1797449,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Baseus",baseus,Кабель синхронізації даних Baseus Cafule Cable USB for Micro 2.4A 1 m Grey/Black (CAMKLF-BG1),,179,1,https://comfy.ua/kabel-sinhronizacii-dannyh-baseus-cafule-cable-usb-for-micro-2-4a-1-m-grey-black-camklf-bg1.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
878409996,,,,,1738554,Детские товары >> Подгузники и пеленание,tena,"Одноразова пелюшка Tena Bed Plus 60х90см, 5 шт.",,139,1,https://comfy.ua/odnorazovaja-pelenka-tena-bed-plus-60h90sm-5-sht.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
878448966,,,,,1774261,Техника для кухни >> Крупная техника >> Плиты >> Плиты Beko,beko,Плита газова Beko FSG52020FW,,10999,1,https://comfy.ua/plita-gazovaja-beko-fsg52020fw.html,11499,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
878449007,6756971,ELECTROLUX,Пылесос ELECTROLUX EUFC8ALRGY,9799,1808078,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Electrolux,electrolux,Пилосос для сухого прибирання без мішка Electrolux EUFC8ALRGY,,9799,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-electrolux-eufc8alrgy.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
878449034,6673378,JBL,Портативная акустика JBL Charge 5 Teal (JBLCHARGE5TEAL),6199,1794173,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки JBL",jbl,Портативна акустика JBL Charge 5 Teal (JBLCHARGE5TEAL),,6199,1,https://comfy.ua/portativnaja-akustika-jbl-charge-5-teal-jblcharge5teal.html,7799,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
878462435,7024620,GRAND ШАРМ,hyg GRAND ШАРМ Мило ДИТЯЧЕ РОМАШКА 5*70г,48,1808501,"Детские товары >> Уход, купание и гигиена",grand-sharm,Мило кускове дитяче Grand Шарм Ромашка 5x70 г (4820195501993),,55,1,https://comfy.ua/catalog/product/view/id/2415033,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
