882204470,column,column,column,column,1800982,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,_colorway_canon_pg445_100__black_cwcw445bk01,column,105,1,httpscomfyuacatalogproductviewid2387583,column,05112025_1726,column,__42,Фастів,0
882204470,,,,,1800982,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway Canon PG-445 100 мл Black (CW-CW445BK01),,105,1,https://comfy.ua/catalog/product/view/id/2387583,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
882204471,,,,,1802263,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway Epson L100/200 Yellow (CW-EW101Y02) (T6644) 200мл,,159,1,https://comfy.ua/catalog/product/view/id/2399433,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
882204472,,,,,1800889,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,"Чорнило Colorway для Epson L-100/200, 200 мл Magenta (CW-EW101M02)",,159,1,https://comfy.ua/catalog/product/view/id/2388123,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
882204626,,,,,1802262,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway CL-446 (Magenta) (CW-CW446M02) 200 мл,,169,1,https://comfy.ua/catalog/product/view/id/2399403,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
882204629,,,,,1800709,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",wwm,Чорнило WWM Epson Universal Electra black (EU/B),,145,1,https://comfy.ua/catalog/product/view/id/2407533,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
882204630,,,,,1800710,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",wwm,Чорнило WWM Epson Universal Electra Cyan (EU/C),,145,1,https://comfy.ua/catalog/product/view/id/2407583,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
882204631,,,,,1800711,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",wwm,Чорнило WWM Epson Universal Electra Magenta (EU/M),,145,1,https://comfy.ua/catalog/product/view/id/2407653,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
882204632,,,,,1800712,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",wwm,Чорнило WWM Epson Universal Electra Yellow (EU/Y),,145,1,https://comfy.ua/catalog/product/view/id/2407733,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
882204664,,,,,1803194,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway Epson XP103/600 BK/С/M/Y 4х100 г (CW-EW610SET01),,379,1,https://comfy.ua/catalog/product/view/id/2400173,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
882204667,,,,,.1803209,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",wwm,Чорнило WWM Universal Carmen для Сanon серий Pixma iP/iX/MP/MX/MG В/C/M/Y 4х100 мл (CARMEN/SET.4-2),,339,1,https://comfy.ua/chernila-wwm-universal-carmen-dlja-sanon-serij-pixma-ip-ix-mp-mx-mg-v-c-m-y-4h100-ml-carmen-set-4-2.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
882204690,,,,,1803191,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway Canon PG-445/CL-446 BK/С/M/Y 4х100 мл (CW-CW445/CW446SET01),,369,1,https://comfy.ua/catalog/product/view/id/2400103,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,1
882205831,,,,,1803162,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,Чорнило Canon PFI-120 130 мл Black (2885C001AA),,4865,1,https://comfy.ua/catalog/product/view/id/2429353,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
882205832,,,,,1802267,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway HP 650/652/123 (Black) (CW-HW652BK01) 100 мл,,105,1,https://comfy.ua/catalog/product/view/id/2388053,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
882206007,,,,,1797823,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",hp,Картридж для струменевих принтерів/БФП HP DJ No.712 DesignJet Т230/Т630 Magenta 29ml (3ED68A),,2015,1,https://comfy.ua/catalog/product/view/id/2391793,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
882206008,,,,,1797825,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",hp,Картридж для струменевих принтерів/БФП HP DJ No.712 DesignJet Т230/Т630 Cyan 29ml (3ED67A),,2015,1,https://comfy.ua/catalog/product/view/id/2391853,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
882206018,7045636,KLEENEX,Сухие салфетки KLEENEX Original 10*10 шт Белые (5901478905192),71,1807277,Красота и здоровье >> Личная гигиена,kleenex,Серветки гігієнічні сухі Kleenex Original 10 шт. (5901478905192),,97,1,https://comfy.ua/salfetki-gigienicheskie-suhie-kleenex-original-10-sht-5901478905192.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
