893650211,column,column,column,column,1800366,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",sharp,____sharp_20k_mx237gt,column,2999,1,httpscomfyuacatalogproductviewid2440973,column,05112025_1802,column,__42,Фастів,0
893650211,,,,,1800366,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",sharp,Картридж для лазерних принтерів/БФП Sharp 20k MX237GT,,2999,1,https://comfy.ua/catalog/product/view/id/2440973,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
893656594,6707922,TEFAL,Мультиварка-скороварка TEFAL CY855830,11799,1812239,Техника для кухни >> Мелкая техника >> Мультиварки >> Мультиварки Tefal,tefal,Мультиварка-скороварка Tefal Cook4me+ Connect CY855830,,12199,1,https://comfy.ua/mul-tivarka-tefal-cy855830.html,13699,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
893656609,,,,,1811138,Смарт-часы и гаджеты >> Смарт-часы,maxcom,Фітнес-браслет Maxcom Fit FW20 Soft Black,,499,1,https://comfy.ua/fitnes-braslet-maxcom-fit-fw20-soft-black.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
893656701,6342664,F&D,Портативная акустика F&D W12,798,1797812,"Аудио, фото и видео >> Акустика >> Портативные колонки >> Портативные колонки F&D",fd,Портативна акустика F&D W12 Black,,799,1,https://comfy.ua/portativnaja-akustika-f-d-w12-black.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
893832855,,,,,.1802447,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",gg,Чорнило G&G Epson L100/L200 Black T6641 100 мл (G&G-C13T66414A),,175,1,https://comfy.ua/chernila-g-g-epson-l100-l200-black-t6641-100-ml-g-g-c13t66414a.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
893833775,,,,,1803193,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Чорнило Colorway Epson L4150/4160/6160/6170 127 мл Black Pigment (CW-EP415BK01/EP415BK),,189,1,https://comfy.ua/catalog/product/view/id/2445873,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
893834764,,,,,1802451,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры G&G",gg,Чорнило G&G Epson L800/L810/L850 Black T6731 100 мл (G&G-C13T67314A),,121,1,https://comfy.ua/chernila-g-g-epson-l800-l810-l850-black-t6731-100-ml-g-g-c13t67314a.html,259,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
893834765,,,,,1802452,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",gg,Чорнило G&G Epson L800/L810/L850 Light Magenta T6736 100 мл (G&G-C13T67364A),,259,1,https://comfy.ua/chernila-g-g-epson-l800-l810-l850-light-magenta-t6736-100-ml-g-g-c13t67364a.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
893834766,,,,,1802453,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры G&G",gg,Чорнило G&G Epson L800/L810/L850 Light Cyan T6735 100 мл (G&G-C13T67354A),,259,1,https://comfy.ua/chernila-g-g-epson-l800-l810-l850-light-cyan-t6735-100-ml-g-g-c13t67354a.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
893834767,,,,,1802454,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",gg,Чорнило G&G Epson L800/L810/L850 Yellow T6734 100 мл (G&G-C13T67344A),,259,1,https://comfy.ua/chernila-g-g-epson-l800-l810-l850-yellow-t6734-100-ml-g-g-c13t67344a.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
893834768,,,,,1802455,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры G&G",gg,Чорнило G&G Epson L800/L810/L850 Magenta T6733 100 мл (G&G-C13T67334A),,259,1,https://comfy.ua/chernila-g-g-epson-l800-l810-l850-magenta-t6733-100-ml-g-g-c13t67334a.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
893834769,,,,,1802456,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры G&G",gg,Чорнило G&G Epson L800/L810/L850 Cyan T6732 100 мл (G&G-C13T67324A),,259,1,https://comfy.ua/chernila-g-g-epson-l800-l810-l850-cyan-t6732-100-ml-g-g-c13t67324a.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
893836584,,,,,1803165,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Canon",canon,Чорнило Canon PFI-120 130 мл Yellow (2888C001AA),,4865,1,https://comfy.ua/chernila-canon-pfi-120-130-ml-yellow-2888c001aa.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
893836645,,,,,1803121,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",xoko,"Хаб USB XOKO USB - 2X USB, PD - Apple Lightning/MicroUSB/USB Type-C White (SC-3300WT)",,126,1,https://comfy.ua/catalog/product/view/id/2446143,269,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
893837129,,,,,1800356,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",a4tech,Клавіатура+миша A4tech Fstyler USB Black (F1512),,665,1,https://comfy.ua/catalog/product/view/id/2444983,,05.11.2025 22:19,,"вул. Соборна, 42",Фастів,0
893839688,,,,,1801115,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",powerplant,Картридж для лазерних принтерів/БФП PowerPlant Brother HL-L2300D/HL-L2320D (PP-TN660),,299,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-powerplant-brother-hl-l2300d-hl-l2320d-pp-tn660.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
