910760963,column,column,column,column,1754834,____________ventolux,ventolux,___ventolux_tokyo_6_st_bk,column,11649,1,httpscomfyuaduhovojshkafjelektricheskijventoluxtokyo6stbkhtml,column,05112025_1757,column,__42,Фастів,0
910760963,,,,,1754834,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Ventolux,ventolux,Духова шафа електрична Ventolux Tokyo 6 ST (BK),,11649,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-ventolux-tokyo-6-st-bk.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
910760970,6712055,LOGITECH,Гарнитура LOGITECH G333 Black (L981-000924),2599,1808373,"Аудио, фото и видео >> Наушники >> Наушники Logitech",logitech,Навушники вкладиші дротові Logitech G333 Black (981-000924),,2099,1,https://comfy.ua/naushniki-vkladyshi-provodnye-logitech-g333-black-l981-000924.html,,05.11.2025 18:29,,"вул. Соборна, 42",Фастів,0
910760972,6729762,VENTOLUX,Духовой шкаф VENTOLUX LAS VEGAS 6 TC (GRS),11689,1776545,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Ventolux,ventolux,Духова шафа електрична Ventolux Las Vegas 6 TC (GRS),,11689,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-ventolux-las-vegas-6-tc-grs.html,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
910760991,6706199,PHILIPS,Электрическая зубная щетка PHILIPS Sonicare HX9992/12 Prestige с технологией SenseIQ серии 9900,14999,1812994,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Philips,philips,Зубна щітка електрична Philips HX9992/12,,14999,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-philips-hx9992-12.html,29499,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
910760996,6706215,PHILIPS,Электрическая зубная щетка PHILIPS Sonicare HX9992/11 Prestige с технологией SenseIQ серии 9900,14999,1812985,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Philips,philips,Зубна щітка електрична Philips HX9992/11,,14999,1,https://comfy.ua/zubnaja-schetka-jelektricheskaja-philips-hx9992-11.html,29499,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
910760997,6706210,PHILIPS,Набор насадок PHILIPS HX9092/10 2 шт A3 Premium All-in-1 White,1499,1812976,Красота и здоровье >> Уход за полостью рта >> Зубные щетки электрические и насадки >> Зубные щетки электрические и насадки Philips,philips,Насадка для зубної щітки Philips HX9092/10,,1499,1,https://comfy.ua/nasadka-dlja-zubnoj-schetki-philips-hx9092-10.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
911142357,6705740,ZELMER,Сушилка ZELMER ZFD 1005,2599,1802534,Техника для кухни >> Хранение продуктов >> Сушилки для овощей и фруктов >> Сушилки для овощей и фруктов Zelmer,zelmer,Сушарка для фруктів та овочів Zelmer ZFD1005,,2599,1,https://comfy.ua/sushilka-dlja-fruktov-i-ovoschej-zelmer-zfd1005.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
911146533,,,,,.1808467,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",defender,Веб-камера для комп'ютера Defender G-lens 2599 (63199),,1329,1,https://comfy.ua/veb-kamera-dlja-komp-jutera-defender-g-lens-2599-63199.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
911153299,,,,,1815174,Детские товары >> Творчество и развитие,crayola,Набір для малювання Crayola фарбами Mini Kids (washable) (256698.006),,399,1,https://comfy.ua/catalog/product/view/id/2513953,559,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
911161141,,,,,1811230,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",2e,Коммутатор локальної мережі (Switch) 2E PowerLink SF105C 5xFE,,249,1,https://comfy.ua/catalog/product/view/id/2449083,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
