912255666,column,column,column,column,1815325,"Аудио, фото и видео >> Аксессуары для фото, видео",esperanza,__aa_esperanza_4__ezb101,column,89,1,httpscomfyuabatarejkatipaaesperanza4shtezb101html,column,05112025_1832,column,__42,Фастів,0
912255666,,,,,.1815325,"Аудио, фото и видео >> Аксессуары для фото, видео",esperanza,Батарейка тип AA Esperanza 4 шт. (EZB101),,89,1,https://comfy.ua/batarejka-tip-aa-esperanza-4-sht-ezb101.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
912255669,,,,,.1815328,"Аудио, фото и видео >> Аксессуары для фото, видео",esperanza,Батарейка тип AAA Esperanza 8 шт. (EZB104),,119,1,https://comfy.ua/batarejka-tip-aaa-esperanza-8-sht-ezb104.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
912255695,,,,,.1815327,"Аудио, фото и видео >> Аксессуары для фото, видео",esperanza,Батарейка тип AA Esperanza 8 шт. (EZB103),,149,1,https://comfy.ua/batarejka-tip-aa-esperanza-8-sht-ezb103.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
912256468,,,,,.1797343,Техника для дома >> Климатическая техника,roda,Радіатор опалення Roda 22 VK R 300х1600 (0302010219-000025410),,5099,1,https://comfy.ua/radiator-otoplenija-roda-22-vk-r-300h1600-0302010219-000025410.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
912313354,,,,,.1811134,"Аудио, фото и видео >> Наушники",epos,Гарнітура бездротова Epos Adapt 231,,4236,1,https://comfy.ua/garnitura-besprovodnaja-epos-adapt-231.html,9109,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
912313355,,,,,.1811133,"Аудио, фото и видео >> Наушники",epos,Гарнітура бездротова Epos Adapt 230,,9899,1,https://comfy.ua/garnitura-besprovodnaja-epos-adapt-230.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
912313627,,,,,1815762,Детские товары >> Кормление,lovi,Електричний молоковідсмоктувач Lovi двухфазный Expert 3D Pro (50/070exp),,7649,1,https://comfy.ua/catalog/product/view/id/2524293,,05.11.2025 21:17,,"вул. Соборна, 42",Фастів,0
912313647,,,,,1815760,Детские товары >> Кормление,lovi,Електричний молоковідсмоктувач Lovi двофазний Prolactis 3D Soft (50/050exp),,7089,1,https://comfy.ua/catalog/product/view/id/2524133,,05.11.2025 21:54,,"вул. Соборна, 42",Фастів,0
912317555,,,,,1800390,"Дом, отдых и зоотовары >> Отдых и путешествия",kemping,Акумулятор холоду Кемпінг Freeze 300 г (4823082715602),,71,1,https://comfy.ua/catalog/product/view/id/2347823,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
912328883,,,,,1806617,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети Netgear",netgear,Коммутатор локальної мережі (Switch) Netgear GS108T-300PES,,4819,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-netgear-gs108t-300pes.html,,05.11.2025 18:11,,"вул. Соборна, 42",Фастів,0
