912771454,7042260,gartner,_gartner_bcg3014_844544,4999,1809063,______________gartner,gartner,__gartner_bcg3014_844544,column,4999,1,httpscomfyuatrimmersadovyjgartnerbcg3014844544html,column,05112025_2113,column,__42,Фастів,0
912771454,7042260,GARTNER,Мотокоса GARTNER BCG-3014 (844544),4999,1809063,"Инструменты и автотовары >> Садовые инструменты >> Триммеры, мотокосы, электрокосы >> Триммеры, мотокосы, электрокосы Gartner",gartner,Тример садовий Gartner BCG-3014 (844544),,4999,1,https://comfy.ua/trimmer-sadovyj-gartner-bcg-3014-844544.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
912771456,6725981,EINHELL,Триммер EINHELL AGILLO 18/200 (3411310),7985,1798641,"Инструменты и автотовары >> Садовые инструменты >> Триммеры, мотокосы, электрокосы >> Триммеры, мотокосы, электрокосы Einhell",einhell,Тример садовий Einhell Agillo 18/200 (3411310),,7985,1,https://comfy.ua/trimmer-sadovyj-einhell-agillo-18-200-3411310.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
912771459,6711167,KELA,Шумовка KELA Rondo 35 см (19005),669,1813770,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Kela,kela,Шумовка Kela Rondo 35 см (19005),,669,1,https://comfy.ua/shumovka-kela-rondo-35-sm-19005.html,829,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
912783843,6711155,KELA,Ситечко KELA Rondo 6 см (19017),409,1813305,"Посуда >> Кухонные аксессуары >> Дуршлаги, сита, лейки >> Дуршлаги, сита, лейки Kela",kela,Сито Kela Rondo 6 см (19017),,409,1,https://comfy.ua/sito-kela-rondo-6-sm-19017.html,629,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
912783917,6711156,KELA,Сито KELA Ares 23.5 см (11982),1999,1813240,"Посуда >> Кухонные аксессуары >> Дуршлаги, сита, лейки >> Дуршлаги, сита, лейки Kela",kela,Сито Kela Ares 23.5 см (11982),,1999,1,https://comfy.ua/sito-kela-ares-23-5-sm-11982.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
912787777,6711070,KELA,Доска разделочная KELA Nino 36 см (12024),979,1813191,Посуда >> Нарезка и измельчение >> Разделочные доски >> Разделочные доски Kela,kela,Обробна дошка Kela Nino 36 см (12024),,1389,1,https://comfy.ua/razdelochnaja-doska-kela-nino-36-sm-12024.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
912788048,,,,,1806835,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",molex,Кабель живлення Molex 4 pin - 2xSATA Power Female (S0449),,119,1,https://comfy.ua/kabel-pitanija-molex-4-pin-2xsata-power-female-s0449.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
912788400,,,,,1813065,Смартфоны и телефоны >> Аксессуары для смартфонов,xo,Тримач для мобільного пристрою XO C33 Black (00000012441),,129,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-xo-c33-black-00000012441.html,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
912800450,6711195,KELA,Ковш KELA Flavoria 0.6 л (10179),1619,1813226,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Kela,kela,Ківш Kela Flavoria 12 см 0.6 л (10179),,1619,1,https://comfy.ua/kovsh-kela-flavoria-12-sm-0-6-l-10179.html,1799,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
912800451,6711043,KELA,"Ковш KELA Flavoria 0,8 л (10180)",1589,1813227,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Kela,kela,Ківш Kela Flavoria 14 см 0.8 л (10180),,1589,1,https://comfy.ua/kovsh-kela-flavoria-14-sm-0-8-l-10180.html,1979,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
912800452,6711045,KELA,Ковш KELA Flavoria 1.8 л (10182),2499,1813228,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Kela,kela,Ківш Kela Flavoria 18 см 1.8 л (10182),,2499,1,https://comfy.ua/kovsh-kela-flavoria-18-sm-1-8-l-10182.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
912800893,6711170,KELA,Яйцерезка KELA Vision 11 см (19092),609,1813765,"Посуда >> Нарезка и измельчение >> Терки, шинковки >> Терки, шинковки Kela",kela,Яйцерізка Kela Vision 11 см (19092),,609,1,https://comfy.ua/jajcerezka-kela-vision-11-sm-19092.html,1099,05.11.2025 19:33,,"вул. Соборна, 42",Фастів,0
912805876,6711169,KELA,Щетка кондитерская KELA Rondo 25 см (15931),539,1815887,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Kela,kela,Пензлик кулiнарний Kela Rondo 25см (15931),,539,1,https://comfy.ua/kist-kulinarnaja-kela-rondo-25sm-15931.html,829,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
912809828,6711165,KELA,Сахарница KELA Maila 7 см (12562),409,1813219,Посуда >> Кухонные аксессуары >> Посуда для специй >> Посуда для специй Kela,kela,Цукорниця Kela Maila 7 см (12562),,409,1,https://comfy.ua/saharnica-kela-maila-7-sm-12562.html,619,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
912829376,,,,,1815094,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",xo,Перехідник XO NB149B microUSB-Lightning Black (00000013802),,49,1,https://comfy.ua/perehodnik-xo-nb149b-microusb-lightning-black-00000013802.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
912862750,,,,,1810255,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",real-el,Хаб USB REAL-EL HQ-154 Black (EL123110007),,219,1,https://comfy.ua/catalog/product/view/id/2524603,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
913001194,,,,,.1800267,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",printpro,Картридж для лазерних принтерів/БФП PrintPro HP CF217A (PP-H217C),,699,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-printpro-hp-cf217a-pp-h217c.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
913009487,,,,,1796911,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,Перехідник аудіо Baseus Type-C Male to 3.5 mm Female Adapter L54 Black (CATL54-01),,299,1,https://comfy.ua/catalog/product/view/id/2404813,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,1
913017848,6308935,STANLEY,Ножницы универсальные STANLEY (STHT0-14102),450,1807862,Инструменты и автотовары >> Садовые инструменты,stanley,Ножиці садові Stanley 240 мм (STHT0-14102),,555,1,https://comfy.ua/catalog/product/view/id/2526213,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
913018582,,,,,1809092,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры G&G",gg,Чорнило G&G Epson L100/L200 Magenta (G&G-C13T66434A),,175,1,https://comfy.ua/chernila-g-g-epson-l100-l200-magenta-g-g-c13t66434a.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
913018583,,,,,1809093,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры G&G",gg,Чорнило G&G Epson L100/L200 Yellow (G&G-C13T66444A),,175,1,https://comfy.ua/chernila-g-g-epson-l100-l200-yellow-g-g-c13t66444a.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
