914898645,column,column,column,column,1815701,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",printpro,____printpro_hp_cf244a_m15m28_pph244,column,749,1,httpscomfyuakartridzhdljalazernyhprinterovmfuprintprohpcf244am15m28pph244html,column,05112025_1751,column,__42,Фастів,0
914898645,,,,,1815701,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",printpro,Картридж для лазерних принтерів/БФП PrintPro HP CF244A M15/M28 (PP-H244),,749,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-printpro-hp-cf244a-m15-m28-pp-h244.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
914904057,,,,,1816054,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Мережевий зарядний пристрій Armorstandart AMHJ83 20W USB-C (ARM58528),,349,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-armorstandart-amhj83-20w-usb-c-arm58528.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
914924716,,,,,1803797,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,Картридж-тонер Canon C-EXV60 Black (4311C001AA),,1655,1,https://comfy.ua/catalog/product/view/id/2527603,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
914974144,6708899,SAMSUNG,Духовой шкаф SAMSUNG NV68A1110RB/WT,16999,1816287,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Samsung,samsung,Духова шафа електрична Samsung NV68A1110RB/WT,,17399,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-samsung-nv68a1110rb-wt.html,18799,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,1
914974212,6745252,VILGRAND,Электрочайник Vilgrand VC412F,779,1815369,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические ViLgrand,vilgrand,Електричний чайник ViLgrand VC412F,,779,1,https://comfy.ua/jelektricheskij-chajnik-vilgrand-vc412f.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
914974370,,,,,1816647,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Фігурки тварин набір Li'l Woodzeez Сім'я Кроликів (6006M),,739,1,https://comfy.ua/figurki-zhivotnyh-nabor-li-l-woodzeez-sem-ja-krolikov-6006m.html,,06.11.2025 1:05,,"вул. Соборна, 42",Фастів,0
914974519,6698895,TESY,Бойлер Tesy Anticalc Slim GCV 303516D B14 TBRC,8544,1810603,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Tesy,tesy,Водонагрівач Tesy GCV 303516D B14 TBRC,,8545,1,https://comfy.ua/vodonagrevatel-tesy-gcv-303516d-b14-tbrc.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
914974614,6708898,SAMSUNG,Духовой шкаф SAMSUNG NV68A1110RS/WT,17399,1816285,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Samsung,samsung,Духова шафа електрична Samsung NV68A1110RS/WT,,17399,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-samsung-nv68a1110rs-wt.html,18799,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
915066595,,,,,1021934,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Тонер для заправки картриджа Colorway HP LJ P1005/P1505 (1kg) Universal bottle (TH-1005-1B),,655,1,https://comfy.ua/catalog/product/view/id/2525043,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
915143380,,,,,.1815732,"Аудио, фото и видео >> Аксессуары для фото, видео",sandisk,Карта пам'яті SanDisk 128GB Compact Flash eXtreme Pro (SDCFSP-128G-G46D),,7964,1,https://comfy.ua/karta-pamjati-sandisk-128gb-compact-flash-extreme-pro-sdcfsp-128g-g46d.html,8849,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
