918873831,6736112,borgio,__borgio_694217_ffd_inox,7259,1818278,Техника для кухни >> Крупная техника,borgio,___borgio_694217_ffd_inox,column,7429,1,httpscomfyuavarochnajapanelgazovajaborgio694217ffdinoxhtml,column,05112025_2133,column,__42,Фастів,0
918873831,6736112,BORGIO,Варочная поверхность BORGIO 6942-17 FFD Inox,7259,1818278,Техника для кухни >> Крупная техника,borgio,Варильна поверхня газова Borgio 6942-17 FFD Inox,,7429,1,https://comfy.ua/varochnaja-panel-gazovaja-borgio-6942-17-ffd-inox.html,,05.11.2025 21:33,,"вул. Соборна, 42",Фастів,0
918873833,6736108,BORGIO,Варочная поверхность BORGIO 6940-17 FFD Inox,6852,1818274,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Borgio,borgio,Варильна поверхня газова Borgio 6940-17 FFD Inox,,6429,1,https://comfy.ua/varochnaja-panel-gazovaja-borgio-6940-17-ffd-inox.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
918873837,6736111,BORGIO,Варочная поверхность BORGIO 6942-17 FFD Black Enamelled,7259,1818277,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Borgio,borgio,Варильна поверхня газова Borgio 6942-17 FFD Black Enamelled,,7429,1,https://comfy.ua/varochnaja-panel-gazovaja-borgio-6942-17-ffd-black-enamelled.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
918873838,6736107,BORGIO,Варочная поверхность BORGIO 6940-17 FFD Black Enamelled,6852,1818273,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Borgio,borgio,Варильна поверхня газова Borgio 6940-17 FFD black Enamelled,,5779,1,https://comfy.ua/varochnaja-panel-gazovaja-borgio-6940-17-ffd-black-enamelled.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
918873840,,,,,1818272,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Borgio,borgio,Варильна поверхня газова Borgio 6192-17 FFD White Glass,,8399,1,https://comfy.ua/varochnaja-panel-gazovaja-borgio-6192-17-ffd-white-glass.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
918873842,6736105,BORGIO,Варочная поверхность BORGIO 6192-17 FFD Ivory Glass,8199,1818271,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Borgio,borgio,Варильна поверхня газова Borgio 6192-17 FFD Ivory Glass,,8399,1,https://comfy.ua/varochnaja-panel-gazovaja-borgio-6192-17-ffd-ivory-glass.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
918882938,6735158,WHIRLPOOL,Вытяжка WHIRLPOOL AKR750GSD,7899,1817557,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Whirlpool,whirlpool,Витяжка вбудована Whirlpool AKR750GSD,,7899,1,https://comfy.ua/vytjazhka-vstraivaemaja-whirlpool-akr750gsd.html,8599,05.11.2025 20:58,,"вул. Соборна, 42",Фастів,0
918950365,,,,,1817906,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",vention,Док-станція Vention USB3.1 Type-C - USB (TNBHB),,326,1,https://comfy.ua/catalog/product/view/id/2566383,699,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
918950367,,,,,1817903,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",vention,Док-станція Vention USB3.1 Type-C - USB (TNHHB),,529,1,https://comfy.ua/catalog/product/view/id/2564853,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
918977145,6306762,STANLEY,Тиски STANLEY MaxSteel (1-83-066),5773,1807853,Инструменты и автотовары >> Ручные инструменты >> Тиски и струбцины >> Тиски и струбцины Stanley,stanley,Лещата Stanley Maxsteel 100 мм (1-83-066),,6245,1,https://comfy.ua/tiski-stanley-maxsteel-100-mm-1-83-066.html,,05.11.2025 21:55,,"вул. Соборна, 42",Фастів,0
918978186,6702978,ADLER,Весы напольные ADLER AD 8151 White (ad8151w),527,1818817,Красота и здоровье >> Уход за телом,adler,Ваги підлогові Adler AD 8151 White,,529,1,https://comfy.ua/vesy-napol-nye-adler-ad-8151-white.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
918983532,6702966,CAMRY,Тостер CAMRY cr3219,975,1818829,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Camry,camry,Тостер Camry CR 3219,,975,1,https://comfy.ua/toster-camry-cr-3219.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
919060827,6717962,BORMIOLI ROCCO,Набор бокалов BORMIOLI ROCCO BARTENDER FIZZ 6x220 мл (122114BAU021990),950,1816167,Посуда >> Для сервировки >> Бокалы >> Бокалы Bormioli Rocco,bormioli-rocco,Набір келихів Bormioli Rocco Bartender Fizz Coctail 6x220 мл (122114BAU021990),,950,1,https://comfy.ua/nabor-bokalov-bormioli-rocco-bartender-fizz-coctail-6x220-ml-122114bau021990.html,1462,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
919060830,6717963,BORMIOLI ROCCO,Набор бокалов BORMIOLI ROCCO BARTENDER HURRICANE 6x504 мл (330245BAU021990),787,1816178,Посуда >> Для сервировки >> Бокалы >> Бокалы Bormioli Rocco,bormioli-rocco,Набір келихів Bormioli Rocco Bartender Hurricane Coctail 6x504 мл (330245BAU021990),,1749,1,https://comfy.ua/nabor-bokalov-bormioli-rocco-bartender-hurricane-coctail-6x504-ml-330245bau021990.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
919060834,6717973,BORMIOLI ROCCO,Набор бокалов BORMIOLI ROCCO NEXO FLUTE 6x240 мл (365752GRC021462),1902,1816183,Посуда >> Для сервировки >> Бокалы >> Бокалы Bormioli Rocco,bormioli-rocco,Набір келихів Bormioli Rocco Nexo Flute для шампанського 6x240 мл (365752GRC021462),,1905,1,https://comfy.ua/nabor-bokalov-bormioli-rocco-nexo-flute-dlja-shampans-kogo-6x240-ml-365752grc021462.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
919060835,6717964,BORMIOLI ROCCO,Набор бокалов BORMIOLI ROCCO BARTENDER MARGARITA 6x330 мл (166440BB9021990),1241,1816170,Посуда >> Для сервировки >> Бокалы >> Бокалы Bormioli Rocco,bormioli-rocco,Набір келихів Bormioli Rocco Bartender Margarita 6x330 мл (166440BB9021990),,1241,1,https://comfy.ua/nabor-bokalov-bormioli-rocco-bartender-margarita-6x330-ml-166440bb9021990.html,1909,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
919060838,6717960,BORMIOLI ROCCO,Набор бокалов BORMIOLI ROCCO AMERICA'20s 6x250 мл (122142BB9021990),940,1816168,Посуда >> Для сервировки >> Бокалы >> Бокалы Bormioli Rocco,bormioli-rocco,Набір келихів Bormioli Rocco America '20s Martini  6x250 мл (122142BB9021990),,940,1,https://comfy.ua/nabor-bokalov-bormioli-rocco-america-20s-martini-6x250-ml-122142bb9021990.html,2088,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
919060842,6717958,BORMIOLI ROCCO,Набор бокалов BORMIOLI ROCCO AMERICA'20s 6x745 мл (122128BB9021990),1278,1816216,Посуда >> Для сервировки >> Бокалы >> Бокалы Bormioli Rocco,bormioli-rocco,Набір келихів Bormioli Rocco America'20s Cocktail 6x745 мл (122128BB9021990),,1278,1,https://comfy.ua/nabor-bokalov-bormioli-rocco-america-20s-cocktail-6x745-ml-122128bb9021990.html,2555,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
921613615,,,,,.1817906,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",vention,Док-станція Vention USB3.1 Type-C - USB (TNBHB),,326,1,https://comfy.ua/dok-stancija-vention-usb3-1-type-c-usb-tnbhb.html,699,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
921613669,,,,,.1817903,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",vention,Док-станція Vention USB3.1 Type-C - USB (TNHHB),,529,1,https://comfy.ua/dok-stancija-vention-usb3-1-type-c-usb-tnhhb.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0
922057377,,,,,1820888,Детские товары >> Игрушки,taka-maka,Пазли (3-4 роки) Taka Maka Котик (28 ел) - геометричний пазл-розмальовка (200001-UA),,219,1,https://comfy.ua/pazly-kartonnye-3-4-goda-taka-maka-kotik-20-jel-geometricheskij-pazl-razukrashka-200001-ua.html,,06.11.2025 1:46,,"вул. Соборна, 42",Фастів,0
922057403,,,,,1820894,Детские товары >> Игрушки,taka-maka,Настільна гра (до 2 років) Taka Maka Собачка (6 ел) - знайди відмінності (170001-UA),,63,1,https://comfy.ua/pazly-kartonnye-3-4-goda-taka-maka-sobachka-6-jel-najdi-otlichija-170001-ua.html,,06.11.2025 0:33,,"вул. Соборна, 42",Фастів,0
922057407,,,,,1820892,Детские товары >> Игрушки,taka-maka,Настільна гра (до 2 років) Taka Maka Котик (6 ел) - знайди відмінності (160001-UA),,63,1,https://comfy.ua/pazly-kartonnye-3-4-goda-taka-maka-kotik-6-jel-najdi-otlichija-160001-ua.html,,06.11.2025 1:24,,"вул. Соборна, 42",Фастів,0
922057449,,,,,1820893,Детские товары >> Игрушки,taka-maka,"Настільна гра (8+) Taka Maka Туманний острів, укр (30001-UA)",,645,1,https://comfy.ua/nastol-naja-igra-strategicheskaja-8-taka-maka-tumannyj-ostrov-ukr-30001-ua.html,,06.11.2025 1:02,,"вул. Соборна, 42",Фастів,0
922057484,,,,,1820887,Детские товары >> Игрушки,taka-maka,"Настільна гра (до 2 років) Taka Maka Котик, собачка, курочка 3 в 1 (18 ел) - знайди відмінності (190001-UA)",,125,1,https://comfy.ua/pazly-kartonnye-3-4-goda-taka-maka-kotik-sobachka-kurochka-3-v-1-18-jel-najdi-otlichija-190001-ua.html,,06.11.2025 1:24,,"вул. Соборна, 42",Фастів,0
922057565,,,,,1820891,Детские товары >> Игрушки,taka-maka,"Настільна гра (8+) Taka Maka Марсолови, укр (90001-UA)",,809,1,https://comfy.ua/nastol-naja-igra-strategicheskaja-8-taka-maka-marsolovy-ukr-90001-ua.html,,06.11.2025 1:03,,"вул. Соборна, 42",Фастів,0
922057576,,,,,1820884,Детские товары >> Игрушки,taka-maka,"Настільна гра (3-4 роки) Taka Maka Груші на вербі, укр (70001-UA)",,239,1,https://comfy.ua/nastol-naja-igra-kartochnaja-3-4-goda-taka-maka-grushi-na-ive-ukr-70001-ua.html,,06.11.2025 1:25,,"вул. Соборна, 42",Фастів,0
922057594,,,,,1820886,Детские товары >> Игрушки,taka-maka,Настільна гра (до 2 років) Taka Maka Курочка (6 ел) - знайди відмінності (180001-UA),,63,1,https://comfy.ua/pazly-kartonnye-3-4-goda-taka-maka-kurochka-6-jel-najdi-otlichija-180001-ua.html,,06.11.2025 1:41,,"вул. Соборна, 42",Фастів,0
922057596,,,,,1820896,Детские товары >> Игрушки,taka-maka,Пазли (3-4 роки) Taka Maka Собачка (28 ел) - геометричний пазл-розмальовка (220001-UA),,219,1,https://comfy.ua/pazly-kartonnye-3-4-goda-taka-maka-sobachka-20-jel-geometricheskij-pazl-razukrashka-220001-ua.html,,06.11.2025 1:34,,"вул. Соборна, 42",Фастів,0
922057598,,,,,1820954,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Lionelo,lionelo,Коляска прогулянкова Lionelo Zoey Grey Stone,,7299,1,https://comfy.ua/koljaska-progulochnaja-lionelo-zoey-grey-stone.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
922057603,,,,,1820883,Детские товары >> Игрушки,taka-maka,"Настільна гра (5-7 років) Taka Maka Кокочвяк, укр (120001-UA)",,229,1,https://comfy.ua/nastol-naja-igra-kartochnaja-5-7-let-taka-maka-kokochvjak-ukr-120001-ua.html,345,06.11.2025 0:26,,"вул. Соборна, 42",Фастів,0
922057608,,,,,1820895,Детские товары >> Игрушки,taka-maka,Пазли (3-4 роки) Taka Maka Курочка (28 ел) - геометричний пазл-розмальовка (210001-UA),,219,1,https://comfy.ua/pazly-kartonnye-3-4-goda-taka-maka-kurochka-20-jel-geometricheskij-pazl-razukrashka-210001-ua.html,,06.11.2025 1:34,,"вул. Соборна, 42",Фастів,0
922495970,6714407,TEFAL,Нож для овощей TEFAL Ice Force 9 см (K2320514),459,1820812,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tefal,tefal,Ніж для овочів Tefal K2320514 Tefal Ice Force 9 см,,459,1,https://comfy.ua/nozh-dlja-ovoschej-tefal-k2320514-tefal-ice-force-9-sm.html,669,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
922495975,6714417,TEFAL,Нож универсальный TEFAL Ice Force 11 см (K2320914),569,1820876,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tefal,tefal,Ніж кухонний Tefal K2320914 Ice Force 11 см,,569,1,https://comfy.ua/nozh-kuhonnyj-tefal-k2320914-ice-force-11-sm.html,839,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
922497751,6714416,TEFAL,Нож для нарезки TEFAL Ice Force 20 см (K2320714),699,1820875,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tefal,tefal,Ніж кухонний Tefal K2320714 Ice Force 20 см,,699,1,https://comfy.ua/nozh-kuhonnyj-tefal-k2320714-ice-force-20-sm.html,1169,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
922497752,6714420,TEFAL,Нож сантоку TEFAL Ice Force 18 см (K2320614),839,1820877,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tefal,tefal,Ніж сантоку Tefal K23206 Ice Force 18 см,,839,1,https://comfy.ua/nozh-santoku-tefal-k23206-ice-force-18-sm.html,1259,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
