926301769,7060200,schott_zwiesel,__schott_zwiesel_0685__2__122171,968,1821460,________schott_zwiesel,schottzwiesel,__schott_zwiesel_2__0685__122171,column,1210,1,httpscomfyuabokalschottzwiesel0685l122171html,column,05112025_2026,column,__42,Фастів,0
926301769,7060200,SCHOTT ZWIESEL,"Набор бокалов SCHOTT ZWIESEL 0,685 л 2 шт. (122171)",968,1821460,Посуда >> Для сервировки >> Бокалы >> Бокалы Schott Zwiesel,schott-zwiesel,"Набір келихів Schott Zwiesel 2 шт. 0,685 л 122171",,1210,1,https://comfy.ua/bokal-schott-zwiesel-0-685-l-122171.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
926301770,7060196,SCHOTT ZWIESEL,"Набор бокалов SCHOTT ZWIESEL Riesling 0,406 л 2 шт. (122167)",968,1821455,Посуда >> Для сервировки >> Бокалы >> Бокалы Schott Zwiesel,schott-zwiesel,"Набір келихів Schott Zwiesel Riesling 2 шт. 0,406 л 122167",,1210,1,https://comfy.ua/bokal-schott-zwiesel-riesling-0-406-l-122167.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
926301771,7060199,SCHOTT ZWIESEL,"Набор бокалов SCHOTT ZWIESEL Bordeaux 0,742 л 2 шт. (122170)",968,1821457,Посуда >> Для сервировки,schott-zwiesel,"Набір келихів Schott Zwiesel Bordeaux 0,742 л 122170",,1210,1,https://comfy.ua/bokal-schott-zwiesel-bordeaux-0-742-l-122170.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
926324512,,,,,.1819647,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXA20BB/RXA20A,,87585,1,https://comfy.ua/kondicioner-split-daikin-ftxa20bb-rxa20a.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
926324513,,,,,.1819648,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXA25BS/RXA25A,,90535,1,https://comfy.ua/kondicioner-split-daikin-ftxa25bs-rxa25a.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
926324516,,,,,.1819649,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXA42AW/RXA42A,,128619,1,https://comfy.ua/kondicioner-split-daikin-ftxa42aw-rxa42a.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
926324517,,,,,.1819650,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXA42BT/RXA42A,,134745,1,https://comfy.ua/kondicioner-split-daikin-ftxa42bt-rxa42a.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
926324518,,,,,.1819651,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXA42BS/RXA42A,,137045,1,https://comfy.ua/kondicioner-split-daikin-ftxa42bs-rxa42a.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
926324519,,,,,.1819646,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXM60R/RXM60,,161649,1,https://comfy.ua/kondicioner-split-daikin-ftxm60r-rxm60.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
926325033,,,,,1799963,Техника для кухни >> Крупная техника,minola,Витяжка декоративна Minola HDN 9412 BL 850 LED,,5999,1,https://comfy.ua/catalog/product/view/id/2577693,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
926325264,,,,,1799965,Техника для кухни >> Крупная техника,minola,Витяжка декоративна Minola HVS 9412 WH 850 LED,,7499,1,https://comfy.ua/catalog/product/view/id/2577623,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
926325265,,,,,1800177,Техника для кухни >> Крупная техника,minola,Витяжка декоративна Minola HVS 9412 GR 850 LED,,7499,1,https://comfy.ua/catalog/product/view/id/2541863,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
927241990,,,,,1822764,"Аудио, фото и видео >> Наушники >> Наушники Soundmag",soundmag,Амбушюр для навушників Soundmag Premium пінні L size 4.9 mm (1 пара),,199,1,https://comfy.ua/ambushjur-dlja-naushnikov-soundmag-premium-pennye-l-size-4-9-mm-1-para.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
927242084,,,,,1818268,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Borgio,borgio,Варильна поверхня газова Borgio 6190-17 FFD Ivory Glass,,7829,1,https://comfy.ua/varochnaja-panel-gazovaja-borgio-6190-17-ffd-ivory-glass.html,,05.11.2025 21:17,,"вул. Соборна, 42",Фастів,0
927242098,,,,,1818269,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Borgio,borgio,Варильна поверхня газова Borgio 6190-17 FFD White Glass,,7829,1,https://comfy.ua/varochnaja-panel-gazovaja-borgio-6190-17-ffd-white-glass.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
927259382,,,,,1822657,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель 3.5 мм - RCA UGREEN AV102 3.5 mm to 2RCA 1 m Gray (10772),,259,1,https://comfy.ua/catalog/product/view/id/2586773,,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
927259384,,,,,1822660,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель 3.5 мм - RCA UGREEN AV116 3.5 mm to 2RCA 1 m Black (10749),,269,1,https://comfy.ua/catalog/product/view/id/2586803,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
927259430,,,,,1822659,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель 3.5 мм - RCA UGREEN AV102 3.5 mm to 2RCA 3 m Gray (10512),,349,1,https://comfy.ua/catalog/product/view/id/2586793,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
927259431,,,,,1822662,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель 3.5 мм - RCA UGREEN AV116 3.5 mm to 2RCA 2 m Black (10584),,299,1,https://comfy.ua/catalog/product/view/id/2586823,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
927259432,,,,,1822663,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель 3.5 мм - RCA UGREEN AV116 3.5 mm to 2RCA 3 m Black (10590),,329,1,https://comfy.ua/catalog/product/view/id/2586833,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
927259455,6702577,TRANSCEND,флеш-драйв TRANSCEND 512GB USB 3.2 JetFlash 920 Black (TS512GJF920),3048,1817306,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",transcend,Флеш USB Transcend JetFlash 920 USB 3.2 512GB Black (TS512GJF920),,2799,1,https://comfy.ua/catalog/product/view/id/2578253,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
927260758,7007989,TAKSTAR,Микрофон TAKSTAR TAK35 Black (90402059),2799,1823226,"Аудио, фото и видео >> Акустика >> Микрофоны >> Микрофоны Takstar",takstar,Мікрофон вокальний дротовий Takstar TAK35 Wired microphone Black,,1999,1,https://comfy.ua/mikrofon-vokal-nyj-besprovodnoj-takstar-tak35-wired-microphone-black.html,2799,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
927260819,,,,,1785842,Телевизоры и мультимедиа >> Аксессуары для ТВ >> Чистящие средства для экранов >> Чистящие средства для экранов Canyon,canyon,Засіб для чищення екранів Canyon CNE-CCL22,,119,1,https://comfy.ua/sprej-dlja-chistki-jekranov-canyon-cne-ccl22.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
927261177,,,,,.1816298,"Аудио, фото и видео >> Наушники",koss,Навушники накладні дротові Koss Porta Pro Classic Collapsible On-Ear,,1599,1,https://comfy.ua/garnitura-provodnaja-koss-porta-pro-classic-collapsible-on-ear.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
927268575,6736063,FRANKE,Вытяжка FRANKE FBI 525 PLUS (305.0599.543),6974,1821695,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Franke,franke,Витяжка вбудована Franke Inca Plus FBI 525 PLUS (305.0599.543),,7659,1,https://comfy.ua/vytjazhka-vstraivaemaja-franke-inca-plus-fbi-525-plus-305-0599-543.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
927268575,6721664,FRANKE,Вытяжка Franke Inca Plus FBI 525 PLUS (305.0599.543),7659,1821695,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Franke,franke,Витяжка вбудована Franke Inca Plus FBI 525 PLUS (305.0599.543),,7659,1,https://comfy.ua/vytjazhka-vstraivaemaja-franke-inca-plus-fbi-525-plus-305-0599-543.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
927270204,,,,,.1819645,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXF42/RXF42,,50925,1,https://comfy.ua/kondicioner-split-daikin-ftxf42-rxf42.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
927271601,,,,,.1816025,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,Зарядний пристрій для ноутбука Merlion Dell 19.5V 4.62A 90W 4.5х3.0 мм + каб. (LDL90/19.5-4.5*3.0/19401),,499,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-merlion-dell-19-5v-4-62a-90w-4-5h3-0-mm-kab-ldl90-19-5-4-5-3-0-19401.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
927272991,6805227,MAXMARK,Набор ножей MAXMARK 6 пр (MK-K09),1599,1822977,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Maxmark,maxmark,Набір ножів Maxmark MK-K09,,1599,1,https://comfy.ua/nabor-nozhej-maxmark-mk-k09.html,3219,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
