929221120,6710397,melica_organic,__melica_organic_c___100__4770416002221,183,1749343,____________________melica,melica,__melica_____4770416002221,column,215,1,httpscomfyuazubnajapastamelicaotbelivajuschajasjekstraktommozhzhevelnika4770416002221html,column,05112025_1854,column,__42,Фастів,0
929221120,6710397,MELICA ORGANIC,Зубная паста Melica Organic c экстрактом можжевельника 100 мл (4770416002221),183,1749343,"Красота и здоровье >> Уход за полостью рта >> Зубные пасты, гели и ополаскиватели >> Зубные пасты, гели и ополаскиватели Melica",melica,Зубна паста Melica Отбеливающая с экстрактом можжевельника (4770416002221),,215,1,https://comfy.ua/zubnaja-pasta-melica-otbelivajuschaja-s-jekstraktom-mozhzhevel-nika-4770416002221.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
929221121,6710400,MELICA ORGANIC,Зубная паста Melica Organic c экстрактом каштанa 100 мл (4770416002252),172,1749340,"Красота и здоровье >> Уход за полостью рта >> Зубные пасты, гели и ополаскиватели >> Зубные пасты, гели и ополаскиватели Melica",melica,Зубна паста Melica для кровоточащих десен с экстрактом каштана (4770416002252),,215,1,https://comfy.ua/zubnaja-pasta-melica-dlja-krovotochaschih-desen-s-jekstraktom-kashtana-4770416002252.html,,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
929221122,6710398,MELICA ORGANIC,Зубная паста Melica Organic c экстрактом мяты 100 мл (4770416002238),172,1749344,"Красота и здоровье >> Уход за полостью рта >> Зубные пасты, гели и ополаскиватели >> Зубные пасты, гели и ополаскиватели Melica",melica,Зубна паста Melica Активная с экстрактом мяты (4770416002238),,215,1,https://comfy.ua/zubnaja-pasta-melica-aktivnaja-s-jekstraktom-mjaty-4770416002238.html,,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
929221206,6711086,KELA,Скалка KELA Maribor 42 см (23347),599,1813224,Посуда >> Для запекания и выпечки >> Кондитерские принадлежности >> Кондитерские принадлежности Kela,kela,Скалка Kela Maribor 5.5 см 42 см (23347),,599,1,https://comfy.ua/skalka-kela-maribor-5-5-sm-42-sm-23347.html,739,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
929221211,6711109,KELA,Ложка для сервировки Kela Tom 28 см (12583),519,1815932,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Kela,kela,Ложка кухарська Kela Tom 28 см (12583),,519,1,https://comfy.ua/lozhka-povarskaja-kela-tom-28-sm-12583.html,649,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
929221213,6711112,KELA,Ложка для спагетти Kela Tom 28.5 см (12585),439,1813803,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Kela,kela,Ложка для спагетті Kela Tom 28.5 см (12585),,439,1,https://comfy.ua/lozhka-dlja-spagetti-kela-tom-28-5-sm-12585.html,649,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
929221214,6711111,KELA,Ложка для спагетти Kela Rondo 30 см (19061),539,1813804,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Kela,kela,Ложка для спагетті Kela Rondo 30 см (19061),,539,1,https://comfy.ua/lozhka-dlja-spagetti-kela-rondo-30-sm-19061.html,829,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
929221215,6711108,KELA,Ложка для сервировки Kela Rondo 32 см (19007),539,1815905,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Kela,kela,Ложка кухарська Kela Rondo 32 см (19007),,539,1,https://comfy.ua/lozhka-povarskaja-kela-rondo-32-sm-19007.html,829,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
929221296,7038931,TEFAL,Венчик TEFAL Bienvenue (27455120),199,1810005,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Tefal,tefal,Вінчик Tefal 27455120 Bienvenue,,199,1,https://comfy.ua/venchik-tefal-27455120-bienvenue.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,2
929221297,,,,,1815461,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Tescoma,tescoma,Вінчик tescoma 428287 GrandChef,,349,1,https://comfy.ua/venchik-tescoma-428287-grandchef.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
929221299,6711058,KELA,Венчик KELA Rondo 32 см (19020),409,1813290,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Kela,kela,Вінчик Kela Rondo 32 см (19020),,409,1,https://comfy.ua/venchik-kela-rondo-32-sm-19020.html,629,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
929221300,6987333,BRABANTIA,"Венчик BRABANTIA Profile 32,5 см (250842)",595,1794761,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Brabantia,brabantia,Вінчик Brabantia 32.5 см 250842,,699,1,https://comfy.ua/venchik-brabantia-32-5-sm-250842.html,,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
929221301,7069664,JOSEPH JOSEPH,Венчик-лопатка JOSEPH JOSEPH Twist 2 в 1 (10539),1175,1821839,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Joseph Joseph,joseph-joseph,Вінчик Joseph Joseph 10539,,995,1,https://comfy.ua/venchik-joseph-joseph-10539.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
929221320,7024669,MON AMI,hyg MON AMI Мило КОНВАЛІЯ 60г,8,1750920,Красота и здоровье >> Косметика для тела >> Мыло >> Мыло Mon Ami,mon-ami,Тверде мило Mon Ami Ландыш 60 г (4820195501795),,9,1,https://comfy.ua/tverdoe-mylo-mon-ami-landysh-60-g-4820195501795.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
929221321,7024670,MON AMI,Мыло MON AMI Лимон 60г (4820195501771),9,1750921,Красота и здоровье >> Косметика для тела >> Мыло >> Мыло Mon Ami,mon-ami,Тверде мило Mon Ami Лимон 60 г (4820195501771),,9,1,https://comfy.ua/tverdoe-mylo-mon-ami-limon-60-g-4820195501771.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
929221323,6826850,МИЛОВАРНІ ТРАДИЦІЇ,Твердое мыло Миловарні традиції Банное 180 г (4820195500910),38,1750922,Красота и здоровье >> Косметика для тела >> Мыло >> Мыло Grand Шарм,grand-sharm,Тверде мило Grand Шарм Банное 180 г (4820195500910),,31,1,https://comfy.ua/tverdoe-mylo-grand-sharm-bannoe-180-g-4820195500910.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
929221327,7024640,GRAND ШАРМ,Жидкое мыло GRAND ШАРМ Хлопок 500мл дой-пак (4820195504093),33,1754253,Красота и здоровье >> Косметика для тела >> Мыло >> Мыло Grand Шарм,grand-sharm,Рідке мило для рук Grand Шарм Maxi  Молочный протеин и хлопок 500 мл (4820195504093),,39,1,https://comfy.ua/zhidkoe-mylo-dlja-ruk-grand-sharm-maxi-molochnyj-protein-i-hlopok-500-ml-4820195504093.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
929221338,6711059,KELA,Вставка для пароварки KELA Flavoria 20 см (10192),1309,1815901,Посуда >> Для приготовления >> Аксессуары для посуды >> Аксессуары для посуды Kela,kela,Ємність для приготування на пару Kela Flavoria 20 см (10192),,1309,1,https://comfy.ua/emkost-dlja-prigotovlenija-na-paru-kela-flavoria-20-sm-10192.html,2169,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
929221348,,,,,1687507,Посуда >> Для сервировки,wmf,Помпа для вина WMF 640717920 VINO,,1599,1,https://comfy.ua/pompa-dlja-vina-wmf-640717920-vino.html,,05.11.2025 19:58,,"вул. Соборна, 42",Фастів,0
