929232875,6874034,san_clean,____san_clean_750__4820003542514,149,1750434,________________san_clean,sanclean,______san_clean_750__4820003542514,column,140,1,httpscomfyuasredstvodljamytjavvannojkomnatesanklin750ml4820003542514html,column,05112025_1919,column,__42,Фастів,0
929232875,6874034,SAN CLEAN,Средство для удаления плесени SAN CLEAN 750 мл (4820003542514),149,1750434,Бытовая химия >> Все для уборки >> Средства для чистки ванной >> Средства для чистки ванной San Clean,san-clean,Засіб для миття у ванній кімнаті San Clean 750 мл (4820003542514),,140,1,https://comfy.ua/sredstvo-dlja-myt-ja-v-vannoj-komnate-san-klin-750-ml-4820003542514.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
929232879,6874035,SAN CLEAN,Средство для удаления ржавчины SAN CLEAN Сантик 500 мл (4820003542989),114,1754178,Бытовая химия >> Все для уборки,san-clean,Засіб для миття у ванній кімнаті San Clean для видалення іржі з розпилювачем 500 мл (4820003542989),,100,1,https://comfy.ua/catalog/product/view/id/2604723,113,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
929232929,6874040,MILAM,Средство для чистки Милам для удаления жира и копоти 500 мл (4820077610065),86,1749785,Бытовая химия >> Средства для чистки техники >> Средства для чистки плит и духовок >> Средства для чистки плит и духовок Милам,milam,Засіб для чищення плит Милам 500 мл (4820077610065),,86,1,https://comfy.ua/chistjaschee-sredstvo-dlja-plit-milam-500-ml-4820077610065.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
929232931,7021705,SAN CLEAN,Чистящее средство SAN CLEAN Мастер Клинер для плит 500 мл (4820003540169),100,1754175,Бытовая химия >> Средства для чистки техники >> Средства для чистки плит и духовок >> Средства для чистки плит и духовок San Clean,san-clean,Засіб для чищення плит San Clean 500 мл (4820003540169),,87,1,https://comfy.ua/chistjaschee-sredstva-dlja-plit-san-klin-500-ml-4820003540169.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
929232932,6874045,MILAM,Средство для чистки MILAM Сhemical для удаления жира и копоти 750 мл (4820152290717),107,1749791,Бытовая химия >> Средства для чистки техники >> Средства для чистки плит и духовок >> Средства для чистки плит и духовок Милам,milam,Засіб для чищення плит Милам 750 мл (4820152290717),,93,1,https://comfy.ua/chistjaschee-sredstva-dlja-plit-milam-750-ml-4820152290717.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
929232933,6874031,SAN CLEAN,Средство для чистки плит SAN CLEAN Мастер Клинер 1 л (4820003542095),132,1751585,Бытовая химия >> Средства для чистки техники >> Средства для чистки плит и духовок >> Средства для чистки плит и духовок San Clean,san-clean,Засіб для чищення плит San Clean Мастер Клинер 1000 мл (4820003542095),,123,1,https://comfy.ua/chistjaschee-sredstvo-dlja-plit-san-klin-master-kliner-1000-ml-4820003542095.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
929232934,6874037,SAN CLEAN,Средство для чистки SAN CLEAN Мастер Клинер Professional 750 мл (4820003543856),228,1754146,Бытовая химия >> Средства для чистки техники >> Средства для чистки плит и духовок >> Средства для чистки плит и духовок San Clean,san-clean,Засіб для видалення жиру San Clean Мастер Клинер Professional (4820003543856),,213,1,https://comfy.ua/sredstvo-dlja-udalenija-zhira-san-klin-master-kliner-professional-4820003543856.html,227,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
929232935,,,,,1769998,Бытовая химия >> Средства для чистки техники,dr-beckmann,Засіб для чищення духовок Dr.BECKMANN Активный д/чистки духовки 375 мл,,269,1,https://comfy.ua/chistjaschee-sredstvo-dlja-duhovki-dr-beckmann-aktivnyj-d-chistki-duhovki-375-ml.html,319,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
929232937,6874026,SAN CLEAN,Средство для чистки плит SAN CLEAN Мастер Клинер 750 мл (4820003540220),126,1751588,Бытовая химия >> Средства для чистки техники >> Средства для чистки плит и духовок >> Средства для чистки плит и духовок San Clean,san-clean,Засіб для видалення жиру San Clean Мастер Клинер 750 мл (4820003540220),,110,1,https://comfy.ua/sredstvo-dlja-udalenija-zhira-san-klin-master-kliner-750-ml-4820003540220.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
929233361,7021709,SAN CLEAN,Очиститель для труб SAN CLEAN Мастер Клинер 1.2 л (4820003541753),116,1754176,Бытовая химия >> Все для уборки >> Средства для прочистки труб >> Средства для прочистки труб San Clean,san-clean,Засіб для чищення кухонної техніки San Clean для чистки труб 1.2 л (4820003541753),,76,1,https://comfy.ua/chistjaschee-sredstvo-dlja-kuhonnoj-tehniki-san-klin-dlja-chistki-trub-1-2-l-4820003541753.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
