929246383,6707236,idea_home,__idea_home_8__white,139,1814956,______________________idea_home,ideahome,_idea_home_39421__8__white_6707236,column,219,1,httpscomfyuaveshalkaideahome394h21sm8shtwhite6707236html,column,05112025_2002,column,__42,Фастів,0
929246383,6707236,IDEA HOME,Набор вешалок IDEA HOME 8 шт White,139,1814956,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Вешалки и чехлы для одежды >> Вешалки и чехлы для одежды Idea Home",idea-home,Вішалка Idea Home 39.4х21 см 8 шт. White (6707236),,219,1,https://comfy.ua/veshalka-idea-home-39-4h21-sm-8-sht-white-6707236.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
929247754,7066171,GROHE,Смеситель GROHE Vento Dual Spray Super Steel (30438DC0),14602,1789521,Дом и отдых >> Сантехника >> Смесители для кухни >> Смесители для кухни Grohe,grohe,Кухонний змішувач Grohe Vento Ohm C Dual Spray суперсталь (30438DC0),,15455,1,https://comfy.ua/smesitel-kuhonnyj-grohe-vento-ohm-c-dual-spray-superstal-30438dc0.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
929247782,6402977,ELLECI,Смеситель ELLECI Reno aluminium 79,9599,1802234,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Elleci",elleci,Кухонний змішувач Elleci Reno Aluminium 79,,9599,1,https://comfy.ua/smesitel-kuhonnyj-elleci-reno-aluminium-79.html,10799,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
929252598,7046049,RUTA,Туалетная бумага RUTA Selecta 4рулона 3слоя с ароматом ромашки (4820023744493),109,1750112,Бытовая химия >> Для ванной комнаты >> Туалетная бумага >> Туалетная бумага Ruta,ruta,Туалетний папір Ruta Selecta з ароматом ромашки 3 шари 4 рулони (4820023744493),,109,1,https://comfy.ua/tualetnaja-bumaga-ruta-selecta-s-aromatom-romashki-3-slovja-4-rulona-4820023744493.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
929252620,6766822,ZEWA,Туалетная бумага ZEWA Deluxe 3-слойная Персик 4 шт (9011111035769),154,1740532,Бытовая химия >> Для ванной комнаты >> Туалетная бумага >> Туалетная бумага Zewa,zewa,Туалетний папір Zewa Deluxe 3-слойная Персик 4 шт. (9011111035769),,155,1,https://comfy.ua/tualetnaja-bumaga-zewa-deluxe-3-slojnaja-persik-4-sht-9011111035769.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
929252654,6766823,ZEWA,Туалетная бумага ZEWA Deluxe 3-слойная 4 шт (7322540313369),154,1740530,Бытовая химия >> Для ванной комнаты >> Туалетная бумага >> Туалетная бумага Zewa,zewa,Туалетний папір Zewa Deluxe белая трехслойная 4 рулона (7322540313369),,155,1,https://comfy.ua/tualetnaja-bumaga-zewa-deluxe-belaja-trehslojnaja-4-rulona-7322540313369.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
929252666,6766820,ZEWA,Туалетная бумага ZEWA Deluxe Deluxe 3-слойная Ромашка Белая 4 шт (7322540060133),154,1740533,Бытовая химия >> Для ванной комнаты >> Туалетная бумага >> Туалетная бумага Zewa,zewa,Туалетний папір Zewa Deluxe 3-слойная Ромашка Белая 4 шт. (7322540060133),,145,1,https://comfy.ua/tualetnaja-bumaga-zewa-deluxe-3-slojnaja-romashka-belaja-4-sht-7322540060133.html,162,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
929252683,7046047,RUTA,Туалетная бумага RUTA Classic 8рулонов 2слоя Белый (4820023740488),132,1755323,Бытовая химия >> Для ванной комнаты >> Туалетная бумага >> Туалетная бумага Ruta,ruta,Туалетний папір Ruta Classic 150 відривів 2 шари 8 рулонів Біла (4820023740488),,99,1,https://comfy.ua/tualetnaja-bumaga-ruta-classic-150-otryvov-2-sloja-8-rulonov-belaja-4820023740488.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,2
929255845,,,,,1823317,"Дом, отдых и зоотовары >> Мебель >> Стулья и табуреты >> Стулья и табуреты GT Racer",gt-racer,Стілець кухоний GT Racer X-D10 Light Gray,,799,1,https://comfy.ua/stul-kuhonnyj-gt-racer-x-d10-light-gray.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
929255846,,,,,1823315,"Дом, отдых и зоотовары >> Мебель >> Стулья и табуреты >> Стулья и табуреты GT Racer",gt-racer,Стілець кухоний GT Racer X-D10 Dark Gray,,799,1,https://comfy.ua/stul-kuhonnyj-gt-racer-x-d10-dark-gray.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
