929395644,6720333,beko,__beko_hii64200fmtzg,16499,1825838,____________beko,beko,___beko_hii64200fmtzg,column,16499,1,httpscomfyuavarochnajapaneljelektricheskajabekohii64200fmtzghtml,18199,05112025_2100,column,__42,Фастів,0
929395644,6720333,BEKO,Варочная поверхность BEKO HII64200FMTZG,16499,1825838,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Beko,beko,Варильна поверхня електрична Beko HII64200FMTZG,,16499,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-beko-hii64200fmtzg.html,18199,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
929396033,,,,,11635738,OUTLET,globex,Мікропошкодження - Смарт-годинник Globex Me Black,,1581,1,https://comfy.ua/smart-chasy-globex-me-black-ucenka-50-1.html,1849,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
929396389,,,,,1705193,OUTLET,ardesto,Уцінка - Набір чашок з подвійними стінками Ardesto 300 мл 2 шт. (AR2630GHP) #,,195,1,https://comfy.ua/nabor-chashek-s-dvojnymi-stenkami-ardesto-300-ml-2-sht-ar2630ghp-ucenka-1-1.html,363,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
929396498,,,,,1766637,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Ardesto,ardesto,Уцінка - Чайник заварювальний Ardesto 1000 мл (AR3010GB) #,,174,1,https://comfy.ua/zavarnik-ardesto-1000-ml-ar3010gb-ucenka-1-1.html,405,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
929396799,,,,,1507674,Посуда >> Кухонные аксессуары >> Формы и пакеты для заморозки >> Формы и пакеты для заморозки Ardesto,ardesto,Уцінка - Форма для льоду Ardesto Fresh Blue Tiffany (AR1101TP) #,,60,1,https://comfy.ua/forma-dlja-l-da-ardesto-fresh-blue-tiffany-ar1101tp-ucenka-1-1.html,81,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
929397021,,,,,1291386,OUTLET,gorenje,Уцінка - Сушарка для фруктів та овочів Gorenje FDK24DW #,,1359,1,https://comfy.ua/sushilka-dlja-fruktov-i-ovoschej-gorenje-fdk24dw-ucenka-1-1.html,1919,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
929400203,,,,,1668871,OUTLET,wetair,Уцінка - Зволожувач повітря WetAir WH-735 #,,1699,1,https://comfy.ua/uvlazhnitel-vozduha-wetair-wh-735-ucenka-1-1.html,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
929400504,,,,,1557326,OUTLET,hansa,Уцінка - Плита газова Hansa FCGW510977 #,,11729,1,https://comfy.ua/plita-gazovaja-hansa-fcgw510977-ucenka-1-1.html,12197,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
929407877,,,,,1805097,OUTLET,hansa,Уцінка - Плита газова Hansa FCGX58099 #,,12282,1,https://comfy.ua/plita-gazovaja-hansa-fcgx58099-ucenka-1-1.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
929411162,,,,,1570722,OUTLET,tefal,Уцінка - Гриль-барбекю електричний Tefal GC750D30 #,,7649,1,https://comfy.ua/gril-barbekju-jelektricheskij-tefal-gc750d30-ucenka-1-1.html,14039,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
