931647926,column,column,column,column,1818156,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",a4tech,____a4tech_fg1112_black,column,899,1,httpscomfyuacatalogproductviewid2576213,column,05112025_2213,column,__42,Фастів,0
931647926,,,,,1818156,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",a4tech,Клавіатура + миша бездротова A4tech FG1112 Black,,899,1,https://comfy.ua/catalog/product/view/id/2576213,,05.11.2025 22:13,,"вул. Соборна, 42",Фастів,0
931955845,,,,,1823086,"Детские товары >> Детская комната и безопасность >> Кресла, шезлонги и укачивающие центры >> Кресла, шезлонги и укачивающие центры Ingenuity",ingenuity,Крісло-качалка Ingenuity 11203,,2235,1,https://comfy.ua/kreslo-kachalka-ingenuity-11203.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
931955893,,,,,1825973,Детские товары >> Кормление >> Стерилизаторы детские >> Стерилизаторы детские Lovi,lovi,Стерилізатор універсальний паровий Lovi 12/209,,5299,1,https://comfy.ua/sterilizator-universal-nyj-parovoj-lovi-12-209.html,,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
931955907,6717667,PHILIPS,Гарнитура Philips TAT2236 True Wireless IPX4 White (TAT2236WT/00),1399,1825293,"Аудио, фото и видео >> Наушники >> Наушники Philips",philips,Навушники вкладиші бездротові TWS Philips TAT2236WT/00 White,,1399,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-philips-tat2236-white.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
931955940,6717666,PHILIPS,Гарнитура Philips TAT2206 True Wireless IPX4 Black (TAT2206BK/00),1599,1825289,"Аудио, фото и видео >> Наушники",philips,Навушники вкладиші бездротові TWS Philips TAT2206BK/00 Black,,1599,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-philips-tat2206-black.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,1
931964010,,,,,1823226,"Аудио, фото и видео >> Акустика",takstar,Мікрофон вокальний дротовий Takstar TAK35 Wired microphone Black,,1999,1,https://comfy.ua/catalog/product/view/id/2597183,2799,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
931967984,,,,,1811233,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",voltronic,"Рюкзак для ноутбуку Voltronic YT-B15 15.6'', N-B3 6'' Black Q80 (19720)",,705,1,https://comfy.ua/rjukzak-dlja-noutbuka-voltronic-yt-b15-15-6-n-b3-6-black-q80-19720.html,,05.11.2025 22:16,,"вул. Соборна, 42",Фастів,0
931987807,,,,,1814830,Техника для кухни >> Крупная техника,gorenje,Посудомийна машина вбудована Gorenje GV520E10,,12999,1,https://comfy.ua/catalog/product/view/id/2570463,15699,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
932001390,,,,,1816459,Красота и здоровье >> Уход за волосами,sencor,Машинка для стрижки волосся Sencor SHP 4502BL,,935,1,https://comfy.ua/catalog/product/view/id/2535753,1099,05.11.2025 19:09,,"вул. Соборна, 42",Фастів,0
932002593,6722635,OSRAM,Светодиодная лампа OSRAM LED A75 9W (1055Lm) 2700K E27 (4058075436886),174,1823107,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED A75 9W (1055Lm) 2700K E27 (4058075436886),,175,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-a75-9w-1055lm-2700k-e27-4058075436886.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
