937518763,column,column,column,column,1821608,__________haisser,haisser,_haisser_50__22025,column,815,1,httpscomfyuaruletkahaisser50m22025html,column,05112025_2151,column,__42,Фастів,0
937518763,,,,,1821608,Инструменты и автотовары >> Ручные инструменты >> Рулетки >> Рулетки Haisser,haisser,Рулетка Haisser 50 м (22025),,815,1,https://comfy.ua/ruletka-haisser-50-m-22025.html,,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
937518764,,,,,1821605,Инструменты и автотовары >> Ручные инструменты,haisser,Рулетка Haisser 30 м (22027),,849,1,https://comfy.ua/ruletka-haisser-30-m-22027.html,,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
937518765,,,,,1821609,Инструменты и автотовары >> Ручные инструменты >> Рулетки >> Рулетки Haisser,haisser,Рулетка Haisser 50 м (22028),,1049,1,https://comfy.ua/ruletka-haisser-50-m-22028.html,,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
937521297,,,,,1828765,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,Кабель Scart - RCA Merlion Scart-Scart 1.2m Black (TT-SCART (M)/(M)-1.2),,99,1,https://comfy.ua/kabel-scart-rca-merlion-scart-scart-1-2m-black-tt-scart-m-m-1-2.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
937526054,,,,,1828764,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,"Кабель Scart - RCA Merlion Scart-6RCA, 1.5m Black (TT-SCART (M)-6RCA (M)-1.5)",,99,1,https://comfy.ua/kabel-scart-rca-merlion-scart-6rca-1-5m-black-tt-scart-m-6rca-m-1-5.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
937529345,,,,,1830020,"Аудио, фото и видео >> Наушники",hoco,Навушники вкладиші дротові HOCO M34 Black,,68,1,https://comfy.ua/catalog/product/view/id/2668533,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
937533003,,,,,1830032,"Аудио, фото и видео >> Наушники",gelius,Навушники вкладиші дротові Gelius Ultra Iron Wave GU-075 Black,,69,1,https://comfy.ua/catalog/product/view/id/2668893,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
937534301,,,,,.1825528,Игровые консоли и гейминг >> Комплектующие для игровых ПК,id-cooling,Корпусний вентилятор ID-Cooling WF-14025-XT Black,,269,1,https://comfy.ua/korpusnyj-ventiljator-id-cooling-wf-14025-xt-black.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
937535407,6711085,KELA,Кастрюля KELA Flavoria 4.6 л (10173),3839,1813223,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Kela,kela,Каструля Kela Flavoria 24 см 4.6 л (10173),,3839,1,https://comfy.ua/kastrjulja-kela-flavoria-24-sm-4-6-l-10173.html,4789,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
937535472,,,,,1825341,Игровые консоли и гейминг >> Комплектующие для игровых ПК,cougar,"Блок живлення для ПК Cougar GEX 850, 80 Plus Gold, 850W",,5599,1,https://comfy.ua/catalog/product/view/id/2656663,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
937535474,6733511,TEFAL,Бутербродница TEFAL SM155212,999,1811155,Техника для кухни >> Мелкая техника >> Бутербродницы >> Бутербродницы Tefal,tefal,Бутербродниця Tefal SM155212,,1299,1,https://comfy.ua/buterbrodnica-tefal-sm155212.html,1599,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
937535487,6711147,KELA,Подставка-подогреватель для чайника KELA Globul 18 см (17600),379,1815926,Посуда >> Кухонные аксессуары >> Органайзеры и подставки для кухни >> Органайзеры и подставки для кухни Kela,kela,Підставка для кухонного приладдя Kela Globul 21 см (17600),,379,1,https://comfy.ua/podstavka-dlja-kuhonnyh-prinadlezhnostej-kela-globul-18-sm-17600.html,679,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
937560783,6735100,TP-LINK,Wi-Fi роутер TP-LINK Archer C64,1399,1828756,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет TP-Link",tp-link,Маршрутизатор інтернет WiFi5 TP-Link Archer C64,,1399,1,https://comfy.ua/marshrutizator-internet-wifi5-tp-link-archer-c64.html,1599,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,4
937575995,,,,,1819652,Техника для дома >> Климатическая техника,daikin,Кондиціонер спліт Daikin FTXA42BB/RXA42A,,138765,1,https://comfy.ua/catalog/product/view/id/2656373,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
937576047,,,,,1644253,OUTLET,gorenje,Уцінка - Електричний чайник Gorenje K 17 CLI #,,2249,1,https://comfy.ua/jelektricheskij-chajnik-gorenje-k-17-cli-ucenka-1-1.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
937576537,,,,,11524619,OUTLET,gogps,Мікропошкодження - Дитячий годинник GOGPS ME K14 Blue (K14BL),,1457,1,https://comfy.ua/smart-chasy-gogps-me-k14-blue-k14bl-ucenka-50-1.html,1999,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
937576652,,,,,1694966,OUTLET,ardesto,Уцінка - Набір чашок з подвійними стінками Ardesto 300 мл 2 шт. (AR2630GHP) ##,,167,1,https://comfy.ua/nabor-chashek-s-dvojnymi-stenkami-ardesto-300-ml-2-sht-ar2630ghp-ucenka-2-1.html,311,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
