940690125,column,column,column,column,1824640,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,__qube_qb_i5_10400__164_i510400164,column,15711,1,httpscomfyuasistemnyjblokqubeqbi510400164i510400164html,18059,05112025_1820,column,__42,Фастів,0
940690125,,,,,.1824640,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400  164 (i510400164),,15711,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400-164-i510400164.html,18059,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
940690128,,,,,.1824647,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400  841 (i510400841),,17578,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400-841-i510400841.html,20205,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
940690129,,,,,.1824639,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400  1621 (i5104001621),,16160,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400-1621-i5104001621.html,18575,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
940690146,,,,,.1824641,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",qube,Системний блок QUBE QB i5 10400  1641 (i5104001641),,18965,1,https://comfy.ua/sistemnyj-blok-qube-qb-i5-10400-1641-i5104001641.html,21799,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
940690205,,,,,1816102,Техника для кухни >> Крупная техника,ventolux,Духова шафа електрична Ventolux VERONA 6 MT (BK),,7333,1,https://comfy.ua/catalog/product/view/id/2690433,8149,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
940691131,6705507,BOSCH,Гайковерт BOSCH ударный GDS 18V-1050 H (0.601.9J8.522),26046,1758522,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Bosch,bosch,Гайковерт акумуляторний Bosch GDS 18V-1050 H 2x5.0 (0.601.9J8.522),,26045,1,https://comfy.ua/gajkovert-akkumuljatornyj-bosch-gds-18v-1050-h-2x5-0-0-601-9j8-522.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
940691132,6705506,BOSCH,Гайковерт ударный BOSCH GDS 18V-1050 H Professional (0.601.9J8.502),33390,1758523,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Bosch,bosch,Гайковерт акумуляторний Bosch GDS 18V-1050 H 2xPC8.0 (0.601.9J8.502),,33389,1,https://comfy.ua/gajkovert-akkumuljatornyj-bosch-gds-18v-1050-h-2xpc8-0-0-601-9j8-502.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
940703433,6729780,VENTOLUX,Духовой шкаф VENTOLUX VERONA 6 MT (BK),7333,1816102,Техника для кухни >> Крупная техника,ventolux,Духова шафа електрична Ventolux VERONA 6 MT (BK),,7333,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-ventolux-verona-6-mt-bk.html,8149,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
940707120,6803488,KERMI,Радиатор KERMI Profil-V FTV 11 300х1800 мм (FTV110301801R2K),11371,1831602,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,"Радіатор опалення Kermi Profil-V, FTV 11, 300X1800 мм (FTV110301801R2K)",,11509,1,https://comfy.ua/radiator-otoplenija-kermi-profil-v-ftv-11-300x1800-mm-ftv110301801r2k.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
940759314,6732056,SWISS DIAMOND,Сковорода для блинов SWISS DIAMOND XD Induction 26 см Black (XD6226i),8638,1830767,Посуда >> Для приготовления >> Сковороды >> Сковороды Swiss Diamond,swiss-diamond,Сковорода для млинців Swiss Diamond XD Induction 26 см (XD6226i),,9150,1,https://comfy.ua/skovoroda-dlja-blinov-swiss-diamond-xd-induction-26-sm-xd6226i.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
940759315,6732057,SWISS DIAMOND,Сковорода для блинов SWISS DIAMOND XD Induction 28х28 см Black (XD6228-3i),10930,1830768,Посуда >> Для приготовления >> Сковороды >> Сковороды Swiss Diamond,swiss-diamond,Сковорода для млинців Swiss Diamond XD Induction 28х28 см (XD6228-3i),,10930,1,https://comfy.ua/skovoroda-dlja-blinov-swiss-diamond-xd-induction-28h28-sm-xd6228-3i.html,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
940759316,6732058,SWISS DIAMOND,Сковорода для оладий SWISS DIAMOND XD Induction 26 см Black (XD6326i),10705,1830769,Посуда >> Для приготовления,swiss-diamond,Сковорода для млинців Swiss Diamond XD Induction 26 см (XD6326i),,11339,1,https://comfy.ua/skovoroda-dlja-blinov-swiss-diamond-xd-induction-26-sm-xd6326i.html,,05.11.2025 21:14,,"вул. Соборна, 42",Фастів,0
940759317,6732059,SWISS DIAMOND,Сковорода с крышкой SWISS DIAMOND XD Induction 26 см Black (XD6526ic),10682,1830770,Посуда >> Для приготовления >> Сковороды >> Сковороды Swiss Diamond,swiss-diamond,Сковорода універсальна Swiss Diamond XD Induction 26 см (XD6526ic),,11315,1,https://comfy.ua/skovoroda-universal-naja-swiss-diamond-xd-induction-26-sm-xd6526ic.html,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
941313738,,,,,1830772,Посуда >> Для приготовления,swiss-diamond,Кришка для посуду Swiss Diamond 18 см (с-18),,1250,1,https://comfy.ua/kryshka-dlja-posudy-swiss-diamond-18-sm-s-18.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
941431504,,,,,1771837,Телевизоры и мультимедиа >> Аксессуары для ТВ,itechmount,Кріплення для телевізора ITECHmount KFG-3,,2325,1,https://comfy.ua/catalog/product/view/id/2664923,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
941432321,6805883,TEFAL,Нож для овощей TEFAL Fresh Kitchen 9 см (K1220604),319,1830727,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tefal,tefal,Ніж для овочів Tefal Fresh Kitchen 9 см (K1220604),,319,1,https://comfy.ua/nozh-dlja-ovoschej-tefal-fresh-kitchen-9-sm-k1220604.html,429,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,2
941432492,6805884,TEFAL,Нож сантоку TEFAL Fresh Kitchen 2 12 см + чехол (K1220104),399,1830726,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tefal,tefal,Ніж кухонний Tefal Fresh Kitchen 12 см (K1220104),,399,1,https://comfy.ua/nozh-kuhonnyj-tefal-fresh-kitchen-12-sm-k1220104.html,539,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,2
