945238118,column,column,column,column,1835994,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,__cablexpert_pc186ml121m_cee77c5__1__vde,column,99,1,httpscomfyuakabelpitanijacablexpertpc186ml121mcee77c51mvdehtml,column,05112025_1735,column,__42,Фастів,0
945238118,,,,,1835994,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Кабель живлення Cablexpert PC-186-ML12-1M CEE7/7-C5  1 м VDE,,99,1,https://comfy.ua/kabel-pitanija-cablexpert-pc-186-ml12-1m-cee7-7-c5-1-m-vde.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
945251117,,,,,1765673,Смартфоны и телефоны >> Аксессуары для смартфонов,huion,Рукавички для сенсорних екранів Huion Artist Glove Free size,,349,1,https://comfy.ua/perchatki-dlja-sensornyh-jekranov-huion-artist-glove-free-size.html,,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
945267858,,,,,1806170,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Чохол для планшета Armorstandart Smart Case for Samsung Galaxy Tab S6 Lite SM-P610/SM-P615 Black (ARM58626),,549,1,https://comfy.ua/chehol-dlja-plansheta-armorstandart-smart-case-for-samsung-galaxy-tab-s6-lite-sm-p610-sm-p615-black-arm58626.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
945269404,,,,,1834703,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant Motorola Moto G6 (HG30) (SM130429),,199,1,https://comfy.ua/catalog/product/view/id/2725123,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
945269405,,,,,1834702,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant Motorola Moto G6 Plus (JT40) (SM130412),,129,1,https://comfy.ua/catalog/product/view/id/2725133,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
945269406,,,,,1834701,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant Motorola Moto G6 Play (BL270) (SM130405),,199,1,https://comfy.ua/catalog/product/view/id/2725153,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
945269407,,,,,1834695,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant Motorola Moto G Turbo (ED30) (SM130276),,199,1,https://comfy.ua/catalog/product/view/id/2725233,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
945272152,,,,,1834761,Смартфоны и телефоны >> Аксессуары для смартфонов,powerplant,Акумулятор для смартфона PowerPlant ZTE Blade A7 (2020) 3200mAh (SM130504),,299,1,https://comfy.ua/catalog/product/view/id/2724843,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
945272773,,,,,1803836,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",powerplant,Картридж для лазерних принтерів/БФП PowerPlant HP CLJ M180/M181 (CF530A),,499,1,https://comfy.ua/catalog/product/view/id/2726833,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
945272807,,,,,1803841,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",powerplant,Картридж для лазерних принтерів/БФП PowerPlant HP 203A CLJ M280/M281 MG (CF543A),,599,1,https://comfy.ua/catalog/product/view/id/2726793,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
945272809,,,,,1803839,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",powerplant,Картридж для лазерних принтерів/БФП PowerPlant HP CLJ M280/M254 (CF540A),,699,1,https://comfy.ua/catalog/product/view/id/2726823,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
945272823,6716870,TRANSCEND,Флеш-драйв TRANSCEND 256GB USB 3.2/Type-C JetFlash 930 Gold-Black (TS256GJF930C),2183,1830074,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Флеш USB >> Флеш USB Transcend",transcend,Флеш USB Transcend JetFlash 930 256GB USB 3.2/Type-C (TS256GJF930C) Gold-Black,,1675,1,https://comfy.ua/flesh-usb-transcend-jetflash-930-256gb-usb-3-2-type-c-ts256gjf930c-gold-black.html,,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
945294586,,,,,1834021,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети Ubiquiti",ubiquiti,Коммутатор локальної мережі (Switch) Ubiquiti USW-LITE-8-POE,,5549,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-ubiquiti-usw-lite-8-poe.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
