946360732,6634550,limited_edition,___limited_edition_terra_20__yf60025,86,1835266,____________limited_edition,limitededition,__limited_edition_terra_20__blue_yf60025,column,86,1,httpscomfyuatarelkasupovajalimitededitionterra20smblueyf60025html,column,05112025_1903,column,__42,Фастів,0
946360732,6634550,LIMITED EDITION,Тарелка столовая глубокая LIMITED EDITION TERRA 20 см (YF6002-5),86,1835266,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Limited Edition,limited-edition,Тарілка супова Limited Edition Terra 20 см Blue (YF6002-5),,86,1,https://comfy.ua/tarelka-supovaja-limited-edition-terra-20-sm-blue-yf6002-5.html,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
946360733,,,,,.1837520,Посуда >> Для сервировки,lemax,Ємність для фруктів Lemax бронза (LF-2002612 ВА),,201,1,https://comfy.ua/emkost-dlja-fruktov-lemax-bronza-lf-2002612-va.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
946360734,,,,,.1837519,Посуда >> Для сервировки,lemax,Ємність для фруктів Lemax хром (LF-2002612),,164,1,https://comfy.ua/emkost-dlja-fruktov-lemax-hrom-lf-2002612.html,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
946360735,6634551,LIMITED EDITION,Тарелка столовая мелкая LIMITED EDITION TERRA 26.7см (YF6007-1),115,1835261,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Limited Edition,limited-edition,Тарілка обідня Limited Edition Terra 26.7 см Powdery Pink (YF6007-1),,115,1,https://comfy.ua/tarelka-obedennaja-limited-edition-terra-26-7-sm-powdery-pink-yf6007-1.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
946360736,6634542,LIMITED EDITION,Тарелка столовая мелкая LIMITED EDITION TERRA 26.7 см (YF6001-1),111,1835260,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Limited Edition,limited-edition,Тарілка обідня Limited Edition Terra 26.7 см Mocha (YF6001-1),,115,1,https://comfy.ua/tarelka-obedennaja-limited-edition-terra-26-7-sm-mocha-yf6001-1.html,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
946360737,6634547,LIMITED EDITION,Тарелка столовая мелкая LIMITED EDITION TERRA 26.7см (YF6002-1),111,1835259,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Limited Edition,limited-edition,Тарілка обідня Limited Edition Terra 26.7 см Blue (YF6002-1),,111,1,https://comfy.ua/tarelka-obedennaja-limited-edition-terra-26-7-sm-blue-yf6002-1.html,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
946361983,,,,,1837515,Посуда >> Кухонные аксессуары,tescoma,Гумка для запікання tescoma 630572 Delicia 5 шт.,,199,1,https://comfy.ua/rezinka-dlja-zapekanija-tescoma-630572-delicia-5-sht.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
946368419,,,,,1835878,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",ugreen,Хаб USB UGREEN CM219 Type-C - 3xUSB with MicroUSB Power Port Gray (70336),,699,1,https://comfy.ua/catalog/product/view/id/2737093,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
946368422,,,,,1835222,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",vention,Хаб USB Vention USB3.1 Type-C - HDMI/VGA/USB 3.0/PD 100W Hub 4-in-1 (TOAHB),,899,1,https://comfy.ua/catalog/product/view/id/2736313,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
946368431,,,,,.1835049,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",promate,"Хаб USB Promate Primehub-pro HDMI, RJ45, USB 3.0, USB 2.0, Кардридер, USB Type-C, VGA Grey",,2399,1,https://comfy.ua/hab-usb-promate-primehub-pro-hdmi-rj45-usb-3-0-usb-2-0-kardrider-usb-type-c-vga-grey.html,3399,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
