951431817,column,column,column,column,1831204,Смартфоны и телефоны >> Аксессуары для смартфонов,ugreen,___ugreen_cd213_36w_2xusb_qc_30_3a_car_charger_dark_blue_10144,column,429,1,httpscomfyuacatalogproductviewid2699183,column,05112025_1754,column,__42,Фастів,0
951431817,,,,,1831204,Смартфоны и телефоны >> Аксессуары для смартфонов,ugreen,Автомобільний зарядний пристрій UGREEN CD213 36W 2xUSB QC 3.0 3A Car Charger Dark Blue (10144),,429,1,https://comfy.ua/catalog/product/view/id/2699183,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
951479129,,,,,1815562,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Canon",canon,Картридж для лазерних принтерів/БФП Canon iSXC1127i T09 Cartridge Black (3020C006AA),,3671,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-canon-isxc1127i-t09-cartridge-black-3020c006aa.html,4079,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
951479132,,,,,1799280,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры HP",hp,Картридж для лазерних принтерів/БФП HP 203X CLJ M280/M281/M254 Magenta (CF543X),,6455,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-hp-203x-clj-m280-m281-m254-magenta-cf543x.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
951604120,,,,,1833378,"Аудио, фото и видео >> Наушники",sennheiser,Гарнітура дротова Sennheiser ADAPT 135 USB-C II (1000918),,2027,1,https://comfy.ua/catalog/product/view/id/2735523,4359,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
951612152,,,,,1779827,Инструменты и автотовары >> Автотовары >> Видеорегистраторы >> Видеорегистраторы 70mai,70mai,Відеореєстратор 70mai Dash Cam A800S+RC06,,6999,1,https://comfy.ua/videoregistrator-xiaomi-70mai-dash-cam-a800s-rc06.html,7299,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
951612461,6736308,EPSON,МФУ струйное EPSON L8180 (C11CJ21403),31779,1832359,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Принтеры и МФУ >> Принтеры и МФУ Epson",epson,БФП кольорового друку Epson L8180 з WI-FI (C11CJ21403),,31779,1,https://comfy.ua/mfu-cvetnoj-pechati-epson-l8180-s-wi-fi-c11cj21403.html,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
951612540,3144513,GEMBIRD,Сетевая карта GEMBIRD NIC-R1 Realtek 100Base-TX PCI (NIC-R1),219,1825778,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Сетевые карты LAN >> Сетевые карты LAN Gembird",gembird,"""Карта мережі LAN",,,,,,,,,,
"Gembird NIC-R1""",,219,1,https://comfy.ua/setevaja-karta-lan-gembird-nic-r1.html,,05.11.2025 17:26,,"вул. Соборна, 42",Фастів,0,,,,,,,,
951612541,,,,,.1825779,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",frime,"""Карта мережі LAN",,,,,,,,,,
"Frime NCF-GbLanWGI210AT.LP""",,799,1,https://comfy.ua/setevaja-karta-lan-frime-ncf-gblanwgi210at-lp.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0,,,,,,,,
951614414,,,,,1835752,Дом и отдых >> Отдых и путешествия >> Автохолодильники >> Автохолодильники Mystery,mystery,Холодильник автомобільний Mystery MTC-24 Grey,,2999,1,https://comfy.ua/holodil-nik-avtomobil-nyj-mystery-mtc-24-grey.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
951616097,6800741,STARK,Фонарь STARK L-1-02 Li 8W COB (243000102),619,1837563,"Дом, отдых и зоотовары >> Освещение >> Фонари >> Фонари Stark",stark,Ліхтар Stark L-1-02 Li 8W COB (243000102),,619,1,https://comfy.ua/fonar-stark-l-1-02-li-8w-cob-243000102.html,,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
951620198,6871644,GRAPHITE,Круг лепестковый GRAPHITE 60 х 30 мм K80 (55H759),89,1835372,Инструменты и автотовары >> Расходные материалы >> Диски >> Диски GRAPHITE,graphite,Круг шліфувальний GRAPHITE 60x30 мм K80 (55H759),,90,1,https://comfy.ua/krug-shlifoval-nyj-graphite-60x30-mm-k80-55h759.html,,05.11.2025 22:09,,"вул. Соборна, 42",Фастів,0
951635494,,,,,.1837239,Инструменты и автотовары >> Ручные инструменты,stal,Киянка Сталь 450 г (44073),,175,1,https://comfy.ua/kijanka-stal-450-g-44073.html,,05.11.2025 21:54,,"вул. Соборна, 42",Фастів,0
951635495,,,,,.1837244,Инструменты и автотовары >> Ручные инструменты,stal,Киянка Сталь 225 г (44020),,185,1,https://comfy.ua/kijanka-stal-225-g-44020.html,,05.11.2025 21:54,,"вул. Соборна, 42",Фастів,0
951635496,,,,,1720200,Инструменты и автотовары >> Ручные инструменты,stark,Молоток Stark 520400450,,229,1,https://comfy.ua/molotok-stark-520400450.html,,05.11.2025 23:24,,"вул. Соборна, 42",Фастів,0
951635497,,,,,.1837242,Инструменты и автотовары >> Ручные инструменты,stal,Киянка Сталь 450 г (44077),,209,1,https://comfy.ua/kijanka-stal-450-g-44077.html,,05.11.2025 22:57,,"вул. Соборна, 42",Фастів,0
951635499,6725772,СТАЛЬ,Киянка СТАЛЬ 680 г (106188),225,1837240,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Сталь",stal,Киянка Сталь 680 г (44074),,225,1,https://comfy.ua/kijanka-stal-680-g-44074.html,,05.11.2025 22:18,,"вул. Соборна, 42",Фастів,0
951635890,,,,,.1778091,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",powercom,Джерело безперебійного живлення Powercom BNT-800AP Schuko,,4092,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-powercom-bnt-800ap-schuko.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
951636427,6725773,СТАЛЬ,Киянка СТАЛЬ 900 г (106189),305,1837241,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Сталь",stal,Киянка Сталь 900 г (44075),,305,1,https://comfy.ua/kijanka-stal-900-g-44075.html,,05.11.2025 21:54,,"вул. Соборна, 42",Фастів,0
951641336,,,,,1830261,Телевизоры и мультимедиа >> Проекторы и экраны,2e,Екран 2E 0169120ALR,,28015,1,https://comfy.ua/catalog/product/view/id/2673783,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
951648446,,,,,.1837731,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",merlion,Акумулятор для ДБЖ Merlion 6V - 1.2 Ah (GP612),,159,1,https://comfy.ua/akkumuljator-dlja-ibp-merlion-6v-1-2-ah-gp612.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
951653345,,,,,.1834028,Инструменты и автотовары >> Ручные инструменты,stal,Ніж будівельний Сталь 18 мм (23307),,31,1,https://comfy.ua/nozh-stroitel-nyj-stal-18-mm-23307.html,,05.11.2025 22:58,,"вул. Соборна, 42",Фастів,0
951653347,7041821,TOLSEN,Нож TOLSEN инструментальный (30008),101,1831188,Инструменты и автотовары >> Ручные инструменты >> Ножи строительные >> Ножи строительные Tolsen,tolsen,Ніж будівельний Tolsen SK5 (30008),,129,1,https://comfy.ua/nozh-stroitel-nyj-tolsen-sk5-30008.html,,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
951653619,,,,,.1836980,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",atcom,Перехідник 220В Atcom UK/US-EU Black (14345),,14,1,https://comfy.ua/perehodnik-evro-220v-atcom-uk-us-eu-black-14345.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
951664933,,,,,1771836,Телевизоры и мультимедиа >> Аксессуары для ТВ,itechmount,Кріплення для телевізора ITECHmount KF-1,,1590,1,https://comfy.ua/catalog/product/view/id/2669563,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
951672550,6738694,ARDESTO,Кофеварка ARDESTO FCM-D17WG,1098,1833487,Техника для кухни >> Мир кофе >> Кофеварки капельные >> Кофеварки капельные Ardesto,ardesto,Кавоварка крапельна Ardesto FCM-D17WG,,1099,1,https://comfy.ua/kofevarka-kapel-naja-ardesto-fcm-d17wg.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
951674091,6803532,KERMI,Радиатор KERMI Therm-X2 Profil-V FTV 11 300 х 1100 мм (FTV110301101R2Z),8038,1832172,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,Радіатор опалення Kermi Profil-V FTV 11 300X1100 мм (FTV110301101R2Z),,8139,1,https://comfy.ua/radiator-otoplenija-kermi-profil-v-ftv-11-300x1100-mm-ftv110301101r2z.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
