951944429,6709510,stark,_stark_cd_102_liion_210070016,1497,1840167,Инструменты и автотовары >> Электроинструменты,stark,_stark_cd_102_210070016_liion,column,1499,1,httpscomfyuacatalogproductviewid2768423,column,05112025_2140,column,__42,Фастів,0
951944429,6709510,STARK,Дрель-шуруповерт STARK CD 10-2 Li-Ion (210070016),1497,1840167,Инструменты и автотовары >> Электроинструменты,stark,Дриль-шуруповерт Stark CD 10-2 (210070016) Li-Ion,,1499,1,https://comfy.ua/catalog/product/view/id/2768423,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
951980234,,,,,1834946,Игровые консоли и гейминг >> Комплектующие для игровых ПК,2e,Корпус 2E Gaming Runa (G2107) Black (2E-G2107) без БЖ,,1399,1,https://comfy.ua/catalog/product/view/id/2767483,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
951980806,,,,,1840259,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",tp-link,Коммутатор локальної мережі (Switch) TP-Link TL-SG1210MPE,,5449,1,https://comfy.ua/catalog/product/view/id/2769063,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
951980899,6740864,ARDESTO,Ковш ARDESTO Black Mars 1 л (AR0710S),419,1836905,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Ardesto,ardesto,Ківш Ardesto Black Mars 1 л (AR0710S),,377,1,https://comfy.ua/kuvshin-ardesto-black-mars-1-l-ar0710s.html,599,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
951981604,,,,,.1831777,Телевизоры и мультимедиа >> Аксессуары для ТВ,sonorous,Тумба для телевізора Sonorous NEO 3110-B-SLV,,10949,1,https://comfy.ua/tumba-dlja-televizora-sonorous-neo-3110-b-slv.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
952011111,6733545,GORENJE,Варочная поверхность GORENJE IS645BSC,24999,1821804,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Gorenje,gorenje,Варильна поверхня електрична Gorenje IS645BSC,,17639,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-gorenje-is645bsc.html,29399,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
952025882,6725133,STARK,Дрель ударная STARK ID-810Q (120080002),1289,1840060,Инструменты и автотовары >> Электроинструменты >> Дрели электрические >> Дрели электрические Stark,stark,Електродриль Stark ID-810Q (120080002),,1289,1,https://comfy.ua/jelektrodrel-stark-id-810q-120080002.html,,05.11.2025 21:45,,"вул. Соборна, 42",Фастів,0
952027326,6734616,BOSCH,Шлифмашина угловая BOSCH PWS 850-125 (0.603.3A2.70B),2999,1831775,Инструменты и автотовары >> Электроинструменты,bosch,Болгарка Bosch PWS 850-125 (0.603.3A2.70B),,2999,1,https://comfy.ua/catalog/product/view/id/2686443,,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
952028918,,,,,1840259,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети TP-Link",tp-link,Коммутатор локальної мережі (Switch) TP-Link TL-SG1210MPE,,5449,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-tp-link-tl-sg1210mpe.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
952029668,,,,,1840260,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",tp-link,Коммутатор локальної мережі (Switch) TP-Link TL-SX3008F,,11349,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-tp-link-tl-sx3008f.html,,05.11.2025 18:06,,"вул. Соборна, 42",Фастів,0
952034117,,,,,1834946,Игровые консоли и гейминг >> Комплектующие для игровых ПК,2e,Корпус 2E Gaming Runa (G2107) Black (2E-G2107) без БЖ,,1399,1,https://comfy.ua/korpus-2e-gaming-runa-g2107-black-2e-g2107-bez-bp.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
952048577,6709510,STARK,Дрель-шуруповерт STARK CD 10-2 Li-Ion (210070016),1497,1840167,Инструменты и автотовары >> Электроинструменты >> Шуруповерты >> Шуруповерты Stark,stark,Дриль-шуруповерт Stark CD 10-2 (210070016) Li-Ion,,1499,1,https://comfy.ua/drel-shurupovert-stark-cd-10-2-210070016-li-ion.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
952050552,6740861,ARDESTO,Кастрюля ARDESTO Black Mars 1.1 л (AR0706S),665,1836904,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Ardesto,ardesto,Каструля Ardesto Black Mars  1.1 л (AR0706S),,665,1,https://comfy.ua/kastrjulja-ardesto-black-mars-1-1-l-ar0706s.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
952082446,,,,,.1834855,Игровые консоли и гейминг >> Комплектующие для игровых ПК,aerocool,"Корпусний вентилятор AEROCOOL Saturn 12 FRGB, 120х120х25 мм, 3-Pin Molex",,219,1,https://comfy.ua/korpusnyj-ventiljator-aerocool-saturn-12-frgb-120h120h25-mm-3-pin-molex.html,,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
953035568,6725704,JBL,Гарнитура JBL T710BT Black (JBLT710BTBLK),2299,1832161,"Аудио, фото и видео >> Наушники",jbl,Навушники повнорозмірні бездротові JBL Tune 710 BT Black (JBLT710BTBLK),,2299,1,https://comfy.ua/catalog/product/view/id/2774843,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
953562840,6725704,JBL,Гарнитура JBL T710BT Black (JBLT710BTBLK),2299,1832161,"Аудио, фото и видео >> Наушники >> Наушники JBL",jbl,Навушники повнорозмірні бездротові JBL Tune 710 BT Black (JBLT710BTBLK),,2299,1,https://comfy.ua/naushniki-polnorazmernye-besprovodnye-jbl-tune-710-bt-black-jblt710btblk.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
957531838,,,,,1834459,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",gembird,Клавіатура дротова Gembird KB-MCH-04-UA Black USB UKR,,179,1,https://comfy.ua/catalog/product/view/id/2701583,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
