982514130,column,column,column,column,1842748,Детские товары >> Кормление,beaba,____beaba____2__1_800927,column,469,1,httpscomfyuacatalogproductviewid2794393,column,05112025_2147,column,__42,Фастів,0
982514130,,,,,1842748,Детские товары >> Кормление,beaba,Аксесуар для дитячих поїльників Beaba набір силіконових насадок 2 в 1 (800927),,469,1,https://comfy.ua/catalog/product/view/id/2794393,,05.11.2025 21:47,,"вул. Соборна, 42",Фастів,0
982514135,,,,,1842438,"Детские товары >> Уход, купание и гигиена",beaba,Дитяча ванночка Beaba Camele'o Pink (920354),,2119,1,https://comfy.ua/catalog/product/view/id/2794443,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
982514191,,,,,1842756,"Детские товары >> Уход, купание и гигиена",beaba,Набір гребінців для дитячого волосся Beaba Green (920366),,465,1,https://comfy.ua/catalog/product/view/id/2794533,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
982514203,,,,,1842641,Детские товары >> Кормление,beaba,Нагрудник силіконовий Beaba Gray (913490),,679,1,https://comfy.ua/catalog/product/view/id/2794353,,05.11.2025 21:54,,"вул. Соборна, 42",Фастів,0
982514255,6732936,BOSCH,Варочная поверхность BOSCH PUE611BB5E,20999,1837341,Техника для кухни >> Крупная техника,bosch,Варильна поверхня електрична Bosch PUE611BB5E,,20999,1,https://comfy.ua/catalog/product/view/id/2794153,25699,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
982514258,,,,,1842466,Детские товары >> Кормление,beaba,Поїльник-непроливайка дитячий Beaba 2 в 1 210 мл Old Pink (913478),,755,1,https://comfy.ua/catalog/product/view/id/2794413,,05.11.2025 21:29,,"вул. Соборна, 42",Фастів,0
982518173,,,,,1842441,Детские товары >> Кормление,beaba,Набір дитячих столових приборів для малюка Beaba Gray (913470),,520,1,https://comfy.ua/catalog/product/view/id/2794883,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
982518176,,,,,1842520,Детские товары >> Кормление,beaba,Тарілка для малюка Beaba силіконова з підставкою-присоскою Blue (913430),,940,1,https://comfy.ua/catalog/product/view/id/2794783,,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
982518179,,,,,1842483,Детские товары >> Кормление,beaba,Дитяча ложечка Beaba силіконова ергономічна Blue (913381),,390,1,https://comfy.ua/catalog/product/view/id/2794863,,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
982518226,,,,,1842479,Детские товары >> Кормление,beaba,Дитяча ложечка Beaba силіконова ергономічна 2 роки Pink (913425),,390,1,https://comfy.ua/catalog/product/view/id/2794833,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
982518329,,,,,1842477,Детские товары >> Кормление,beaba,Дитяча ложечка Beaba силіконова ергономічна 4+ міс Gray (913463),,390,1,https://comfy.ua/catalog/product/view/id/2794793,,05.11.2025 21:25,,"вул. Соборна, 42",Фастів,0
982518378,,,,,1842632,Детские товары >> Кормление,beaba,Набір дитячих столових приборів для малюка Beaba Blue (913398),,520,1,https://comfy.ua/catalog/product/view/id/2794733,,05.11.2025 21:25,,"вул. Соборна, 42",Фастів,0
982518381,,,,,1842633,Детские товары >> Кормление,beaba,Набір дитячих столових приборів для малюка Beaba Airy Green (913461),,940,1,https://comfy.ua/catalog/product/view/id/2794693,,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
982518382,,,,,1842471,Детские товары >> Кормление,beaba,Поїльник-непроливайка дитячий Beaba Ellipse 3 in 1 Evoluclip Training Cup Airy New (913473),,735,1,https://comfy.ua/catalog/product/view/id/2794853,,05.11.2025 21:39,,"вул. Соборна, 42",Фастів,0
982523590,,,,,1842525,Детские товары >> Кормление,beaba,Тарелка для малыша Beaba силиконовая с подставкой-присоской Pink (913440),,625,1,https://comfy.ua/catalog/product/view/id/2794973,,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
982524287,6616998,UGREEN,Автодержатель UGREEN LP120 Air Vent Mount Phone Holder Gray\Black (UGR-30283),274,.1832344,Смартфоны и телефоны >> Аксессуары для смартфонов,ugreen,Автотримач UGREEN LP120 Gray\Black (30283),,175,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-ugreen-lp120-gray-black-30283.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
982528031,,,,,1842440,Детские товары >> Кормление,beaba,Набір дитячих столових приборів для малюка Beaba nude (913400),,520,1,https://comfy.ua/catalog/product/view/id/2795513,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
982528036,,,,,1842526,Детские товары >> Кормление,beaba,Дитяча ложечка Beaba силіконова ергономічна 4+ міс Pink (913464),,390,1,https://comfy.ua/catalog/product/view/id/2795503,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
982528043,,,,,1842480,Детские товары >> Кормление,beaba,Дитяча ложечка Beaba силіконова ергономічна 2 роки Blue (913426),,390,1,https://comfy.ua/catalog/product/view/id/2795363,,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
982528075,,,,,1842523,Детские товары >> Кормление,beaba,Тарілка для малюка Beaba силіконова з підставкою-присоскою Greу (913433),,625,1,https://comfy.ua/catalog/product/view/id/2795263,,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
982528083,,,,,1842634,Детские товары >> Кормление,beaba,Набір дитячих столових приборів для малюка Beaba Old Pink (913462),,940,1,https://comfy.ua/catalog/product/view/id/2795543,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
982530365,,,,,1842642,Детские товары >> Кормление,beaba,Нагрудник силіконовий Beaba Pink (913491),,679,1,https://comfy.ua/catalog/product/view/id/2795693,,05.11.2025 21:44,,"вул. Соборна, 42",Фастів,0
982530793,,,,,1842643,"Детские товары >> Уход, купание и гигиена",beaba,Ножиці манікюрні дитячі Beaba Green (920360),,419,1,https://comfy.ua/catalog/product/view/id/2795803,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
982530871,,,,,1842757,Детские товары >> Кормление,beaba,Нагрудник силіконовий Beaba Blue (913489),,679,1,https://comfy.ua/catalog/product/view/id/2795733,,05.11.2025 21:44,,"вул. Соборна, 42",Фастів,0
982532910,,,,,.1828458,Техника для дома >> Климатическая техника,wetair,Обігрівач інфрачервоний WetAir WQH-2000W,,699,1,https://comfy.ua/obogrevatel-infrakrasnyj-wetair-wqh-2000w.html,799,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,1
982532911,6996269,HOLMER,Конвектор HOLMER HCH-200W,1449,1842240,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели Holmer,holmer,Конвектор Holmer HCH-200W,,1379,1,https://comfy.ua/konvektor-holmer-hch-200w.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
982533979,6724409,TP-LINK,Wi-Fi роутер TP-LINK Archer AX23,2199,1840256,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет TP-Link",tp-link,Маршрутизатор інтернет WiFi6 TP-Link Archer AX23,,2199,1,https://comfy.ua/marshrutizator-internet-wifi6-tp-link-archer-ax23.html,2499,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,2
982534972,6803527,KERMI,Радиатор KERMI Therm-X2 Profil-V FTV 33 500 х 1200 мм (FTV330501201R2K),19408,1831608,Техника для дома >> Климатическая техника >> Радиаторы отопления >> Радиаторы отопления Kermi,kermi,"Радіатор опалення Kermi Therm-X2, Profil-V, FTV 33, 500X1200 мм (FTV330501201R2K)",,19649,1,https://comfy.ua/radiator-otoplenija-kermi-therm-x2-profil-v-ftv-33-500x1200-mm-ftv330501201r2k.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
982542815,6709201,WETAIR,Осушитель воздуха WETAIR WAD-A10L,6499,1809634,Техника для дома >> Климатическая техника >> Осушители воздуха >> Осушители воздуха WetAir,wetair,Осушувач повітря WetAir WAD-A10L,,6499,1,https://comfy.ua/osushitel-vozduha-wetair-wad-a10l.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,0
982777065,,,,,1840257,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Точки доступа >> Точки доступа TP-Link",tp-link,Точка доступу TP-Link CPE605,,2399,1,https://comfy.ua/tochka-dostupa-tp-link-cpe605.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
982822777,,,,,1842123,Техника для кухни >> Крупная техника,faber,Витяжка вбудована Faber Flexa NG HIP W A60,,4185,1,https://comfy.ua/catalog/product/view/id/2788503,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
982866038,6664105,TESY,Бойлер TESY SimpatEco 80 MT (305571),5918,1835050,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Tesy,tesy,Водонагрівач Tesy SimpatEco 80 MT,,5919,1,https://comfy.ua/vodonagrevatel-tesy-simpateco-80-mt.html,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
982867439,6732799,PHILIPS,Блендер PHILIPS Daily Collection HR2543/90,2499,1837903,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Philips,philips,Блендер заглибний Philips HR2543/90,,2499,1,https://comfy.ua/blender-pogruzhnoj-philips-hr2543-90.html,2999,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
982975152,,,,,1842253,Техника для кухни >> Крупная техника,hansa,Посудомийна машина вбудована Hansa ZIM434.1B,,14999,1,https://comfy.ua/catalog/product/view/id/2799443,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
983051640,6656989,RINGEL,Разделочная доска RINGEL Weizen 25x14.8x0.8cм (RG-5118/1),149,1842590,Посуда >> Нарезка и измельчение >> Разделочные доски >> Разделочные доски Ringel,ringel,Дошка обробна Ringel Weizen 25x14.8x0.8 cм (RG-5118/1),,149,1,https://comfy.ua/razdelochnaja-doska-ringel-weizen-25x14-8x0-8-cm-rg-5118-1.html,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
983051641,6656990,RINGEL,Разделочная доска RINGEL Weizen 35x21x0.8cм (RG-5118/2),314,1842591,Посуда >> Нарезка и измельчение >> Разделочные доски >> Разделочные доски Ringel,ringel,Дошка обробна Ringel Weizen 35x21x0.8 cм (RG-5118/2),,314,1,https://comfy.ua/razdelochnaja-doska-ringel-weizen-35x21x0-8-cm-rg-5118-2.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
983051642,6656991,RINGEL,Разделочная доска Ringel Weizen 40 х 24.5 х 0.8 см (RG-5118/3),359,1842592,Посуда >> Нарезка и измельчение >> Разделочные доски >> Разделочные доски Ringel,ringel,Дошка обробна Ringel Weizen 40x24.5x0.8 cм (RG-5118/3),,359,1,https://comfy.ua/razdelochnaja-doska-ringel-weizen-40x24-5x0-8-cm-rg-5118-3.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
983051772,,,,,1828458,Техника для дома >> Климатическая техника,wetair,Обігрівач інфрачервоний WetAir WQH-2000W,,699,1,https://comfy.ua/catalog/product/view/id/2787203,799,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,1
983051773,,,,,1842240,Техника для дома >> Климатическая техника,holmer,Конвектор Holmer HCH-200W,,1379,1,https://comfy.ua/catalog/product/view/id/2788223,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
983062844,6722631,OSRAM,Светодиодная лампа OSRAM LEDSCLA60D 7W/827 230V FIL E27 10X1OSRAM (4058075115958),142,1830955,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LEDSCLA60D 7W/827 230V FIL E27 10X1OSRAM (4058075115958),,145,1,https://comfy.ua/lampochka-svetodiodnaja-osram-ledscla60d-7w-827-230v-fil-e27-10x1osram-4058075115958.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
983285120,6656963,RINGEL IQ,Шумовка RINGEL IQ Be Smart 34.2см (IQ-5003/6),306,1842058,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Ringel,ringel,Шумовка Ringel IQ Be Smart (IQ-5003/6),,329,1,https://comfy.ua/shumovka-ringel-iq-be-smart-iq-5003-6.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
983285200,,,,,1840254,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Точки доступа >> Точки доступа TP-Link",tp-link,Підсилювач бездротового сигнала TP-Link RE230,,1299,1,https://comfy.ua/usilitel-besprovodnogo-signala-tp-link-re230.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
983294414,,,,,.1842022,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",vertux,Хаб USB Vertux zulu.black,,999,1,https://comfy.ua/hab-usb-vertux-zulu-black.html,1199,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
983296616,6732936,BOSCH,Варочная поверхность BOSCH PUE611BB5E,20999,1837341,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Bosch,bosch,Варильна поверхня електрична Bosch PUE611BB5E,,20999,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-bosch-pue611bb5e.html,25699,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
983398550,7088284,JOSEPH JOSEPH,Дозатор для мыла JOSEPH JOSEPH Presto Steel Grey (85164),1835,1834530,Бытовая химия >> Для ванной комнаты >> Мыльницы и дозаторы для мыла >> Мыльницы и дозаторы для мыла Joseph Joseph,joseph-joseph,Дозатор для мила Joseph Joseph 85164,,1555,1,https://comfy.ua/dozator-dlja-myla-joseph-joseph-85164.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
983399293,,,,,.1839832,Смарт-часы и гаджеты >> Аксессуары,xoko,Ремінець для фітнес-браслету XOKO Metal Premium Band for Xiaomi Mi Band 5/6 Heart Black (XK-MTL5-HRT-BK),,379,1,https://comfy.ua/remeshok-dlja-fitnes-brasleta-xoko-metal-premium-band-for-xiaomi-mi-band-5-6-heart-black-xk-mtl5-hrt-bk.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
983953015,6726571,STARK,Органайзер STARK SmartBox 100003008,129,1840069,Инструменты и автотовары >> Расходные материалы >> Ящики для инструментов >> Ящики для инструментов Stark,stark,Ящик для інструментів Stark SmartBox 180x303x50 мм (100003008),,129,1,https://comfy.ua/jaschik-dlja-instrumentov-stark-smartbox-180x303x50-mm-100003008.html,,05.11.2025 22:05,,"вул. Соборна, 42",Фастів,0
983953016,6726565,STARK,"""Ящик для инструментов STARK Magnum 16"""" (100005016)""",432,1840080,Инструменты и автотовары >> Расходные материалы >> Ящики для инструментов >> Ящики для инструментов Stark,stark,Ящик для інструментів Stark Magnum 16'' 409x227x190 мм (100005016),,435,1,https://comfy.ua/jaschik-dlja-instrumentov-stark-magnum-16-409x227x190-mm-100005016.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
984513573,6721981,SENCOR,Вспениватель молока SENCOR SMF 1010BK,479,1841665,Техника для кухни >> Мир кофе >> Капучинаторы >> Капучинаторы Sencor,sencor,Модуль для збивання молока Sencor SMF 1010BK,,479,1,https://comfy.ua/modul-dlja-vzbivanija-moloka-sencor-smf-1010bk.html,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
985188065,6929546,JURA,Кофемашина JURA Z10 Aluminium White (EA),129989,1842548,Техника для кухни >> Мир кофе >> Кофемашины >> Кофемашины Jura,jura,Кавомашина Jura Z10 Aluminium White (EA),,129989,1,https://comfy.ua/kofemashina-jura-z10-aluminium-white-ea.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
985362298,,,,,1834815,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Вешалки и чехлы для одежды >> Вешалки и чехлы для одежды Handy Home",handy-home,Чохол для одягу Handy Home Мишка 60х100 см (UC-101),,145,1,https://comfy.ua/chehol-dlja-odezhdy-handy-home-mishka-60h100-sm-uc-101.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
