986966643,column,column,column,column,1774207,Техника для кухни >> Мелкая техника,smeg,__smeg_klf03chmeu,column,9549,1,httpscomfyuajelektricheskijchajniksmegklf03chmeuhtml,column,05112025_1808,column,__42,Фастів,0
986966643,,,,,1774207,Техника для кухни >> Мелкая техника,smeg,Електричний чайник Smeg KLF03CHMEU,,9549,1,https://comfy.ua/jelektricheskij-chajnik-smeg-klf03chmeu.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
986966658,,,,,1842440,Детские товары >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Beaba,beaba,Набір дитячих столових приборів для малюка Beaba nude (913400),,520,1,https://comfy.ua/nabor-detskih-stolovyh-priborov-dlja-malysha-beaba-nude-913400.html,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
986966854,,,,,1842520,Детские товары >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Beaba,beaba,Тарілка для малюка Beaba силіконова з підставкою-присоскою Blue (913430),,940,1,https://comfy.ua/tarelka-dlja-malysha-beaba-silikonovaja-s-podstavkoj-prisoskoj-blue-913430.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
986966986,,,,,1842526,Детские товары >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Beaba,beaba,Дитяча ложечка Beaba силіконова ергономічна 4+ міс Pink (913464),,390,1,https://comfy.ua/detskaja-lozhechka-beaba-silikonovaja-jergonomicheskaja-4-mes-pink-913464.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
986967130,,,,,1842465,Детские товары >> Кормление >> Поильники >> Поильники Beaba,beaba,Поїльник-непроливайка дитячий Beaba 2 в 1 210 мл Windy Blue (913477),,835,1,https://comfy.ua/poil-nik-neprolivajka-detskij-beaba-2-v-1-210-ml-windy-blue-913477.html,,05.11.2025 21:29,,"вул. Соборна, 42",Фастів,0
986985362,,,,,1840254,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",tp-link,Підсилювач бездротового сигнала TP-Link RE230,,1299,1,https://comfy.ua/catalog/product/view/id/2794313,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
987015078,6740839,ARDESTO,Банка ARDESTO Fresh 1000 мл (AR1310BLS),223,1834782,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Ardesto,ardesto,Ємність для сипучих Ardesto Fresh 1000 мл (AR1310BLS),,255,1,https://comfy.ua/emkost-dlja-sypuchih-ardesto-fresh-1000-ml-ar1310bls.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
987015305,6740840,ARDESTO,Банка ARDESTO Fresh 1300 мл (AR1313BLS),244,1834785,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Ardesto,ardesto,Ємність для сипучих Ardesto Fresh 1300 мл (AR1313BLS),,295,1,https://comfy.ua/emkost-dlja-sypuchih-ardesto-fresh-1300-ml-ar1313bls.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
987015342,6740841,ARDESTO,Банка ARDESTO Fresh 480 мл (AR1348BLS),181,1834786,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Ardesto,ardesto,Ємність для сипучих Ardesto Fresh 480 мл (AR1348BLS),,209,1,https://comfy.ua/emkost-dlja-sypuchih-ardesto-fresh-480-ml-ar1348bls.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
987015348,,,,,1834788,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Ardesto,ardesto,Ємність для сипучих Ardesto Fresh 700 мл (AR1370BLS),,229,1,https://comfy.ua/emkost-dlja-sypuchih-ardesto-fresh-700-ml-ar1370bls.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
987015555,6740846,ARDESTO,Банка ARDESTO Fresh 1000 мл (AR1310BLR),189,1834781,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Ardesto,ardesto,Ємність для сипучих Ardesto Fresh 1000 мл (AR1310BLR),,189,1,https://comfy.ua/emkost-dlja-sypuchih-ardesto-fresh-1000-ml-ar1310blr.html,269,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
