987486663,column,column,column,column,1844969,Детские товары >> Детская комната и безопасность,handyhome,____handy_home__48x30x30__ch16,column,485,1,httpscomfyuakorobkadljahranenijadetskajahandyhomekrokodil48x30x30smch16html,column,05112025_2035,column,__42,Фастів,0
987486663,,,,,.1844969,Детские товары >> Детская комната и безопасность,handy-home,Коробка для зберігання дитяча Handy Home Крокодил 48x30x30 см (CH16),,485,1,https://comfy.ua/korobka-dlja-hranenija-detskaja-handy-home-krokodil-48x30x30-sm-ch16.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
987486669,6986000,BOSCH,Пылесос BOSCH GAS 18V-10 L без АКБ и ЗУ (0.601.9C6.302),8430,1845192,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Bosch,bosch,Пилосос для сухого прибирання без мішка Bosch GAS 18V-10 L без АКБ та ЗП (0.601.9C6.302),,8429,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-bosch-gas-18v-10-l-bez-akb-i-zu-0-601-9c6-302.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
987486677,6722041,MIDEA,Бойлер MIDEA D80-15F6(D),6499,1834491,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Midea,midea,Водонагрівач Midea D80-15F6(D),,6499,1,https://comfy.ua/vodonagrevatel-midea-d80-15f6-d.html,,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
987486682,6722042,MIDEA,Бойлер MIDEA D80-15F6(W),5299,1834490,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Midea,midea,Водонагрівач Midea D80-15F6(W),,5199,1,https://comfy.ua/vodonagrevatel-midea-d80-15f6-w.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
987486683,,,,,1842617,Детские товары >> Детская комната и безопасность >> Ночники и светильники детские >> Ночники и светильники детские Beaba,beaba,Нічник Beaba Torch Blue (930300),,2339,1,https://comfy.ua/nochnik-beaba-torch-blue-930300.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
987486688,6722038,MIDEA,Бойлер MIDEA D50-15F6(W),4699,1834489,Техника для дома >> Крупная техника >> Водонагреватели >> Водонагреватели Midea,midea,Водонагрівач Midea D50-15F6(W),,4599,1,https://comfy.ua/vodonagrevatel-midea-d50-15f6-w.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
987486689,,,,,1842616,Детские товары >> Детская комната и безопасность >> Ночники и светильники детские >> Ночники и светильники детские Beaba,beaba,Нічник Beaba Torch Rose (930299),,2339,1,https://comfy.ua/nochnik-beaba-torch-rose-930299.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
987486701,,,,,1844967,Детские товары >> Детская комната и безопасность >> Мебель и хранение для детской комнаты >> Мебель и хранение для детской комнаты Handy Home,handy-home,Коробка для зберігання дитяча Handy Home Крокодил 38x26x26 см (CH14),,419,1,https://comfy.ua/korobka-dlja-hranenija-detskaja-handy-home-krokodil-38x26x26-sm-ch14.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
987486704,6742367,BOSCH,Микроволновая печь BOSCH FEL023MS1,6799,1832496,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Bosch,bosch,Мікрохвильова піч (НВЧ) Bosch FEL023MS1,,6799,1,https://comfy.ua/mikrovolnovaja-pech-svch-bosch-fel023ms1.html,7649,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
987486709,,,,,1844970,Детские товары >> Детская комната и безопасность >> Мебель и хранение для детской комнаты >> Мебель и хранение для детской комнаты Handy Home,handy-home,Коробка для зберігання дитяча Handy Home Ведмедик 30х40х25 см (UC-102),,299,1,https://comfy.ua/korobka-dlja-hranenija-detskaja-handy-home-mishka-30h40h25-sm-uc-102.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
987516454,,,,,1845788,Детские товары >> Детская комната и безопасность,red-castle,Ковдра для Cocoonababy зима Red Castle White утеплене (0449166),,2339,1,https://comfy.ua/catalog/product/view/id/2829233,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
987649842,,,,,1845462,Детские товары >> Детская комната и безопасность,handy-home,Органайзер для зберігання дитячий Handy Home Ведмежатко на 7 відділень 40х60 см (UC-105),,169,1,https://comfy.ua/catalog/product/view/id/2832613,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
