991941734,6860258,arrtx,__arrtx_oros_asm03pl_24____lc302505,1039,1848641,______________arrtx,arrtx,__arrtx_oros_asm03pl_24____lc302505,column,1169,1,httpscomfyuanabormarkerovarrtxorosasm03pl24cvetafioletovyeottenkihtml,1299,05112025_2039,column,__42,Фастів,0
991941734,6860258,ARRTX,Спиртовые маркеры ARRTX Oros ASM-03PL 24 цвета Фиолетовые оттенки (LC302505),1039,1848641,Детские товары >> Творчество и развитие >> Все для рисования >> Все для рисования Arrtx,arrtx,"Набір маркерів Arrtx Oros ASM-03PL 24 кольори, фіолетові відтінки (LC302505)",,1169,1,https://comfy.ua/nabor-markerov-arrtx-oros-asm-03pl-24-cveta-fioletovye-ottenki.html,1299,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
991941736,6860264,ARRTX,Спиртовые маркеры ARRTX Oros ASM-03YL 40 цветов Желтые оттенки (LC302499),1839,1848640,Детские товары >> Творчество и развитие >> Все для рисования >> Все для рисования Arrtx,arrtx,"Набір маркерів Arrtx Oros ASM-03YL 40 кольорів, жовті відтінки (LC302499)",,2069,1,https://comfy.ua/nabor-markerov-arrtx-oros-asm-03yl-40-cvetov-zheltye-ottenki.html,2299,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
991941738,,,,,1848638,Comfy KIDS >> Творчество и развитие >> Все для рисования >> Все для рисования Arrtx,arrtx,Набір маркерів Arrtx Alp ASM-0290B 90 кольорів,,3599,1,https://comfy.ua/nabor-markerov-arrtx-alp-asm-0290b-90-cvetov.html,3999,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
991941739,6702979,ADLER,Блендер ADLER AD 4078,1669,1848649,Техника для кухни >> Мелкая техника,adler,Блендер стаціонарний Adler AD 4078,,3015,1,https://comfy.ua/blender-stacionarnyj-adler-ad-4078.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
991941747,6868569,HANSA,Плита комбинированная HANSA FCMX58290,18899,1848734,Техника для кухни >> Крупная техника >> Плиты >> Плиты Hansa,hansa,Плита газова Hansa FCMX58290,,18899,1,https://comfy.ua/plita-gazovaja-hansa-fcmx58290.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
991941751,6892165,HANSA,Варочная поверхность HANSA BHGI 631542,7799,1848735,Техника для кухни >> Крупная техника,hansa,Варильна поверхня газова Hansa BHGI631542,,7799,1,https://comfy.ua/varochnaja-panel-gazovaja-hansa-bhgi631542.html,9199,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
991941753,,,,,.1846472,Техника для кухни >> Крупная техника,miele,Духова шафа електрична Miele H 7260 BP CleanSteel,,100499,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-miele-h-7260-bp.html,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
992143280,6732793,PHILIPS,Фен PHILIPS BHD530/00 серии 5000,2699,1843409,Красота и здоровье >> Уход за волосами >> Фены >> Фены Philips,philips,Фен Philips BHD530/00,,2699,1,https://comfy.ua/fen-philips-bhd530-00.html,3199,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,2
992262494,,,,,1848421,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Epson",epson,Чорнило Epson L8160/L8180 Grey (C13T07D54A),,765,1,https://comfy.ua/chernila-epson-l8160-l8180-grey-c13t07d54a.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
992262495,,,,,1848420,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Картриджи, чернила, тонеры >> Картриджи, чернила, тонеры Epson",epson,Чорнило Epson L8160/L8180 Yellow (C13T07D44A),,765,1,https://comfy.ua/chernila-epson-l8160-l8180-yellow-c13t07d44a.html,,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
