993778870,6681330,bic,__bic_flex_4_comfort_3__3086123220614,249,1753952,___________________bic,bic,___bic_flex_4_comfort_3__3086123220614,column,255,1,httpscomfyuastanokmuzhskojodnorazovyjbicflex4comfort3sht3086123220614html,column,05112025_1839,column,__42,Фастів,0
993778870,6681330,BIC,Бритвы одноразовые BIC Flex 4 Comfort 3 шт (3086123220614),249,1753952,Красота и здоровье >> Средства для бритья >> Станки и картриджи для бритья >> Станки и картриджи для бритья BIC,bic,Станок чоловічий одноразовий BIC Flex 4 Comfort 3 шт. (3086123220614),,255,1,https://comfy.ua/stanok-muzhskoj-odnorazovyj-bic-flex-4-comfort-3-sht-3086123220614.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
993778872,6681334,BIC,Бритва BIC Flex 3 Hibrid Sensitive с 4 сменными картриджами (3086123644977),344,1808068,Красота и здоровье >> Средства для бритья,bic,Станок чоловічий BIC Flex 3 Hibrid Sensitive с 4 сменными картриджами (3086123644977),,345,1,https://comfy.ua/stanok-muzhskoj-bic-flex-3-hibrid-sensitive-s-4-smennymi-kartridzhami-3086123644977.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
993778874,6681337,BIC,Бритва BIC Flex 5 Hibrid с 2 сменными картриджами (3086123644922),296,1808071,Красота и здоровье >> Средства для бритья,bic,Станок чоловічий BIC Flex 5 Hibrid с 2 сменными картриджами (?3086123644922),,369,1,https://comfy.ua/stanok-muzhskoj-bic-flex-5-hibrid-s-2-smennymi-kartridzhami-3086123644922.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
993778876,6878052,BIC,Бритвы одноразовые BIC Soleil Bella 3 + 1 шт. (3086123220546),216,1807607,Красота и здоровье >> Средства для бритья,bic,Станок жіночий одноразовий BIC Soleil Bella 3+1 шт. (?3086123220546),,265,1,https://comfy.ua/stanok-zhenskij-odnorazovyj-bic-soleil-bella-3-1-sht-3086123220546.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
993778878,6448070,VENUS,Бритва VENUS Smooth c 2 сменными картриджами (3014260262693),401,1815630,Красота и здоровье >> Средства для бритья >> Станки и картриджи для бритья >> Станки и картриджи для бритья Venus,venus,Станок жіночий Venus + 2 змінних картриджа (3014260262693),,287,1,https://comfy.ua/stanok-zhenskij-venus-2-smennyh-kartridzha-3014260262693.html,455,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
993778881,6448061,GILLETTE,Бритва GILLETTE MACH3 Start c 3 сменными кассетами (7702018464005),390,1762190,Красота и здоровье >> Средства для бритья >> Станки и картриджи для бритья >> Станки и картриджи для бритья Gillette,gillette,Станок чоловічий Gillette Mach3 Start с Ручкой Aqua-Grip с тремя сменными насадками (7702018464005),,419,1,https://comfy.ua/stanok-muzhskoj-gillette-mach3-start-s-ruchkoj-aqua-grip-s-tremja-smennymi-nasadkami-7702018464005.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
993778968,6710417,MELICA ORGANIC,Увлажняющее молочко Melica Organic с экстрактом кофе 200 мл (4770416001071),240,1810448,Красота и здоровье >> Косметика для тела >> Кремы и лосьоны для тела >> Кремы и лосьоны для тела Melica,melica,Лосьйон для тіла Melica Organic зволожуючий з екстрактом кави 200 мл (4770416001071),,239,1,https://comfy.ua/los-on-dlja-tela-melica-organic-uvlazhnjajuschij-s-jekstraktom-kofe-200-ml-4770416001071.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
993778972,6710418,MELICA ORGANIC,Косметическое молочко MELICA ORGANIC с DrenalipTM для упругости кожи 200 мл (4770416001064),240,1810449,Красота и здоровье >> Косметика для тела >> Кремы и лосьоны для тела >> Кремы и лосьоны для тела Melica,melica,Лосьйон для тіла Melica Organic для пружності шкіри 200 мл (4770416001064),,195,1,https://comfy.ua/los-on-dlja-tela-melica-organic-dlja-uprugosti-kozhi-200-ml-4770416001064.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
993779289,6681319,BIC,Бритва BIC Flex 5 Dispo 3 шт (3086123492868),387,1752664,Красота и здоровье >> Средства для бритья,bic,Станок чоловічий одноразовий BIC Flex 5 Dispo 3 шт. (3086123492868),,389,1,https://comfy.ua/stanok-muzhskoj-odnorazovyj-bic-flex-5-dispo-3-sht-3086123492868.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
993779301,,,,,1831549,Красота и здоровье >> Средства для бритья,gillette,Станок чоловічий Gillette FUSION ProGlide Styler Стайлер + 1 картр.Power + 3 Нас д / моделірован.бороди / вусів,,1029,1,https://comfy.ua/stanok-muzhskoj-gillette-fusion-proglide-styler-stajler-1-kartr-power-3-nas-d-modelirovan-borody-usov.html,1479,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
993779311,6878043,BIC,Бритвы одноразовые BIC Metal 10 шт (3086126636481),119,1750377,Красота и здоровье >> Средства для бритья >> Станки и картриджи для бритья >> Станки и картриджи для бритья BIC,bic,Станок чоловічий одноразовий BIC Metal 10 шт. (3086126636481),,135,1,https://comfy.ua/stanok-muzhskoj-odnorazovyj-bic-metal-10-sht-3086126636481.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
993779313,6681320,BIC,Набор бритв BIC Sensitive 3 8 шт (3086126692586),205,1750375,Красота и здоровье >> Средства для бритья,bic,Станок чоловічий одноразовий BIC Sensitive 3 8 шт. (3086126692586),,209,1,https://comfy.ua/stanok-muzhskoj-odnorazovyj-bic-sensitive-3-8-sht-3086126692586.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
993779317,,,,,1754810,Красота и здоровье >> Средства для бритья >> Станки и картриджи для бритья >> Станки и картриджи для бритья Gillette,gillette,Станок чоловічий Gillette Fusion ProGlide Flexball с 2 сменными кассетами (7702018388677),,899,1,https://comfy.ua/stanok-muzhskoj-gillette-fusion-proglide-flexball-s-2-smennymi-kassetami-7702018388677.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
993780606,,,,,1847954,Красота и здоровье >> Уход за волосами,adler,Плойка Adler AD 2112,,439,1,https://comfy.ua/plojka-adler-ad-2112.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
993781233,,,,,1831427,Красота и здоровье >> Средства для бритья,gillette,Гель для гоління Gillette SATIN CARE д /чутлива шкіра Жінки. 200мл,,199,1,https://comfy.ua/gel-dlja-brit-ja-gillette-satin-care-d-chuvstvit-kozhi-zhen-200ml.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
993781241,6792773,ERSTECH,Весы напольные ERSTECH ЕFS-1802 Flowers,420,1847870,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные Erstech,erstech,Ваги підлогові Erstech ЕFS-1802 Flowerstm,,499,1,https://comfy.ua/vesy-napol-nye-erstech-efs-1802-flowerstm.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
993781282,6987470,WUESTHOF,Щипцы для рыбьих костей WUESTHOF 18 см (9049900701),3229,1835052,Посуда >> Кухонные аксессуары >> Посуда для мяса и рыбы >> Посуда для мяса и рыбы Wuesthof,wuesthof,Щипці кухонні Wuesthof для рибних кісток 18 см 9049900701,,3589,1,https://comfy.ua/schipcy-kuhonnye-wuesthof-dlja-rybnyh-kostej-18-sm-9049900701.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
993781307,,,,,1845476,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Корзины для хранения >> Корзины для хранения Handy Home",handy-home,Короб для зберігання Handy Home Zigzag 30x40x25 см (ZSH-05),,439,1,https://comfy.ua/korob-dlja-hranenija-handy-home-zigzag-30x40x25-sm-zsh-05.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
993781309,,,,,1844828,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Корзины для хранения >> Корзины для хранения Handy Home",handy-home,Корзина для зберігання Handy Home Хмарка 45х45х50 см (UC-132),,315,1,https://comfy.ua/korzina-dlja-hranenija-handy-home-oblachko-45h45h50-sm-uc-132.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
993781311,,,,,1845492,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Корзины для хранения >> Корзины для хранения Handy Home",handy-home,Короб для зберігання Handy Home 33x23x22 см (EH-02L),,349,1,https://comfy.ua/korob-dlja-hranenija-handy-home-33x23x22-sm-eh-02l.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
993781312,,,,,1845488,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Корзины для хранения >> Корзины для хранения Handy Home",handy-home,Короб для зберігання Handy Home 33x23x22 см (EH-01L),,349,1,https://comfy.ua/korob-dlja-hranenija-handy-home-33x23x22-sm-eh-01l.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
993781336,,,,,1845497,"Дом, отдых и зоотовары >> Хранение и уход за одеждой >> Корзины для хранения >> Корзины для хранения Handy Home",handy-home,Короб для зберігання Handy Home 50x30x20 см (ESH30),,405,1,https://comfy.ua/korob-dlja-hranenija-handy-home-50x30x20-sm-esh30.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
993781341,,,,,1844842,"Дом, отдых и зоотовары >> Хранение и уход за одеждой",natural-house,Корзина для зберігання Natural House 26х26х14 см (NEW-11),,325,1,https://comfy.ua/korzina-dlja-hranenija-natural-house-26h26h14-sm-new-11.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
993781348,,,,,1846119,"Дом, отдых и зоотовары >> Хранение и уход за одеждой",handy-home,Короб для зберігання Handy Home 25х25х18 см (FB-23),,289,1,https://comfy.ua/korob-dlja-hranenija-handy-home-25h25h18-sm-fb-23.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
993781355,6732719,PHILIPS,Фен PHILIPS BHD512/00 серии 5000,2299,1843407,Красота и здоровье >> Уход за волосами >> Фены >> Фены Philips,philips,Фен Philips BHD512/00,,2299,1,https://comfy.ua/fen-philips-bhd512-00.html,2699,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
