993784477,column,column,column,column,1829118,____________lemax,lemax,__lemax_____le5013_de,column,1419,1,httpscomfyuamojkakuhonnajalemaxnerzhstaldekorsifonle5013dehtml,column,05112025_2027,column,__42,Фастів,0
993784477,,,,,1829118,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Lemax",lemax,Мийка кухонна Lemax нерж. сталь декор +сифон (LE-5013 DE),,1419,1,https://comfy.ua/mojka-kuhonnaja-lemax-nerzh-stal-dekor-sifon-le-5013-de.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
993784541,,,,,1844347,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Ardesto,ardesto,Ємність для сипучих Ardesto 510 мл (AR1351BLC),,269,1,https://comfy.ua/emkost-dlja-sypuchih-ardesto-510-ml-ar1351blc.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
993784546,6740844,ARDESTO,Банка ARDESTO Fresh 740 мл (AR1374BLC),239,1844348,Посуда >> Для хранения >> Емкости для сыпучих >> Емкости для сыпучих Ardesto,ardesto,Ємність для сипучих Ardesto 740 мл (AR1374BLC),,239,1,https://comfy.ua/emkost-dlja-sypuchih-ardesto-740-ml-ar1374blc.html,345,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
993785870,6602482,ПУПСІК,Стиральный порошок с первых дней жизни Пупсик 2.4 кг (4820049381948),144,1842257,Бытовая химия >> Средства для стирки >> Стиральные порошки >> Стиральные порошки Пупсік,pupsik,Пральний порошок Пупсік 2.4 кг (4820049381948),,128,1,https://comfy.ua/stiral-nyj-poroshok-pupsik-2-4-kg-4820049381948.html,170,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
993785877,,,,,1824810,"Дом, отдых и зоотовары >> Освещение",maxus,Настільна лампа Maxus DL 13W 4100K WH Wireless charger (1-MDL-13W-WHQi),,1399,1,https://comfy.ua/catalog/product/view/id/2802893,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
993786108,,,,,1751707,Красота и здоровье >> Косметика для тела,lion,Рідке мило для рук Lion Ai kekute Мускат 250 мл (8806325608134),,299,1,https://comfy.ua/zhidkoe-mylo-dlja-ruk-lion-ai-kekute-muskat-250-ml-8806325608134.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
993786994,,,,,1770107,Бытовая химия >> Для кухни и мытья посуды,frosch,Засіб для ручного миття посуду Frosch Бальзам-концентрат Алое Вера 500 мл,,99,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-frosch-bal-zam-koncentrat-a-loje-vera-500-ml.html,154,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
993786995,6635805,BOSCH,Степлер BOSCH HT 14 4-14 мм (0.603.038.001),1318,1612412,Инструменты и автотовары >> Ручные инструменты >> Степлеры >> Степлеры Bosch,bosch,Степлер Bosch HT 14 4-14 мм (0.603.038.001),,1319,1,https://comfy.ua/stepler-bosch-ht-14-4-14-mm-0-603-038-001.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
993788674,,,,,.1836732,Бытовая химия >> Для кухни и мытья посуды,mukungwha,"Засіб для ручного миття посуду Mukungwha Харчова сода 1,2л",,299,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-mukungwha-pischevaja-soda-1-2l.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
993788682,,,,,1803347,Бытовая химия >> Для кухни и мытья посуды >> Средства для мытья посуды >> Средства для мытья посуды Sonett,sonett,Засіб для ручного миття посуду Sonett Концентрат Нейтральная серия 10 л (GB3079),,2078,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-sonett-koncentrat-nejtral-naja-serija-10-l-gb3079.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
993788740,,,,,1835263,Посуда >> Для напитков,limited-edition,Чашка Limited Edition Bird 550 мл с блюдцем 17.8 см (YF6009),,299,1,https://comfy.ua/chashka-limited-edition-bird-50-ml-s-bljudcem-17-8-sm-yf6009.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
993790487,,,,,1754552,Красота и здоровье >> Косметика для волос,lg-household-health,Шампунь жіночий LG Household & Health ReEn Baekdan для блеска волос 500 мл (8801051154542),,499,1,https://comfy.ua/shampun-zhenskij-lg-household-health-reen-baekdan-dlja-bleska-volos-500-ml-8801051154542.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
993794180,,,,,1836762,Бытовая химия >> Средства для стирки,mukungwha,Мило господарське Mukungwha д/всех видов белья 230г,,99,1,https://comfy.ua/mylo-hozjajstvennoe-mukungwha-d-vseh-vidov-bel-ja-230g.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
993794181,,,,,.1836775,Бытовая химия >> Средства для стирки,mukungwha,Мило господарське Mukungwha с эффетком отбеливания 230г,,99,1,https://comfy.ua/mylo-hozjajstvennoe-mukungwha-s-jeffetkom-otbelivanija-230g.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
993794182,,,,,1836763,Бытовая химия >> Средства для стирки,mukungwha,Мило господарське Mukungwha д/светлой одежды 230г,,99,1,https://comfy.ua/mylo-hozjajstvennoe-mukungwha-d-svetloj-odezhdy-230g.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
993794997,,,,,1836746,Бытовая химия >> Средства для стирки,mukungwha,"Ополіскувач для білизни Mukungwha Арома Віу Лаванда 2,1л",,269,1,https://comfy.ua/opolaskivatel-dlja-bel-ja-mukungwha-aroma-viu-lavanda-2-1l.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
993952059,,,,,1849435,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Xiaomi,xiaomi,Бритва Xiaomi MSN M3 Electric Shaver,,1899,1,https://comfy.ua/britva-xiaomi-msn-m3-electric-shaver.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
994036798,,,,,1844201,Техника для кухни >> Крупная техника,interlux,Морозильна скриня INTERLUX IL-0200CF,,7199,1,https://comfy.ua/morozil-nyj-lar-interlux-il-0200cf.html,10299,05.11.2025 17:20,,"вул. Соборна, 42",Фастів,1
994036799,7005966,INTERLUX,Морозильный ларь INTERLUX IL-0150CF,6199,1842290,Техника для кухни >> Крупная техника,interlux,Морозильна скриня INTERLUX IL-0150CF,,5899,1,https://comfy.ua/morozil-nyj-lar-interlux-il-0150cf.html,6999,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,0
994036805,7005968,INTERLUX,Морозильный ларь INTERLUX IL-0300CF,10777,1844203,Техника для кухни >> Крупная техника,interlux,Морозильна скриня INTERLUX IL-0300CF,,10999,1,https://comfy.ua/morozil-nyj-lar-interlux-il-0300cf.html,12999,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
994036853,,,,,1663745,Техника для кухни >> Хранение продуктов,wmf,"Вакууматор WMF LONO, 419070011",,4999,1,https://comfy.ua/vakuumator-wmf-lono-419070011.html,8999,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
994037373,,,,,1778348,Телевизоры и мультимедиа >> Установка и подключение техники,inshi,Додатковий виїзд майстра,,749,1,https://comfy.ua/dodatkovij-viizd-majstra.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
994037374,,,,,1538421,"Сервисы, подписки и софт >> Профилактика и чистка техники",comfy,Профілактика холодильника,,799,1,https://comfy.ua/profilaktika-holodil-nika.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
994037375,,,,,1761657,Техника для кухни >> Установка и подключение техники,inshi,Встановлення холодильника,,1399,1,https://comfy.ua/vstanovlennja-holodil-nika-standart.html,,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
994037376,,,,,1538419,"Сервисы, подписки и софт >> Профилактика и чистка техники",comfy,Профілактика кавомашини,,1099,1,https://comfy.ua/profilaktika-kofemashiny.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
