996493848,column,column,column,column,1852084,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",maxxter,_hdmi_maxxter_hdmi_v20_4_601_m_vphdmi1m,column,89,1,httpscomfyuakabelhdmimaxxterhdmiv204k60gc1mvphdmi1mhtml,column,05112025_2113,column,__42,Фастів,0
996493848,,,,,1852084,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",maxxter,"Кабель HDMI Maxxter HDMI V.2.0, 4К 60Гц,1 m (VP-HDMI-1M)",,89,1,https://comfy.ua/kabel-hdmi-maxxter-hdmi-v-2-0-4k-60gc-1-m-vp-hdmi-1m.html,,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
996519913,6766484,EMOS,Удлинитель EMOS 5 розеток 1.5м 16А 3x1.5мм2 Black (PC1521R),316,1849400,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Сетевые фильтры и удлинители >> Сетевые фильтры и удлинители EMOS",emos,"Подовжувач 220В EMOS PC1521R, 5 розетки, 1,5 м.",,355,1,https://comfy.ua/setevoj-fil-tr-emos-pc1521r.html,,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
996580601,,,,,1852447,Comfy KIDS >> Детский транспорт >> Ролики >> Ролики Neon,neon,Ролики Neon Inline Skates Turquoise (NT08T4),,1999,1,https://comfy.ua/roliki-neon-inline-skates-turquoise-nt08t4.html,2499,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
996581079,,,,,1852449,Детские товары >> Детский транспорт >> Ролики >> Ролики Neon,neon,Ролики Neon Combo Skates Green (NT09G4),,2699,1,https://comfy.ua/roliki-neon-combo-skates-green-nt09g4.html,3399,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
996582082,,,,,1852451,Comfy KIDS >> Детский транспорт >> Ролики >> Ролики Neon,neon,Ролики Neon Combo Skates Turquoise (NT09T4),,2699,1,https://comfy.ua/roliki-neon-combo-skates-turquoise-nt09t4.html,3399,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
996582356,6738834,PHILIPS,Электрочайник PHILIPS Daily Collection HD9350/90,1779,1851933,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Philips,philips,Електричний чайник Philips HD9350/90,,2099,1,https://comfy.ua/jelektricheskij-chajnik-philips-hd9350-90.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,2
996582797,,,,,1852444,Comfy KIDS >> Детский транспорт >> Ролики >> Ролики Neon,neon,Ролики Neon Inline Skates Turquoise (NT07T4),,1999,1,https://comfy.ua/roliki-neon-inline-skates-turquoise-nt07t4.html,2499,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
996583032,,,,,1852443,Comfy KIDS >> Детский транспорт >> Ролики >> Ролики Neon,neon,Ролики Neon Inline Skates Pink (NT07P4),,1899,1,https://comfy.ua/roliki-neon-inline-skates-pink-nt07p4.html,,05.11.2025 20:44,,"вул. Соборна, 42",Фастів,0
996583397,,,,,1852454,Comfy KIDS >> Детский транспорт >> Ролики >> Ролики Neon,neon,Ролики Neon Combo Skates Pink (NT10P4),,2699,1,https://comfy.ua/roliki-neon-combo-skates-pink-nt10p4.html,3399,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
996583446,,,,,1852445,Comfy KIDS >> Детский транспорт >> Ролики >> Ролики Neon,neon,Ролики Neon Inline Skates Pink (NT08P4),,1899,1,https://comfy.ua/roliki-neon-inline-skates-pink-nt08p4.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
997163891,,,,,1852093,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Maxxter",maxxter,Миша дротова Maxxter MС-3B01,,99,1,https://comfy.ua/mysh-provodnaja-maxxter-ms-3b01.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
997207711,6805885,TEFAL,Нож универсальный TEFAL FRESH KITCHEN 2 12см + чехол (K1220704),379,1848458,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tefal,tefal,Ніж кухонний Tefal К1220704 Fresh Kitchen 12 см+чохол,,379,1,https://comfy.ua/nozh-kuhonnyj-tefal-k1220704-fresh-kitchen-12-sm-chehol.html,499,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,2
997209551,6704570,MOONY,Подгузники-трусики MOONY L 9-14 кг 44 шт (4903111206438),1250,1852969,Детские товары >> Подгузники и пеленание,moony,Одноразові підгузки-трусики Moony Girls L 9-14 кг 44 шт. (4903111206438),,1389,1,https://comfy.ua/catalog/product/view/id/2901233,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
997212186,6704569,MOONY,Подгузники-трусики MOONY L 9-14 кг 44 шт (4903111206155),1250,1852967,Детские товары >> Подгузники и пеленание,moony,Одноразові підгузки-трусики Moony Boys L 9-14 кг 44 шт. (4903111206155),,1389,1,https://comfy.ua/catalog/product/view/id/2901193,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
998293980,,,,,.1817930,Техника для дома >> Климатическая техника,mitsubishi-electric,Кондиціонер спліт Mitsubishi Electric MSZ-EF42VGKW\MUZ-EF42VG,,79685,1,https://comfy.ua/kondicioner-split-mitsubishi-electric-msz-ef42vgkw-muz-ef42vg.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
998293997,,,,,.1851529,Техника для дома >> Климатическая техника,mitsubishi-heavy,Кондиціонер спліт Mitsubishi Heavy SRK25ZSX-W/SRC25ZSX-W,,80235,1,https://comfy.ua/kondicioner-split-mitsubishi-heavy-srk25zsx-w-src25zsx-w.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
998294040,,,,,.1851527,Техника для дома >> Климатическая техника,mitsubishi-heavy,Кондиціонер спліт Mitsubishi Heavy SRK35ZSX-W/SRC35ZSX-W,,91995,1,https://comfy.ua/kondicioner-split-mitsubishi-heavy-srk35zsx-w-src35zsx-w.html,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
998474958,,,,,1852085,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",maxxter,"Кабель HDMI Maxxter HDMI V.2.0, 4К 60Гц 2 m (VP-HDMI-2M)",,115,1,https://comfy.ua/kabel-hdmi-maxxter-hdmi-v-2-0-4k-60gc-2-m-vp-hdmi-2m.html,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
998474959,,,,,1852086,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",maxxter,"Кабель RCA Maxxter USB3.0 A-папа/А-папа, 0,5 m (U-AMAM3-0,5m)",,105,1,https://comfy.ua/kabel-rca-maxxter-usb3-0-a-papa-a-papa-0-5-m-u-amam3-0-5m.html,,05.11.2025 22:04,,"вул. Соборна, 42",Фастів,0
998557958,6855626,MAKITA,Воздуходувка MAKITA UB101DZ Solo (UB101DZ),3999,1851656,Инструменты и автотовары >> Садовые инструменты >> Садовые пылесосы >> Садовые пылесосы Makita,makita,Повітродувка акумуляторна Makita UB101DZ (без АКБ та ЗП),,4399,1,https://comfy.ua/sadovyj-pylesos-makita-ub101dz-bez-akb-i-zu.html,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
998601235,6731936,KENWOOD,Кухонная машина KENWOOD Titanium Chef Baker XL KVL85.004SI,23999,1840787,Техника для кухни >> Мелкая техника >> Кухонные машины и комбайны >> Кухонные машины и комбайны Kenwood,kenwood,Кухонна машина Kenwood KVL85.004SI,,23999,1,https://comfy.ua/kuhonnaja-mashina-kenwood-kvl85-004si.html,34299,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
998613035,6704570,MOONY,Подгузники-трусики MOONY L 9-14 кг 44 шт (4903111206438),1250,1852969,Comfy KIDS >> Подгузники и пеленание >> Подгузники >> Подгузники Moony,moony,Одноразові підгузки-трусики Moony Girls L 9-14 кг 44 шт. (4903111206438),,1389,1,https://comfy.ua/odnorazovye-podguzniki-trusiki-moony-girls-l-9-14-kg-44-sht-4903111206438.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
998613173,6704569,MOONY,Подгузники-трусики MOONY L 9-14 кг 44 шт (4903111206155),1250,1852967,Детские товары >> Подгузники и пеленание,moony,Одноразові підгузки-трусики Moony Boys L 9-14 кг 44 шт. (4903111206155),,1389,1,https://comfy.ua/odnorazovye-podguzniki-trusiki-moony-boys-l-9-14-kg-44-sht-4903111206155.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
998614393,,,,,.1806171,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Чохол для планшета Armorstandart Smart Case for Samsung Galaxy Tab S6 Lite SM-P610/SM-P615 Blue (ARM58627),,549,1,https://comfy.ua/chehol-dlja-plansheta-armorstandart-smart-case-for-samsung-galaxy-tab-s6-lite-sm-p610-sm-p615-blue-arm58627.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
998620881,,,,,1844675,Посуда >> Для приготовления >> Сковороды >> Сковороды Kela,kela,Сковорода універсальна Kela Rhino 24 см (12601),,1349,1,https://comfy.ua/skovoroda-universal-naja-kela-rhino-24-sm-12601.html,2699,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
998661156,,,,,1850450,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Кабель USB type A - USB type B Cablexpert USB AМ - USB 2.0 BМ 1.8m (CCBP-USB2-AMBM-6),,159,1,https://comfy.ua/kabel-usb-type-a-usb-type-b-cablexpert-usb-am-usb-2-0-bm-1-8m-ccbp-usb2-ambm-6.html,,05.11.2025 17:34,,"вул. Соборна, 42",Фастів,1
998661494,,,,,1797224,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Кабель HDMI Cablexpert V.2.1 2 m (CC-HDMI8K-2M),,229,1,https://comfy.ua/kabel-hdmi-cablexpert-v-2-1-2-m-cc-hdmi8k-2m.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
998661495,,,,,1850451,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Кабель USB type A - USB type B Cablexpert USB AМ - USB 2.0 BМ 3m (CCBP-USB2-AMBM-10),,179,1,https://comfy.ua/kabel-usb-type-a-usb-type-b-cablexpert-usb-am-usb-2-0-bm-3m-ccbp-usb2-ambm-10.html,,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,2
998661529,6767659,ROWENTA,Триммер ROWENTA TN3651F0,999,1849480,Красота и здоровье >> Уход за лицом >> Триммеры >> Триммеры Rowenta,rowenta,Тример для вусів і бороди Rowenta Specialist TN3651F0,,999,1,https://comfy.ua/trimmer-dlja-usov-i-borody-rowenta-specialist-tn3651f0.html,1499,05.11.2025 18:34,,"вул. Соборна, 42",Фастів,0
998661549,,,,,1797225,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Кабель HDMI Cablexpert V.2.1 3 m (CC-HDMI8K-3M),,285,1,https://comfy.ua/kabel-hdmi-cablexpert-v-2-1-3-m-cc-hdmi8k-3m.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
998673152,6206765,СТАЛЬ,Линейка СТАЛЬ 24350 (40529),55,1774563,Инструменты и автотовары >> Ручные инструменты >> Уровни >> Уровни Сталь,stal,Лінійка Сталь 500 мм (24350),,60,1,https://comfy.ua/linejka-stal-500-mm-92109.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
998683180,6620250,GUNTER & HAUER,Вытяжка GUNTER & HAUER MARGARETTE W,15469,1848636,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Gunter&Hauer,gunterhauer,Витяжка декоративна Gunter & Hauer MARGARETTE W,,15469,1,https://comfy.ua/vytjazhka-dekorativnaja-gunter-hauer-margarette-w.html,18199,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
