999012256,column,column,column,column,1852055,Смарт-часы и гаджеты >> Аксессуары,xoko,___xoko_samsung_milanese_22mm_black_xkbnd22mlnbk,column,199,1,httpscomfyuaremeshokdljasmartchasovxokosamsungmilanese22mmblackxkbnd22mlnbkhtml,column,05112025_1900,column,__42,Фастів,0
999012256,,,,,.1852055,Смарт-часы и гаджеты >> Аксессуары,xoko,Ремінець для смарт-годинника XOKO Samsung Milanese 22mm Black (XK-BND-22MLN-BK),,199,1,https://comfy.ua/remeshok-dlja-smart-chasov-xoko-samsung-milanese-22mm-black-xk-bnd-22mln-bk.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
999017007,,,,,1850447,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Кабель Cablexpert DisplayPort - HDMI 1.8m (CC-DP-HDMI-4K-6),,799,1,https://comfy.ua/kabel-cablexpert-displayport-hdmi-1-8m-cc-dp-hdmi-4k-6.html,,05.11.2025 22:09,,"вул. Соборна, 42",Фастів,0
999017008,,,,,1850444,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Кабель Cablexpert DisplayPort - DisplayPort v1.4 1.8m (CC-DP8K-6),,799,1,https://comfy.ua/kabel-cablexpert-displayport-displayport-v1-4-1-8m-cc-dp8k-6.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,1
999017009,,,,,1850449,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Кабель Cablexpert DisplayPort - DVI 24+1pin (CC-DPM-DVIM-4K-6),,549,1,https://comfy.ua/kabel-cablexpert-displayport-dvi-24-1pin-cc-dpm-dvim-4k-6.html,,05.11.2025 22:16,,"вул. Соборна, 42",Фастів,0
999017010,,,,,1852071,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Перехідник HDMI Cablexpert HDMI DEX-HDMI-03 до 60 m (DEX-HDMI-03),,999,1,https://comfy.ua/perehodnik-hdmi-cablexpert-hdmi-dex-hdmi-03-do-60-m-dex-hdmi-03.html,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
999042545,,,,,1849474,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",gg,Картридж для лазерних принтерів/БФП G&G for Epson WorkForce Pro WF-5299DW/M5799DWF/M5298DW (C13T966140),,8175,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-g-g-for-epson-workforce-pro-wf-5299dw-m5799dwf-m5298dw-c13t966140.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1000416973,,,,,1797223,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",cablexpert,Кабель HDMI Cablexpert V.2.1 1 m (CC-HDMI8K-1M),,169,1,https://comfy.ua/kabel-hdmi-cablexpert-v-2-1-1-m-cc-hdmi8k-1m.html,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
1001578689,,,,,1849129,Смартфоны и телефоны >> Аксессуары для смартфонов,t-phox,Автомобільний зарядний пристрій T-phox Charger Set 2.4A Dual+MicroUSB cable 1.2m Black,,349,1,https://comfy.ua/avtomobil-noe-zarjadnoe-ustrojstvo-t-phox-charger-set-2-4a-dual-microusb-cable-1-2m-black.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1002331741,,,,,1853142,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",a4tech,Клавіатура дротова A4tech FKS11 USB (Grey),,449,1,https://comfy.ua/catalog/product/view/id/2901883,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1002332588,,,,,1849286,Смартфоны и телефоны >> Аксессуары для смартфонов,ilera,Захисне скло для смартфону ILera Infinity Glass iPhone 12 Pro Max Super Slim 0.18mm,,899,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-ilera-infinity-glass-iphone-12-pro-max-super-slim-0-18mm.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1002531612,6814679,TEKHMANN,Технический фен TEKHMANN THG-2100 DA (849173),2080,1851995,Инструменты и автотовары >> Электроинструменты >> Фены технические >> Фены технические Tekhmann,tekhmann,Технічний фен Tekhmann THG-2100 DA (849173),,1819,1,https://comfy.ua/tehnicheskij-fen-tekhmann-thg-2100-da-849173.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
1002579671,6814646,TEKHMANN,Шлифмашина полировочная TEKHMANN CP-18/1500 D (849170),3090,1852002,Инструменты и автотовары >> Электроинструменты >> Шлифовальные машины >> Шлифовальные машины Tekhmann,tekhmann,Полірувальна шліфмашина Tekhmann CP-18/1500 D (849170),,3089,1,https://comfy.ua/poliroval-naja-shlifmashina-tekhmann-cp-18-1500-d-849170.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
1002776250,,,,,1840801,Красота и здоровье >> Косметика для тела,dalas,Гель для душа DALAS крем Малина і м'ята 1л,,124,1,https://comfy.ua/gel-dlja-dusha-dalas-krem-malina-i-mjata-1l.html,195,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1002776295,,,,,1840799,Красота и здоровье >> Косметика для тела,dalas,Гель для душа DALAS крем Масло Ши і пряна ваніль 1л,,124,1,https://comfy.ua/gel-dlja-dusha-dalas-krem-maslo-shi-i-prjanaja-vanil-1l.html,195,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
